location,location_code,geographic_level,time_period,data_type,institution_group,level_methodology,cohort_level_group,characteristic,all_unknown,all_notsust,cohort,appren,education,all_work
County Durham,E06000047,localAuthority,201718,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,Total,Total,296,757,4513,684,1845,931
County Durham,E06000047,localAuthority,201718,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,All other qualifications,Total,108,298,814,134,123,151
County Durham,E06000047,localAuthority,201718,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,Level 2,Total,45,186,817,184,183,219
County Durham,E06000047,localAuthority,201718,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,Level 3,Total,143,273,2882,366,1539,561
County Durham,E06000047,localAuthority,201819,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,Total,Total,217,792,4324,615,1831,869
County Durham,E06000047,localAuthority,201819,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,All other qualifications,Total,90,310,787,124,117,146
County Durham,E06000047,localAuthority,201819,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,Level 2,Total,55,274,1084,168,320,267
County Durham,E06000047,localAuthority,201819,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,Level 3,Total,72,208,2453,323,1394,456
County Durham,E06000047,localAuthority,201920,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,Total,Total,211,828,4237,610,1755,833
County Durham,E06000047,localAuthority,201920,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,All other qualifications,Total,111,313,912,159,175,154
County Durham,E06000047,localAuthority,201920,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,Level 2,Total,22,240,779,131,193,193
County Durham,E06000047,localAuthority,201920,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,Level 3,Total,78,275,2546,320,1387,486
Darlington,E06000005,localAuthority,201718,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,Total,Total,90,207,1966,283,944,442
Darlington,E06000005,localAuthority,201718,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,All other qualifications,Total,27,64,219,63,21,44
Darlington,E06000005,localAuthority,201718,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,Level 2,Total,21,62,335,60,100,92
Darlington,E06000005,localAuthority,201718,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,Level 3,Total,42,81,1412,160,823,306
Darlington,E06000005,localAuthority,201819,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,Total,Total,63,220,1836,229,913,411
Darlington,E06000005,localAuthority,201819,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,All other qualifications,Total,15,52,211,53,35,56
Darlington,E06000005,localAuthority,201819,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,Level 2,Total,16,63,362,67,113,103
Darlington,E06000005,localAuthority,201819,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,Level 3,Total,32,105,1263,109,765,252
Darlington,E06000005,localAuthority,201920,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,Total,Total,66,224,1871,271,895,415
Darlington,E06000005,localAuthority,201920,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,All other qualifications,Total,19,56,345,127,61,82
Darlington,E06000005,localAuthority,201920,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,Level 2,Total,11,74,243,39,59,60
Darlington,E06000005,localAuthority,201920,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,Level 3,Total,36,94,1283,105,775,273
Gateshead,E08000037,localAuthority,201718,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,Total,Total,180,260,2030,300,899,391
Gateshead,E08000037,localAuthority,201718,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,All other qualifications,Total,89,83,360,62,37,89
Gateshead,E08000037,localAuthority,201718,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,Level 2,Total,32,49,293,85,56,71
Gateshead,E08000037,localAuthority,201718,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,Level 3,Total,59,128,1377,153,806,231
Gateshead,E08000037,localAuthority,201819,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,Total,Total,192,340,2181,255,937,457
Gateshead,E08000037,localAuthority,201819,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,All other qualifications,Total,113,151,497,54,60,119
Gateshead,E08000037,localAuthority,201819,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,Level 2,Total,29,82,400,87,103,99
Gateshead,E08000037,localAuthority,201819,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,Level 3,Total,50,107,1284,114,774,239
Gateshead,E08000037,localAuthority,201920,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,Total,Total,155,396,2180,260,913,456
Gateshead,E08000037,localAuthority,201920,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,All other qualifications,Total,73,168,478,64,50,123
Gateshead,E08000037,localAuthority,201920,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,Level 2,Total,34,75,330,67,76,78
Gateshead,E08000037,localAuthority,201920,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,Level 3,Total,48,153,1372,129,787,255
Hartlepool,E06000001,localAuthority,201718,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,Total,Total,75,179,1195,201,560,180
Hartlepool,E06000001,localAuthority,201718,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,All other qualifications,Total,23,38,124,20,24,19
Hartlepool,E06000001,localAuthority,201718,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,Level 2,Total,15,49,216,47,67,38
Hartlepool,E06000001,localAuthority,201718,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,Level 3,Total,37,92,855,134,469,123
Hartlepool,E06000001,localAuthority,201819,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,Total,Total,45,170,794,161,309,109
Hartlepool,E06000001,localAuthority,201819,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,All other qualifications,Total,19,62,134,26,11,16
Hartlepool,E06000001,localAuthority,201819,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,Level 2,Total,15,69,341,88,116,53
Hartlepool,E06000001,localAuthority,201819,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,Level 3,Total,11,39,319,47,182,40
Hartlepool,E06000001,localAuthority,201920,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,Total,Total,28,138,754,156,297,135
Hartlepool,E06000001,localAuthority,201920,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,All other qualifications,Total,12,51,144,21,19,41
Hartlepool,E06000001,localAuthority,201920,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,Level 2,Total,5,45,189,56,53,30
Hartlepool,E06000001,localAuthority,201920,Number of pupils,State-funded mainstream schools & colleges,Local education authority area,Level 3,Total,11,42,421,79,225,64
