"time_period","time_identifier","geographic_level","country_code","country_name","institution_group","institution_type","breakdown_topic","breakdown","data_type","version","inst_count","cohort","overall","education","fe","ssf","sfc","other_edu","ind","appru","special","spi","edu_combo","he","appren","appl3","appl2","all_work","all_notsust","notsust","notsust_beneet","only_beneet","all_unknown","unknown_id","unknown"
"202223","Academic year","National","E92000001","England","State-funded mainstream & special schools","Total","Ethnicity Minor","Gypsy Roma","Number of pupils","Revised","z","1432","906","731","552","112","43","24","1","1","20","2","0","0","21","7","14","154","402","160","108","134","124","114","10"
"202223","Academic year","National","E92000001","England","State-funded mainstream schools","Total","Prior Attainment","Prior Attainment KS4 E&M 9-4 not achieved","Number of pupils","Revised","z","170981","142494","121369","95512","15374","8939","1544","192","497","321","212","304","18","6950","1960","4990","14175","24531","12309","7076","5146","3956","3588","368"
"202223","Academic year","National","E92000001","England","State-funded mainstream schools","Total","Prior Attainment","Prior Attainment KS4 E&M 9-4 achieved","Number of pupils","Revised","z","404074","393510","372995","108266","195313","65864","3552","2528","117","26","16","798","67","11541","6835","4706","8974","8757","6385","1855","517","1807","1566","241"
"202223","Academic year","National","E92000001","England","State-funded mainstream & special schools","Total","Prior Attainment","Prior Attainment KS2 Mid prior","Number of pupils","Revised","z","287429","270293","247223","99689","105915","39347","2272","985","269","269","91","620","38","10947","5655","5292","12123","15052","8935","3973","2144","2084","2004","80"
"202223","Academic year","National","E92000001","England","State-funded mainstream & special schools","Total","Disadvantage Status and Prior Attainment","Not Disadvantaged Prior Attainment KS4 E&M 9-4 achieved","Number of pupils","Revised","z","329369","322621","306164","83182","165270","54586","3126","2297","82","c","c","615","c","9826","5966","3860","6631","5376","4017","1054","305","1372","1151","221"
"202223","Academic year","National","E92000001","England","State-funded (inc. non-maintained) special schools","Total","Total","Total","Number of pupils","Revised","821","13029","11680","11405","3603","101","186","7515","13","255","6973","268","5","1","39","13","26","236","1086","336","345","405","263","255","8"
"202223","Academic year","National","E92000001","England","State-funded mainstream schools","LA maintained","Total","Total","Number of pupils","Revised","683","124001","116012","107715","42794","40938","23019","964","525","112","64","45","197","21","3811","1827","1984","4486","6825","3895","1824","1106","1164","1046","118"
"202223","Academic year","National","E92000001","England","State-funded mainstream schools","Total acadamies & free","Total","Total","Number of pupils","Revised","2545","449166","418442","385299","160128","169309","51756","4106","2188","488","283","180","903","64","14609","6937","7672","18534","26177","14687","6981","4509","4547","4074","473"
"202223","Academic year","National","E92000001","England","State-funded mainstream schools","Free","Total","Total","Number of pupils","Revised","142","16154","15093","14369","5274","6616","2280","199","129","24","8","7","29","2","259","121","138","465","852","514","199","139","209","178","31"
"202223","Academic year","National","E92000001","England","State-funded mainstream schools","Total","Sex","Male","Number of pupils","Revised","z","291330","269868","244853","108076","101585","32915","2277","1110","353","202","124","454","34","12130","6706","5424","12885","18058","10177","4737","3144","3404","3090","314"
"202223","Academic year","National","E92000001","England","State-funded mainstream schools","Total","Ethnicity Major","Unclassified","Number of pupils","Revised","z","10825","9630","8889","4066","3604","1114","105","49","24","6","8","15","3","287","138","149","454","968","522","298","148","227","177","50"
"202223","Academic year","National","E92000001","England","State-funded mainstream schools","Total","Ethnicity Minor","White British","Number of pupils","Revised","z","379014","352207","316266","147717","120406","44674","3469","1609","479","272","189","869","51","16560","7684","8876","19381","23927","12941","6821","4165","2880","2777","103"
"202223","Academic year","National","E92000001","England","State-funded mainstream schools","Total","Ethnicity Minor","Pakistani","Number of pupils","Revised","z","26144","24429","23767","7464","10414","5734","155","99","9","12","4","25","6","252","137","115","410","1345","886","254","205","370","342","28"
"202223","Academic year","National","E92000001","England","State-funded mainstream schools","Total","First Language","First Language Known or believed to be other than English","Number of pupils","Revised","z","98705","92639","90712","28130","45766","16133","683","477","49","26","6","103","22","533","317","216","1394","4294","2712","846","736","1772","1389","383"
"202223","Academic year","National","E92000001","England","State-funded mainstream schools","Total","SEN Primary Need","Autistic spectrum disorder","Number of pupils","Revised","z","9702","8775","8364","4778","2499","785","302","29","85","100","73","15","0","149","57","92","262","787","377","210","200","140","136","4"
"202223","Academic year","National","E92000001","England","State-funded mainstream schools","Total","SEN Primary Need","Total","Number of pupils","Revised","z","79799","69600","62906","40705","15166","5762","1273","242","397","292","206","125","11","2440","843","1597","4254","8801","4105","2658","2038","1398","1340","58"
"202223","Academic year","National","E92000001","England","State-funded mainstream & special schools","Total","Ethnicity Minor","White Irish","Number of pupils","Revised","z","1612","1504","1423","403","783","205","32","13","1","16","1","1","0","38","25","13","43","89","54","17","18","19","16","3"
"202223","Academic year","National","E92000001","England","State-funded mainstream & special schools","Total","Ethnicity Minor","Any other mixed background","Number of pupils","Revised","z","12395","11554","11088","3779","5385","1642","282","77","15","162","8","19","1","144","76","68","322","655","405","155","95","186","155","31"
"202223","Academic year","National","E92000001","England","State-funded mainstream & special schools","Total","Ethnicity Minor","Bangladeshi","Number of pupils","Revised","z","10692","10278","10138","2098","5771","2062","207","33","5","147","2","13","7","43","29","14","97","358","240","78","40","56","55","1"
"202223","Academic year","National","E92000001","England","State-funded mainstream & special schools","Total","Ethnicity Minor","Black Caribbean","Number of pupils","Revised","z","7070","6533","6280","2998","2261","859","162","19","14","113","5","10","1","83","53","30","170","433","287","94","52","104","98","6"
"202223","Academic year","National","E92000001","England","State-funded mainstream & special schools","Total","Ethnicity Minor","Chinese","Number of pupils","Revised","z","2438","2391","2377","358","1523","401","95","59","0","34","0","1","1","5","4","1","9","31","16","8","7","16","9","7"
"202223","Academic year","National","E92000001","England","State-funded mainstream & special schools","Total","First Language","First Language Known or believed to be English","Number of pupils","Revised","z","484509","450756","411076","177538","164218","58603","10717","2238","793","6145","480","998","63","17907","8453","9454","21773","29613","16108","8260","5245","4140","3932","208"
"202223","Academic year","National","E92000001","England","State-funded mainstream & special schools","Total","FSM Status","FSM not eligible","Number of pupils","Revised","z","466110","443384","410797","154645","184038","63662","8452","2519","518","4147","308","882","78","16011","7872","8139","16576","18897","11501","4713","2683","3829","3306","523"
"202223","Academic year","National","E92000001","England","State-funded mainstream & special schools","Total","SEN Provision","No identified SEN","Number of pupils","Revised","z","495264","466411","431466","163074","195520","69042","3830","2478","221","58","22","977","74","16051","7952","8099","18894","24488","14589","6274","3625","4365","3814","551"
"202223","Academic year","National","E92000001","England","State-funded mainstream & special schools","Total","SEN Primary Need","Profound and multiple learning difficulty","Number of pupils","Revised","z","622","598","595","50","7","8","530","0","6","517","7","0","0","1","0","1","2","14","10","2","2","10","9","1"
"202223","Academic year","National","E92000001","England","State-funded mainstream & special schools","Total","SEN Primary Need","Speech language and communication needs","Number of pupils","Revised","z","9276","8385","7876","4946","1610","635","685","20","49","561","46","8","1","169","51","118","340","741","334","210","197","150","141","9"
"202223","Academic year","National","E92000001","England","Alternative provision","Total","Sex","Male","Number of pupils","Revised","z","4843","3196","2583","1301","79","83","1120","38","835","184","57","5","1","78","21","57","535","1375","367","482","526","272","258","14"
"202223","Academic year","National","E92000001","England","State-funded mainstream schools","Total","Disadvantage Status and Ethnicity Major","Not Disadvantaged Any other ethnic group","Number of pupils","Revised","z","6762","6391","6259","1575","3639","983","62","c","c","c","c","c","c","34","c","c","98","228","c","c","c","143","c","c"
"202223","Academic year","National","E92000001","England","State-funded mainstream & special schools","Total","Disadvantage Status and Ethnicity Major","Not Disadvantaged Mixed Dual background","Number of pupils","Revised","z","21829","20836","19955","6111","10267","3171","406","c","c","c","c","c","c","386","c","c","495","785","c","c","c","208","c","c"
"202223","Academic year","National","E92000001","England","State-funded mainstream schools","Total","Prior Attainment","Prior Attainment KS2 Mid prior","Number of pupils","Revised","z","286645","269654","246632","99365","105897","39332","2038","981","238","85","76","620","38","10935","5651","5284","12087","14931","8900","3933","2098","2060","1981","79"
"202223","Academic year","National","E92000001","England","State-funded mainstream schools","Total","Prior Attainment","Prior Attainment KS2 High prior","Number of pupils","Revised","z","120958","118106","114131","19065","72071","21439","1556","1230","56","15","13","215","27","1977","1314","663","1998","2346","1493","546","307","506","482","24"
"202223","Academic year","National","E92000001","England","State-funded mainstream schools","Total","Disadvantage Status and Prior Attainment","Disadvantaged Prior Attainment KS4 E&M 9-5 not achieved","Number of pupils","Revised","z","101621","82824","72681","52712","12507","6646","816","69","300","c","c","194","c","2619","829","1790","7524","16519","8020","4969","3530","2278","2171","107"
"202223","Academic year","National","E92000001","England","State-funded mainstream schools","Total","Prior Attainment","Prior Attainment KS4 E&M 9-5 not achieved","Number of pupils","Revised","z","282564","248494","216699","145107","47016","22440","2136","382","562","330","220","612","30","12639","4946","7693","19156","29439","15770","8197","5472","4631","4182","449"
"202223","Academic year","National","E92000001","England","State-funded mainstream & special schools","Total","Disadvantage Status and Prior Attainment","Disadvantaged Prior Attainment KS2 High prior","Number of pupils","Revised","z","15963","14928","14107","3845","7599","2464","199","126","13","c","c","42","c","264","144","120","557","902","528","245","129","133","132","1"
"202223","Academic year","National","E92000001","England","State-funded mainstream & special schools","Total","Prior Attainment","Prior Attainment KS2 no recorded level","Number of pupils","Revised","z","34281","31132","30083","12381","11847","4185","1670","398","108","1065","56","36","7","270","123","147","779","2044","1172","461","411","1105","700","405"
"202223","Academic year","National","E92000001","England","State-funded mainstream & special schools","Total","Disadvantage Status and Prior Attainment","Disadvantaged Prior Attainment KS4 E&M 9-4 achieved","Number of pupils","Revised","z","74989","71142","67075","25214","30065","11295","501","235","40","c","c","183","c","1718","869","849","2349","3408","2382","812","214","439","419","20"
"202223","Academic year","National","E92000001","England","Alternative provision","Total","Total","Total","Number of pupils","Revised","424","7133","4745","3866","1982","124","152","1608","75","1166","265","95","6","1","120","32","88","759","2035","554","721","760","353","327","26"
"202223","Academic year","National","E92000001","England","State-funded mainstream schools","Non-selective school in highly selective area","Total","Total","Number of pupils","Revised","213","36455","33710","30819","13821","15019","1624","355","87","63","54","57","90","4","1184","532","652","1707","2301","1315","574","412","444","411","33"
"202223","Academic year","National","E92000001","England","State-funded mainstream schools","Converter academy","Total","Total","Number of pupils","Revised","1566","302054","285470","264463","98494","127906","35119","2944","1750","288","160","120","573","53","9933","4713","5220","11074","14065","8031","3720","2314","2519","2259","260"
"202223","Academic year","National","E92000001","England","State-funded mainstream schools","FE college - 14-16","Total","Total","Number of pupils","Revised","14","1297","974","802","750","13","19","20","2","14","0","3","1","0","51","16","35","121","273","104","121","48","50","33","17"
"202223","Academic year","National","E92000001","England","State-funded mainstream schools","Total","Sex","Female","Number of pupils","Revised","z","283725","266136","249511","95702","109102","41888","2819","1610","261","145","104","648","51","6361","2089","4272","10264","15230","8517","4194","2519","2359","2064","295"
"202223","Academic year","National","E92000001","England","State-funded mainstream schools","Total","Ethnicity Major","Mixed Dual background","Number of pupils","Revised","z","33318","30790","29174","11094","13358","4393","329","202","29","25","13","56","4","555","316","239","1061","2112","1235","543","334","416","374","42"
"202223","Academic year","National","E92000001","England","State-funded mainstream schools","Total","Ethnicity Major","Any other ethnic group","Number of pupils","Revised","z","11789","11026","10807","3294","5751","1663","99","69","5","2","3","17","3","47","29","18","172","521","341","104","76","242","166","76"
"202223","Academic year","National","E92000001","England","State-funded mainstream schools","Total","Ethnicity Minor","Gypsy Roma","Number of pupils","Revised","z","1386","873","699","540","112","43","4","1","0","1","2","0","0","21","7","14","153","393","158","105","130","120","110","10"
"202223","Academic year","National","E92000001","England","State-funded mainstream schools","Total","Ethnicity Minor","Black Caribbean","Number of pupils","Revised","z","6865","6348","6097","2940","2261","852","44","19","8","2","4","10","1","83","53","30","168","417","280","91","46","100","94","6"
"202223","Academic year","National","E92000001","England","State-funded mainstream schools","Total","Ethnicity Minor","Unclassified","Number of pupils","Revised","z","10825","9630","8889","4066","3604","1114","105","49","24","6","8","15","3","287","138","149","454","968","522","298","148","227","177","50"
"202223","Academic year","National","E92000001","England","State-funded mainstream schools","Total","First Language","First Language Unclassified","Number of pupils","Revised","z","3340","2830","2525","1447","795","236","47","17","16","4","3","6","1","90","38","52","215","419","187","163","69","91","65","26"
"202223","Academic year","National","E92000001","England","State-funded mainstream schools","Total","SEN Provision","Statement of SEN/Education Health and Care plan","Number of pupils","Revised","z","12312","10704","10140","6995","1782","666","697","27","264","229","162","15","0","176","52","124","388","1344","520","436","388","264","255","9"
"202223","Academic year","National","E92000001","England","State-funded mainstream schools","Total","SEN Primary Need","Profound and multiple learning difficulty","Number of pupils","Revised","z","70","65","62","39","7","5","11","0","3","5","3","0","0","1","0","1","2","5","2","2","1","0","0","0"
"202223","Academic year","National","E92000001","England","State-funded mainstream & special schools","Total","Sex","Male","Number of pupils","Revised","z","300820","278249","253000","110861","101659","33055","7425","1116","556","4953","307","458","35","12162","6717","5445","13087","18956","10447","5027","3482","3615","3296","319"
"202223","Academic year","National","E92000001","England","State-funded mainstream & special schools","Total","Ethnicity Major","Asian or Asian British","Number of pupils","Revised","z","69288","66232","65064","15490","35329","12831","1414","397","40","883","15","61","18","445","259","186","723","2369","1571","460","338","687","583","104"
"202223","Academic year","National","E92000001","England","State-funded mainstream & special schools","Total","Ethnicity Major","Any other ethnic group","Number of pupils","Revised","z","11979","11206","10986","3332","5753","1666","235","69","6","134","6","17","3","47","29","18","173","527","345","105","77","246","169","77"
"202223","Academic year","National","E92000001","England","State-funded mainstream & special schools","Total","Ethnicity Minor","White and Black Caribbean","Number of pupils","Revised","z","8903","7948","7273","3774","2398","902","199","25","12","138","8","16","0","237","136","101","438","848","458","234","156","107","105","2"
"202223","Academic year","National","E92000001","England","State-funded mainstream & special schools","Total","Ethnicity Minor","Any other Asian background","Number of pupils","Revised","z","11282","10882","10758","2244","6546","1767","201","52","12","121","3","10","3","39","23","16","85","299","189","58","52","101","60","41"
"202223","Academic year","National","E92000001","England","State-funded mainstream & special schools","Total","Ethnicity Minor","Black African","Number of pupils","Revised","z","24508","23565","23251","5596","13273","3810","572","134","11","393","7","26","1","122","107","15","192","677","480","110","87","266","229","37"
