"time_period","time_identifier","geographic_level","country_code","country_name","group","stem","pathway","top_10_subjects","percentage","all_occupations_percentage"
2019,"Calendar year","National","E92000001","England","Artificial Intelligence SOC2010","Not STEM",NA,NA,0.390810606720688,0.719278351581855
2019,"Calendar year","National","E92000001","England","Artificial Intelligence SOC2010","STEM",NA,NA,0.609189393279312,0.280721648418145
2019,"Calendar year","National","E92000001","England","Critical Technologies SOC2010","Not STEM",NA,NA,0.386768491212519,0.719278351581855
2019,"Calendar year","National","E92000001","England","Critical Technologies SOC2010","STEM",NA,NA,0.613231508787481,0.280721648418145
2019,"Calendar year","National","E92000001","England","Design and development engineers","Not STEM",NA,NA,0.19047619047619,0.719278351581855
2019,"Calendar year","National","E92000001","England","Design and development engineers","STEM",NA,NA,0.80952380952381,0.280721648418145
2019,"Calendar year","National","E92000001","England","Digital and Computing SOC2010","Not STEM",NA,NA,0.446951844048997,0.719278351581855
2019,"Calendar year","National","E92000001","England","Digital and Computing SOC2010","STEM",NA,NA,0.553048155951003,0.280721648418145
2019,"Calendar year","National","E92000001","England","Engineering Biology SOC2010","Not STEM",NA,NA,0.290104850690034,0.719278351581855
2019,"Calendar year","National","E92000001","England","Engineering Biology SOC2010","STEM",NA,NA,0.709895149309966,0.280721648418145
2019,"Calendar year","National","E92000001","England","Engineering technicians","Not STEM",NA,NA,0.355555555555556,0.719278351581855
2019,"Calendar year","National","E92000001","England","Engineering technicians","STEM",NA,NA,0.644444444444444,0.280721648418145
2019,"Calendar year","National","E92000001","England","Future Telecommunications SOC2010","Not STEM",NA,NA,0.402985926750592,0.719278351581855
2019,"Calendar year","National","E92000001","England","Future Telecommunications SOC2010","STEM",NA,NA,0.597014073249408,0.280721648418145
2019,"Calendar year","National","E92000001","England","IT business analysts, architects and systems designers","Not STEM",NA,NA,0.429414027439415,0.719278351581855
2019,"Calendar year","National","E92000001","England","IT business analysts, architects and systems designers","STEM",NA,NA,0.570585972560585,0.280721648418145
2019,"Calendar year","National","E92000001","England","Programmers and software development professionals","Not STEM",NA,NA,0.190209282632364,0.719278351581855
2019,"Calendar year","National","E92000001","England","Programmers and software development professionals","STEM",NA,NA,0.809790717367636,0.280721648418145
2019,"Calendar year","National","E92000001","England","Quantum SOC2010","Not STEM",NA,NA,0.274036323425124,0.719278351581855
