time_period,time_identifier,geographic_level,country_name,country_code,sector,soc_4_labelled,soc_3_labelled,soc_2_labelled,soc_1_labelled,sample_occupations_estab_has_vacancy,vac_sum,htfv_sum,ssv_sum,htfv_den,ssv_den
2011,Calendar year,National,United Kingdom,K02000001,Total,1116 - Elected officers and representatives,Total,Total,Total,c,u,u,u,u,u
2011,Calendar year,National,United Kingdom,K02000001,Total,1121 - Production managers and directors in manufacturing,Total,Total,Total,102,1376.00582441118,526.996321842923,494.526920660026,38.2989891825811,35.9393043173814
2011,Calendar year,National,United Kingdom,K02000001,Total,1122 - Production managers and directors in construction,Total,Total,Total,38,843.203524069762,334.164268124283,266.370576453758,39.6303215754393,31.5903063554702
2011,Calendar year,National,United Kingdom,K02000001,Total,1131 - Financial managers and directors,Total,Total,Total,51,1751.59982201255,136.721943858003,136.721943858003,7.80554680011968,7.80554680011968
2011,Calendar year,National,United Kingdom,K02000001,Total,1132 - Marketing and sales directors,Total,Total,Total,24,u,u,u,u,u
2011,Calendar year,National,United Kingdom,K02000001,Total,1134 - Advertising and public relations directors,Total,Total,Total,6,u,u,u,u,u
2011,Calendar year,National,United Kingdom,K02000001,Total,1135 - Human resource managers and directors,Total,Total,Total,30,345.602838945946,48.8352048606365,48.8352048606365,14.1304408868801,14.1304408868801
2011,Calendar year,National,United Kingdom,K02000001,Total,1139 - Functional managers and directors n.e.c.,Total,Total,Total,28,u,u,u,u,u
2011,Calendar year,National,United Kingdom,K02000001,Total,1162 - Managers and directors in storage and warehousing,Total,Total,Total,32,454.721838324872,145.392664194755,105.460731955311,31.9739788021529,23.1923613661954
2011,Calendar year,National,United Kingdom,K02000001,Total,1171 - Officers in armed forces,Total,Total,Total,c,u,u,u,u,u
2011,Calendar year,National,United Kingdom,K02000001,Total,1181 - Health services and public health managers and directors,Total,Total,Total,15,u,u,u,u,u
2011,Calendar year,National,United Kingdom,K02000001,Total,1184 - Social services managers and directors,Total,Total,Total,14,u,u,u,u,u
2011,Calendar year,National,United Kingdom,K02000001,Total,1190 - Managers and directors in retail and wholesale,Total,Total,Total,200,4124.47953260839,906.103721160471,787.01396898893,21.9689227209581,19.0815341127711
2011,Calendar year,National,United Kingdom,K02000001,Total,"1213 - Managers and proprietors in forestry, fishing and related services",Total,Total,Total,5,u,u,u,u,u
2011,Calendar year,National,United Kingdom,K02000001,Total,1221 - Hotel and accommodation managers and proprietors,Total,Total,Total,36,442.408096144977,94.7614468507634,47.2186701006698,21.4194648959837,10.6731026199837
2011,Calendar year,National,United Kingdom,K02000001,Total,1223 - Restaurant and catering establishment managers and proprietors,Total,Total,Total,81,1315.61881437995,483.4528523325,306.189259011479,36.7471829262606,23.2734022700782
2011,Calendar year,National,United Kingdom,K02000001,Total,1225 - Leisure and sports managers,Total,Total,Total,51,517.014020177439,65.6373643217565,23.3385085943227,12.695470869287,4.5140958820252
2011,Calendar year,National,United Kingdom,K02000001,Total,1241 - Health care practice managers,Total,Total,Total,19,u,u,u,u,u
2011,Calendar year,National,United Kingdom,K02000001,Total,"1251 - Property, housing and estate managers",Total,Total,Total,70,1547.28341206494,122.814291194963,110.690746419037,7.93741406631251,7.15387663022339
2011,Calendar year,National,United Kingdom,K02000001,Total,1253 - Hairdressing and beauty salon managers and proprietors,Total,Total,Total,6,u,u,u,u,u
2011,Calendar year,National,United Kingdom,K02000001,Total,1254 - Shopkeepers and proprietors – wholesale and retail,Total,Total,Total,c,u,u,u,u,u
2011,Calendar year,National,United Kingdom,K02000001,Total,1259 - Managers and proprietors in other services n.e.c.,Total,Total,Total,59,959.214794323188,153.443174597301,136.200189609757,15.996748122048,14.1991335429578
2011,Calendar year,National,United Kingdom,K02000001,Total,2114 - Social and humanities scientists,Total,Total,Total,8,u,u,u,u,u
2011,Calendar year,National,United Kingdom,K02000001,Total,2122 - Mechanical engineers,Total,Total,Total,69,1803.1028140181,720.173029822999,519.690925877154,39.9407634564187,28.8220350962159
2011,Calendar year,National,United Kingdom,K02000001,Total,2129 - Engineering professionals n.e.c.,Total,Total,Total,118,3238.06535301188,1175.65719137768,1123.92909628566,36.3073954107857,34.7098953775051
2011,Calendar year,National,United Kingdom,K02000001,Total,2133 - It specialist managers,Total,Total,Total,54,743.950481869032,202.520287990409,194.552785076129,27.2222806391113,26.151308429474
2011,Calendar year,National,United Kingdom,K02000001,Total,2136 - Programmers and software development professionals,Total,Total,Total,215,4324.19451544678,1426.11336165821,1136.9853868007,32.9798614878189,26.2935763583063
2011,Calendar year,National,United Kingdom,K02000001,Total,2137 - Web design and development professionals,Total,Total,Total,116,2315.4549325531,766.138958211564,676.102615754558,33.0880531268555,29.1995584215092
2011,Calendar year,National,United Kingdom,K02000001,Total,2139 - Information technology and telecommunications professionals n.e.c.,Total,Total,Total,69,1935.67934219522,619.398302992416,475.979762629696,31.9990139632304,24.5898043262628
2011,Calendar year,National,United Kingdom,K02000001,Total,2141 - Conservation professionals,Total,Total,Total,10,u,u,u,u,u
2011,Calendar year,National,United Kingdom,K02000001,Total,2142 - Environment professionals,Total,Total,Total,20,u,u,u,u,u
2011,Calendar year,National,United Kingdom,K02000001,Total,2211 - Medical practitioners,Total,Total,Total,65,1568.51949043447,501.399793604007,341.260619249342,31.9664369274188,21.7568618898586
2011,Calendar year,National,United Kingdom,K02000001,Total,2212 - Psychologists,Total,Total,Total,16,u,u,u,u,u
2011,Calendar year,National,United Kingdom,K02000001,Total,2219 - Health professionals n.e.c.,Total,Total,Total,14,u,u,u,u,u
2011,Calendar year,National,United Kingdom,K02000001,Total,2231 - Nurses,Total,Total,Total,361,9832.21622506067,2238.1693697682,1545.17606863604,22.7636304830591,15.7154402757909
2011,Calendar year,National,United Kingdom,K02000001,Total,2311 - Higher education teaching professionals,Total,Total,Total,57,875.388369069794,129.416063869588,116.229168680769,14.7838454841602,13.277440366757
2011,Calendar year,National,United Kingdom,K02000001,Total,2312 - Further education teaching professionals,Total,Total,Total,112,2025.12866712996,352.195687599345,312.300640805682,17.3912746047134,15.4212740096301
2011,Calendar year,National,United Kingdom,K02000001,Total,2314 - Secondary education teaching professionals,Total,Total,Total,273,3870.27869122941,417.935355258186,296.616800750863,10.7985855438598,7.66396490834207
2011,Calendar year,National,United Kingdom,K02000001,Total,2316 - Special needs education teaching professionals,Total,Total,Total,23,u,u,u,u,u
2011,Calendar year,National,United Kingdom,K02000001,Total,2317 - Senior professionals of educational establishments,Total,Total,Total,87,982.685338387041,161.762122171118,104.37952665431,16.4612328944107,10.6218666929168
2011,Calendar year,National,United Kingdom,K02000001,Total,2318 - Education advisers and school inspectors,Total,Total,Total,16,u,u,u,u,u
2011,Calendar year,National,United Kingdom,K02000001,Total,2319 - Teaching and other educational professionals n.e.c.,Total,Total,Total,99,2309.90628208425,850.833306918267,722.087445010459,36.8341050681308,31.2604650072172
2011,Calendar year,National,United Kingdom,K02000001,Total,2423 - Management consultants and business analysts,Total,Total,Total,78,3122.04502223934,482.065500773149,448.56336901513,15.4406966375962,14.3676137217711
2011,Calendar year,National,United Kingdom,K02000001,Total,2424 - Business and financial project management professionals,Total,Total,Total,86,1726.17915697516,602.488062948372,465.132435659417,34.902985620805,26.9457798618357
2011,Calendar year,National,United Kingdom,K02000001,Total,2426 - Business and related research professionals,Total,Total,Total,37,728.088648336021,117.803923341695,89.0923576957962,16.1798873819726,12.2364711906179
2011,Calendar year,National,United Kingdom,K02000001,Total,"2429 - Business, research and administrative professionals n.e.c.",Total,Total,Total,18,u,u,u,u,u
2011,Calendar year,National,United Kingdom,K02000001,Total,2432 - Town planning officers,Total,Total,Total,9,u,u,u,u,u
2011,Calendar year,National,United Kingdom,K02000001,Total,2442 - Social workers,Total,Total,Total,48,990.890279211836,193.978438500099,125.662346485652,19.5761773598578,12.6817619591147
2011,Calendar year,National,United Kingdom,K02000001,Total,2444 - Clergy,Total,Total,Total,22,u,u,u,u,u
2011,Calendar year,National,United Kingdom,K02000001,Total,2449 - Welfare professionals n.e.c.,Total,Total,Total,12,u,u,u,u,u
2011,Calendar year,National,United Kingdom,K02000001,Total,2451 - Librarians,Total,Total,Total,16,u,u,u,u,u
2011,Calendar year,National,United Kingdom,K02000001,Total,2452 - Archivists and curators,Total,Total,Total,20,u,u,u,u,u
2011,Calendar year,National,United Kingdom,K02000001,Total,2462 - Quality assurance and regulatory professionals,Total,Total,Total,40,666.599888439245,123.143821708068,110.158019534471,18.4734236899428,16.5253582313659
2011,Calendar year,National,United Kingdom,K02000001,Total,2463 - Environmental health professionals,Total,Total,Total,8,u,u,u,u,u
2011,Calendar year,National,United Kingdom,K02000001,Total,2472 - Public relations professionals,Total,Total,Total,38,870.878904848586,160.558498955575,121.667674681473,18.4363748004082,13.9706765204775
2011,Calendar year,National,United Kingdom,K02000001,Total,2473 - Advertising accounts managers and creative directors,Total,Total,Total,36,587.774211836805,114.963141832318,101.921867842398,19.5590652868312,17.3403095593273
2011,Calendar year,National,United Kingdom,K02000001,Total,3112 - Electrical and electronics technicians,Total,Total,Total,12,u,u,u,u,u
2011,Calendar year,National,United Kingdom,K02000001,Total,3115 - Quality assurance technicians,Total,Total,Total,28,u,u,u,u,u
2011,Calendar year,National,United Kingdom,K02000001,Total,"3119 - Science, engineering and production technicians n.e.c.",Total,Total,Total,56,911.044985297403,184.839824299151,136.467680648689,20.2887702892971,14.9792472217099
