"area","geographic_level","time_period","age_group","level_or_type","achievements","Year","level_or_typeNeat","AY"
"Black Country","LEP",201617,NA,"Apprenticeships: Total",7500,16,"Apprenticeships (all ages)","16/17"
"Black Country","LEP",201617,NA,"Community learning: Total",10320,16,"Community learning (adults only)","16/17"
"Black Country","LEP",201617,NA,"Education and training: Total",22410,16,"Education and training (adults only)","16/17"
"Black Country","LEP",201617,NA,"Further education and skills: Total",39370,16,"Total FE and skills provision","16/17"
"Buckinghamshire","LEP",201617,NA,"Apprenticeships: Total",1520,16,"Apprenticeships (all ages)","16/17"
"Buckinghamshire","LEP",201617,NA,"Community learning: Total",4610,16,"Community learning (adults only)","16/17"
"Buckinghamshire","LEP",201617,NA,"Education and training: Total",3810,16,"Education and training (adults only)","16/17"
"Buckinghamshire","LEP",201617,NA,"Further education and skills: Total",9730,16,"Total FE and skills provision","16/17"
"Cheshire and Warrington","LEP",201617,NA,"Apprenticeships: Total",4870,16,"Apprenticeships (all ages)","16/17"
"Cheshire and Warrington","LEP",201617,NA,"Community learning: Total",7530,16,"Community learning (adults only)","16/17"
"Cheshire and Warrington","LEP",201617,NA,"Education and training: Total",11610,16,"Education and training (adults only)","16/17"
"Cheshire and Warrington","LEP",201617,NA,"Further education and skills: Total",23940,16,"Total FE and skills provision","16/17"
"Coast to Capital","LEP",201617,NA,"Apprenticeships: Total",4990,16,"Apprenticeships (all ages)","16/17"
"Coast to Capital","LEP",201617,NA,"Community learning: Total",8680,16,"Community learning (adults only)","16/17"
"Coast to Capital","LEP",201617,NA,"Education and training: Total",15500,16,"Education and training (adults only)","16/17"
"Coast to Capital","LEP",201617,NA,"Further education and skills: Total",29780,16,"Total FE and skills provision","16/17"
"Cornwall and Isles of Scilly","LEP",201617,NA,"Apprenticeships: Total",3480,16,"Apprenticeships (all ages)","16/17"
"Cornwall and Isles of Scilly","LEP",201617,NA,"Community learning: Total",4550,16,"Community learning (adults only)","16/17"
"Cornwall and Isles of Scilly","LEP",201617,NA,"Education and training: Total",7360,16,"Education and training (adults only)","16/17"
"Cornwall and Isles of Scilly","LEP",201617,NA,"Further education and skills: Total",15580,16,"Total FE and skills provision","16/17"
"Coventry and Warwickshire","LEP",201617,NA,"Apprenticeships: Total",4370,16,"Apprenticeships (all ages)","16/17"
"Coventry and Warwickshire","LEP",201617,NA,"Community learning: Total",4650,16,"Community learning (adults only)","16/17"
"Coventry and Warwickshire","LEP",201617,NA,"Education and training: Total",11980,16,"Education and training (adults only)","16/17"
"Coventry and Warwickshire","LEP",201617,NA,"Further education and skills: Total",21280,16,"Total FE and skills provision","16/17"
"Cumbria","LEP",201617,NA,"Apprenticeships: Total",3300,16,"Apprenticeships (all ages)","16/17"
"Cumbria","LEP",201617,NA,"Community learning: Total",3780,16,"Community learning (adults only)","16/17"
"Cumbria","LEP",201617,NA,"Education and training: Total",5740,16,"Education and training (adults only)","16/17"
"Cumbria","LEP",201617,NA,"Further education and skills: Total",13300,16,"Total FE and skills provision","16/17"
"Derby, Derbyshire, Nottingham and Nottinghamshire","LEP",201617,NA,"Apprenticeships: Total",13230,16,"Apprenticeships (all ages)","16/17"
"Derby, Derbyshire, Nottingham and Nottinghamshire","LEP",201617,NA,"Community learning: Total",20090,16,"Community learning (adults only)","16/17"
"Derby, Derbyshire, Nottingham and Nottinghamshire","LEP",201617,NA,"Education and training: Total",32700,16,"Education and training (adults only)","16/17"
"Derby, Derbyshire, Nottingham and Nottinghamshire","LEP",201617,NA,"Further education and skills: Total",65520,16,"Total FE and skills provision","16/17"
"Dorset","LEP",201617,NA,"Apprenticeships: Total",4640,16,"Apprenticeships (all ages)","16/17"
"Dorset","LEP",201617,NA,"Community learning: Total",3380,16,"Community learning (adults only)","16/17"
"Dorset","LEP",201617,NA,"Education and training: Total",6800,16,"Education and training (adults only)","16/17"
"Dorset","LEP",201617,NA,"Further education and skills: Total",15250,16,"Total FE and skills provision","16/17"
"Enterprise M3","LEP",201617,NA,"Apprenticeships: Total",5710,16,"Apprenticeships (all ages)","16/17"
"Enterprise M3","LEP",201617,NA,"Community learning: Total",14220,16,"Community learning (adults only)","16/17"
"Enterprise M3","LEP",201617,NA,"Education and training: Total",11500,16,"Education and training (adults only)","16/17"
"Enterprise M3","LEP",201617,NA,"Further education and skills: Total",32130,16,"Total FE and skills provision","16/17"
"Gloucestershire","LEP",201617,NA,"Apprenticeships: Total",2890,16,"Apprenticeships (all ages)","16/17"
"Gloucestershire","LEP",201617,NA,"Community learning: Total",1970,16,"Community learning (adults only)","16/17"
"Gloucestershire","LEP",201617,NA,"Education and training: Total",6570,16,"Education and training (adults only)","16/17"
"Gloucestershire","LEP",201617,NA,"Further education and skills: Total",11710,16,"Total FE and skills provision","16/17"
"Greater Birmingham and Solihull","LEP",201617,NA,"Apprenticeships: Total",11130,16,"Apprenticeships (all ages)","16/17"
"Greater Birmingham and Solihull","LEP",201617,NA,"Community learning: Total",14350,16,"Community learning (adults only)","16/17"
