"geographic_level","area","level_or_type","minAch","maxAch"
"LEP","Black Country","Apprenticeships: Total",3820,7810
"LEP","Black Country","Community learning: Total",3960,10320
"LEP","Black Country","Education and training: Total",17680,25590
"LEP","Black Country","Further education and skills: Total",24810,40430
"LEP","Buckinghamshire","Apprenticeships: Total",1000,1590
"LEP","Buckinghamshire","Community learning: Total",2140,4610
"LEP","Buckinghamshire","Education and training: Total",3430,3940
"LEP","Buckinghamshire","Further education and skills: Total",7200,9730
"LEP","Cheshire and Warrington","Apprenticeships: Total",2490,4950
"LEP","Cheshire and Warrington","Community learning: Total",2470,7530
"LEP","Cheshire and Warrington","Education and training: Total",8030,12090
"LEP","Cheshire and Warrington","Further education and skills: Total",13150,23940
"LEP","Coast to Capital","Apprenticeships: Total",2870,5230
"LEP","Coast to Capital","Community learning: Total",3990,8680
"LEP","Coast to Capital","Education and training: Total",12450,15610
"LEP","Coast to Capital","Further education and skills: Total",20560,29780
"LEP","Cornwall and Isles of Scilly","Apprenticeships: Total",1720,3480
"LEP","Cornwall and Isles of Scilly","Community learning: Total",1940,4550
"LEP","Cornwall and Isles of Scilly","Education and training: Total",6340,7990
"LEP","Cornwall and Isles of Scilly","Further education and skills: Total",10150,15580
"LEP","Coventry and Warwickshire","Apprenticeships: Total",2390,4440
"LEP","Coventry and Warwickshire","Community learning: Total",2140,4870
"LEP","Coventry and Warwickshire","Education and training: Total",9790,12520
"LEP","Coventry and Warwickshire","Further education and skills: Total",14920,21280
"LEP","Cumbria","Apprenticeships: Total",1880,3710
"LEP","Cumbria","Community learning: Total",1240,3780
"LEP","Cumbria","Education and training: Total",4510,7040
"LEP","Cumbria","Further education and skills: Total",7970,13540
"LEP","Derby, Derbyshire, Nottingham and Nottinghamshire","Apprenticeships: Total",6620,13230
"LEP","Derby, Derbyshire, Nottingham and Nottinghamshire","Community learning: Total",7380,20090
"LEP","Derby, Derbyshire, Nottingham and Nottinghamshire","Education and training: Total",26940,34290
"LEP","Derby, Derbyshire, Nottingham and Nottinghamshire","Further education and skills: Total",41150,65520
"LEP","Dorset","Apprenticeships: Total",2750,4690
"LEP","Dorset","Community learning: Total",1400,3590
"LEP","Dorset","Education and training: Total",6240,8410
"LEP","Dorset","Further education and skills: Total",11450,15790
"LEP","Enterprise M3","Apprenticeships: Total",3210,5710
"LEP","Enterprise M3","Community learning: Total",6950,14220
"LEP","Enterprise M3","Education and training: Total",9910,11760
"LEP","Enterprise M3","Further education and skills: Total",21800,32130
"LEP","Gloucestershire","Apprenticeships: Total",1650,3000
"LEP","Gloucestershire","Community learning: Total",1750,3150
"LEP","Gloucestershire","Education and training: Total",4990,6570
"LEP","Gloucestershire","Further education and skills: Total",9560,11710
"LEP","Greater Birmingham and Solihull","Apprenticeships: Total",5320,11560
"LEP","Greater Birmingham and Solihull","Community learning: Total",6410,14350
"LEP","Greater Birmingham and Solihull","Education and training: Total",28580,46660
"LEP","Greater Birmingham and Solihull","Further education and skills: Total",38740,67220
"LEP","Greater Cambridge and Greater Peterborough","Apprenticeships: Total",1780,3300
"LEP","Greater Cambridge and Greater Peterborough","Community learning: Total",1800,8740
"LEP","Greater Cambridge and Greater Peterborough","Education and training: Total",6710,8610
"LEP","Greater Cambridge and Greater Peterborough","Further education and skills: Total",11140,19760
"LEP","Greater Lincolnshire","Apprenticeships: Total",3280,6180
"LEP","Greater Lincolnshire","Community learning: Total",6300,10730
"LEP","Greater Lincolnshire","Education and training: Total",12990,17340
"LEP","Greater Lincolnshire","Further education and skills: Total",21870,32860
"LEP","Greater Manchester","Apprenticeships: Total",8170,16280
"LEP","Greater Manchester","Community learning: Total",12960,25060
"LEP","Greater Manchester","Education and training: Total",38290,53210
"LEP","Greater Manchester","Further education and skills: Total",55830,86980
"LEP","Heart of South West","Apprenticeships: Total",760,770
"LEP","Heart of South West","Community learning: Total",610,1770
"LEP","Heart of South West","Education and training: Total",2110,2200
"LEP","Heart of South West","Further education and skills: Total",3590,4810
