"geographic_level","area","SSA","Level","sex","Achievements","Enrolments","Total","Total_ach","Total_enr","pcAch","pcEnr"
"country","England","Agriculture, Horticulture and Animal Care","Total","Total",16250,20990,"Total",1309710,1691340,0.0124073268128059,0.0124102782409214
"country","England","Agriculture, Horticulture and Animal Care","Total","Female",9950,12970,"Total",776930,1015570,0.0128068165729216,0.0127711531455242
"country","England","Agriculture, Horticulture and Animal Care","Total","Male",6300,8020,"Total",532790,675760,0.0118245462564988,0.0118681188587664
"country","England","Arts, Media and Publishing","Total","Total",40120,46960,"Total",1309710,1691340,0.0306327354910629,0.0277649674222806
"country","England","Arts, Media and Publishing","Total","Female",27890,32200,"Total",776930,1015570,0.0358976999214859,0.0317063324044625
"country","England","Arts, Media and Publishing","Total","Male",12220,14760,"Total",532790,675760,0.0229358659133993,0.0218420741091512
"country","England","Business, Administration and Law","Total","Total",82270,112160,"Total",1309710,1691340,0.0628154324239717,0.066314283349297
"country","England","Business, Administration and Law","Total","Female",43620,62970,"Total",776930,1015570,0.0561440541618936,0.0620045885561803
"country","England","Business, Administration and Law","Total","Male",38650,49190,"Total",532790,675760,0.0725426528275681,0.0727921155439801
"country","England","Construction, Planning and the Built Environment","Total","Total",55380,67530,"Total",1309710,1691340,0.0422841697780425,0.0399269218489482
"country","England","Construction, Planning and the Built Environment","Total","Female",4000,4850,"Total",776930,1015570,0.00514846897403885,0.00477564323483364
"country","England","Construction, Planning and the Built Environment","Total","Male",51380,62690,"Total",532790,675760,0.0964357439141125,0.0927696223511306
"country","England","Education and Training","Total","Total",26510,35330,"Total",1309710,1691340,0.0202411220804606,0.0208887627561578
"country","England","Education and Training","Total","Female",22770,30420,"Total",776930,1015570,0.0293076596347161,0.0299536221038432
"country","England","Education and Training","Total","Male",3740,4900,"Total",532790,675760,0.00701965126973104,0.0072510950633361
"country","England","Engineering and Manufacturing Technologies","Total","Total",44690,56520,"Total",1309710,1691340,0.0341220575547259,0.0334172904324382
"country","England","Engineering and Manufacturing Technologies","Total","Female",7100,8760,"Total",776930,1015570,0.00913853242891895,0.00862569788394695
"country","England","Engineering and Manufacturing Technologies","Total","Male",37590,47760,"Total",532790,675760,0.0705531259971096,0.0706759796377412
"country","England","Health, Public Services and Care","Total","Total",215660,297840,"Total",1309710,1691340,0.164662406181521,0.176097059136543
"country","England","Health, Public Services and Care","Total","Female",165450,232790,"Total",776930,1015570,0.212953547938682,0.229221028584933
"country","England","Health, Public Services and Care","Total","Male",50210,65050,"Total",532790,675760,0.0942397567521913,0.0962619865040843
"country","England","History, Philosophy and Theology","Total","Total",1890,2680,"Total",1309710,1691340,0.00144306754930481,0.00158454243380988
"country","England","History, Philosophy and Theology","Total","Female",1400,1980,"Total",776930,1015570,0.0018019641409136,0.00194964404226198
"country","England","History, Philosophy and Theology","Total","Male",490,700,"Total",532790,675760,0.000919686931061018,0.00103587072333373
