"area","geographic_level","year","  Corporate Managers And Directors ","Conf","  Other Managers And Proprietors ","Conf_2","  Science Research Engineering And Technology Professionals ","Conf_3","  Health Professionals ","Conf_4","  Teaching And Educational Professionals ","Conf_5","  Business Media And Public Service Professionals ","Conf_6","  Science Engineering And Technology Associate Professionals ","Conf_7","  Health And Social Care Associate Professionals ","Conf_8","  Protective Service Occupations ","Conf_9","  Culture Media And Sports Occupations ","Conf_10","  Business And Public Service Associate Professionals ","Conf_11","  Administrative Occupations ","Conf_12","  Secretarial And Related Occupations ","conf_13","  skilled agricultural and related trades ","conf_14","  skilled metal electrical and electronic trades ","conf_15","  skilled construction and building trades ","conf_16","  textiles printing and other skilled trades ","conf_17","  caring personal service occupations ","conf_18","  leisure travel and related personal service occupations ","conf_19","  sales occupations ","conf_20","  customer service occupations ","conf_21","  process plant and machine operatives ","conf_22","  transport and mobile machine drivers and operatives ","conf_23","  elementary trades and related occupations ","conf_24","  elementary administration and service occupations ","conf_25"
"Black Country","LEP","2021",33000,7100,16000,4900,23100,5900,26100,6300,29500,6700,22100,5800,9800,3800,11000,4100,4700,2700,10400,4000,40800,7800,55400,9100,8000,"3500","3600","","25000","6100","21400","5700","10500","4000","56800","9300","10500","4000","18600","5300","8500","3600","22400","5800","25800","6200","18300","5300","39900","7800"
"Cheshire and Warrington","LEP","2021",40900,7400,15900,4600,40300,7300,20900,5300,24700,5700,33100,6700,9700,3600,5600,2700,4600,2500,7500,3200,30500,6400,34000,6800,7800,"3200","3600","2200","12300","4100","10000","3700","6800","3000","36500","7000","8000","3300","20700","5300","10700","3800","8800","3400","7200","3100","9300","3500","24000","5700"
"Cornwall and Isles of Scilly","LEP","2021",17300,5200,7700,3400,14500,4700,8100,3500,11400,4200,9800,3900,2400,NA,4700,NA,3800,NA,4600,2700,15400,4900,19400,5500,5200,"2800","7300","3300","15100","4800","13800","4600","3200","","19600","5500","8300","3600","21500","5700","1300","","5300","2900","10100","3900","5100","2800","19200","5400"
"Coventry and Warwickshire","LEP","2021",29600,6000,7700,3100,44000,7400,19600,4900,30100,6100,33100,6400,14400,4200,5600,2600,6700,2900,12000,3800,36400,6700,32300,6300,5800,"2700","2800","","19100","4900","8000","3100","5900","2700","28600","5900","6300","2800","23900","5400","12700","4000","9800","3500","18400","4800","13800","4100","43000","7300"
"Cumbria","LEP","2021",13900,4100,9400,3300,9100,3300,10400,3500,11200,3600,8600,3200,5200,2500,3400,2000,3900,2200,5100,2500,11400,3700,17500,4600,7300,"2900","6200","2700","8400","3200","8600","3200","3200","1900","17300","4500","2800","","18000","4600","4300","2300","8000","3100","9300","3300","3300","2000","21400","5000"
"Dorset","LEP","2021",31200,5400,10900,3200,25200,4900,17900,4100,18200,4100,20400,4400,5900,2300,6400,2400,3200,1700,8300,2800,27500,5100,32200,5500,6700,"2500","4200","2000","15100","3800","13700","3600","5700","2300","21100","4500","10800","3200","20900","4400","5400","2300","4600","2100","9900","3000","6200","2400","25900","4900"
"Gloucestershire","LEP","2021",27000,5900,8800,3400,29500,6200,10200,3600,12400,4000,16500,4600,4700,2500,3200,2000,3300,NA,11100,3800,22900,5400,26600,5800,7700,"3100","4700","2400","13900","4200","11400","3800","4400","2400","25900","5800","4000","2300","17700","4800","3700","2200","9600","3500","6400","2900","7000","3000","21600","5300"
"Greater Birmingham and Solihull","LEP","2021",65400,10300,28300,6800,62300,10000,46100,8600,53800,9300,49200,8900,18600,5500,11900,4400,6300,3200,15000,4900,76500,11100,83200,11600,11300,"4300","4500","2700","32100","7200","23400","6200","8500","3700","66500","10400","18400","5500","43000","8300","26100","6500","27400","6700","37300","7800","16500","5200","76000","11100"
"Greater Manchester","LEP","2021",79400,9300,38900,6500,101900,10500,61000,8100,68400,8600,75900,9100,28700,5600,29100,5600,11500,3500,29200,5600,108800,10900,115600,11200,26800,"5400","6800","2700","38400","6500","37300","6400","20000","4700","94700","10100","26600","5400","75100","9000","25700","5300","30000","5700","46600","7100","26800","5400","109200","10900"
"Heart of the South West","LEP","2021",53900,7600,31400,5800,47800,7200,41200,6700,37100,6300,38600,6500,11700,3600,10900,3400,10300,3300,17400,4300,52600,7500,53000,7600,13900,"3900","16600","4200","31100","5800","29700","5700","20400","4700","76000","9100","21000","4800","48000","7200","12500","3700","21700","4800","27800","5500","21800","4900","69500","8700"
