"year","area","geographic_level","  corporate managers and directors  ","  other managers and proprietors  ","  science research engineering and technology professionals  ","  health professionals  ","  teaching and other educational professionals  ","  business media and public service professionals  ","  science engineering and technology associate professionals  ","  health and social care associate professionals  ","  protective service occupations  ","  culture media and sports occupations  ","  business and public service associate professionals  ","  administrative occupations  ","  secretarial and related occupations  ","  skilled agricultural and related trades  ","  skilled metal electrical and electronic trades  ","  skilled construction and building trades  ","  textiles printing and other skilled trades  ","  caring personal service occupations  ","  leisure travel and related personal service occupations  ","  community and civil enforcement occupations  ","  sales occupations  ","  customer service occupations  ","  process plant and machine operatives  ","  transport and mobile machine drivers and operatives  ","  elementary trades and related occupations  ","  elementary administration and service occupations  "
2022,"England","COUNTRY",2024800,905400,2262900,1237600,1424100,2266000,556900,768400,294700,596200,1940400,2348800,454900,244900,834300,754500,489600,1606300,511000,5946200,1328600,432300,610800,929200,511200,"2114300"
2022,"Black Country","LEP",24400,19000,20900,29200,26700,29400,9800,23500,3200,9700,41600,57300,10300,4800,20400,20100,7100,34800,11900,142900,22700,7500,32600,23400,13600,"43100"
2022,"Cheshire and Warrington","LEP",38300,12500,41300,16100,21400,35100,10200,12700,3800,6500,31900,40400,6000,4500,12700,7200,6900,31200,9700,87300,19200,5700,14000,11800,6400,"29700"
2022,"Cornwall and Isles of Scilly","LEP",10600,10800,13200,11100,12200,15600,3700,6400,2100,5900,11300,25000,7500,8900,12700,10700,4800,16000,8700,68100,21500,1300,5200,12200,5400,"22500"
2022,"Coventry and Warwickshire","LEP",20900,11100,47800,17900,29600,27800,13100,10300,5000,11900,37500,39800,6600,2400,19000,6700,9200,22200,7200,118800,17100,9800,10500,22100,10000,"49000"
2022,"Cumbria","LEP",11900,11300,16200,11600,10700,10700,6600,6000,4000,2500,11100,20100,5100,5500,9000,6200,3400,14200,3400,67200,23200,3500,8500,8500,6000,"17500"
2022,"Dorset","LEP",30900,8700,25400,19400,15200,25400,6300,8600,3700,8800,22800,28800,6000,4300,15800,13800,7500,22600,11800,72500,20500,3200,4400,11100,8000,"24900"
2022,"Gloucestershire","LEP",22900,11100,31800,13700,14200,21000,5300,8500,4800,10300,21800,24200,6800,6400,13700,10800,1900,23000,5800,63300,18700,1200,8200,5900,7500,"21600"
2022,"Greater Birmingham and Solihull","LEP",60400,27100,68900,53300,53200,68100,20700,30100,6100,15800,59400,83900,10000,6400,30200,20600,11800,40900,17900,230500,45400,18900,28600,36400,17600,"83400"
2022,"Greater Manchester","LEP",73100,39900,106200,71100,73000,97600,31400,49500,9600,23700,97800,118700,21500,5500,29900,33600,22700,74300,24500,315600,75600,20900,24300,49800,24000,"120000"
2022,"Heart of the South West","LEP",53100,31100,51800,44600,37200,47200,15200,23400,10300,11200,47400,58100,18000,14700,31200,32500,20100,58600,22800,205200,56100,10300,21900,32900,16800,"66500"
2022,"Lancashire","LEP",32800,24600,39300,31800,30900,41500,13500,25000,7800,7600,38100,64000,9300,5200,24600,21900,9600,46500,11300,174500,38600,15000,21300,23700,22000,"53500"
2022,"Leicester and Leicestershire","LEP",34200,11700,42900,16200,35100,28300,13000,13900,3400,8300,36600,40900,6400,4400,22300,16900,8200,38200,8400,129200,27000,8500,25000,13700,10400,"44600"
2022,"Liverpool City Region","LEP",39500,22600,49300,39100,39500,52600,13500,28400,11700,10900,52700,82600,13900,2700,25000,14500,14200,46100,13200,169300,30800,16100,17100,30800,14300,"58900"
2022,"North East","LEP",52400,26700,55400,43400,46600,52300,22000,27000,8100,12600,53300,85300,13500,9200,34800,28900,16100,56700,13600,239300,53500,20400,32400,30700,29600,"70100"
2022,"Stoke-on-Trent and Staffordshire","LEP",40600,21200,31200,26000,32000,32200,10000,12800,8600,9500,26800,50000,7200,5100,21900,16600,13900,32400,5800,159400,33800,10300,24000,20800,13100,"56700"
2022,"Swindon and Wiltshire","LEP",31000,13100,29000,12200,14300,24900,6500,10200,9800,7100,23200,31600,7100,4800,11400,12600,7100,24700,10700,72400,16800,2000,9300,10800,7200,"26000"
2022,"Tees Valley","LEP",12000,7100,12400,12100,13300,14200,8400,8900,3900,4100,15500,23900,3300,2900,13300,8500,4300,24000,7900,87000,15300,9300,11300,12100,7000,"31700"
2022,"Thames Valley Berkshire","LEP",44700,13200,60400,14200,23300,43200,12700,10300,5700,9400,38300,38200,6700,4900,12000,13400,8200,31000,6000,73500,14400,4300,7400,14500,5300,"27200"
2022,"The Marches","LEP",24400,13100,26100,15700,19200,17300,6900,6200,2200,5800,21700,23900,6800,10100,10500,8800,5900,19300,5100,77600,14900,3600,10800,11600,12200,"24300"
2022,"West of England","LEP",38700,23000,63800,29300,33300,68700,14000,22800,4000,12700,39400,50000,10700,6200,14500,17000,12400,32200,9700,120200,28100,9400,11500,18600,6100,"46200"
