"area","geographic_level","year","  All ","  Economically Active ","Employment","  Employees ","  Self Employed ","  Unemployed ","  Inactive ","empRate","Year"
"Black Country","LEP","2017",723300,523900,488100,431400,54200,35800,199400,0.674823724595603,17
"Buckinghamshire","LEP","2017",321800,274100,266400,214500,50400,7800,47600,0.827843380981976,17
"Cheshire and Warrington","LEP","2017",560400,437900,421800,360900,59700,16100,122500,0.752676659528908,17
"Coast to Capital","LEP","2017",939900,766900,741300,616900,122000,25600,173000,0.788700925630386,17
"Cornwall and Isles of Scilly","LEP","2017",324500,255700,247900,188800,57600,7900,68800,0.763944530046225,17
"Coventry and Warwickshire","LEP","2017",579300,450600,434100,376300,55700,16600,128700,0.749352667011911,17
"Cumbria","LEP","2017",294400,236700,230200,197700,31800,6400,57800,0.781929347826087,17
"Derby, Derbyshire, Nottingham and Nottinghamshire","LEP","2017",1368100,1042000,1002200,876700,119000,39800,326100,0.732548790293107,17
"Dorset","LEP","2017",446500,354600,344600,289700,52600,10000,91800,0.771780515117581,17
"Enterprise M3","LEP","2017",926700,765600,745200,644100,98400,20300,161200,0.80414373583684,17
"Gloucestershire","LEP","2017",378000,313200,304400,260600,43400,8900,64800,0.805291005291005,17
"Greater Birmingham and Solihull","LEP","2017",1266200,943900,881100,764200,114100,62800,322400,0.695861633233297,17
"Greater Cambridge and Greater Peterborough","LEP","2017",525000,421200,408800,353000,55400,12400,103800,0.778666666666667,17
"Greater Lincolnshire","LEP","2017",664800,514400,491400,426500,62700,23000,150400,0.739169675090253,17
"Greater Manchester","LEP","2017",1776100,1345200,1269600,1103400,159900,75500,431000,0.714824615731096,17
"Heart of the South West","LEP","2017",1015400,808900,777500,645400,127300,31400,206500,0.765708095331889,17
"Hertfordshire","LEP","2017",735400,604600,585100,496200,87000,19500,130800,0.795621430514006,17
"Hull and East Yorkshire","LEP","2017",363700,281800,267600,235900,30600,14200,81900,0.735771240032994,17
"Lancashire","LEP","2017",904900,708900,675900,588400,85300,32900,196000,0.74693336280252,17
"Leeds City Region","LEP","2017",1448700,1108000,1056200,913300,139900,51800,340700,0.72906743977359,17
"Leicester and Leicestershire","LEP","2017",657000,502800,482100,423500,56700,20700,154200,0.7337899543379,17
"Liverpool City Region","LEP","2017",969700,706000,671400,591900,77900,34600,263700,0.692379086315355,17
"London","LEP","2017",5933300,4627700,4370600,3555800,793300,257100,1305600,0.736622115854583,17
"New Anglia","LEP","2017",963500,766800,738900,628000,107100,27900,196700,0.766891541255838,17
"North East","LEP","2017",1233800,938700,878500,778900,96000,60200,295200,0.712027881342195,17
"Oxfordshire","LEP","2017",424000,351700,339700,291700,47600,12000,72300,0.801179245283019,17
"Sheffield City Region","LEP","2017",877600,658800,617300,539600,74600,41500,218800,0.703395624430264,17
"Solent","LEP","2017",768200,607900,585100,504600,77300,22800,160300,0.761650611819839,17
"South East","LEP","2017",2527600,2006000,1926000,1595500,324000,80000,521600,0.761987656274727,17
"South East Midlands","LEP","2017",1038000,836800,795600,692500,101800,41100,201200,0.766473988439306,17
"Stoke-on-Trent and Staffordshire","LEP","2017",688500,560000,532600,469000,63300,27500,128500,0.77356572258533,17
"Swindon and Wiltshire","LEP","2017",430100,363500,347600,298500,48800,15900,66600,0.808184143222506,17
"Tees Valley","LEP","2017",412600,302400,281200,251200,28100,21200,110200,0.681531749878817,17
"Thames Valley Berkshire","LEP","2017",568100,466400,451800,386700,63800,14600,101700,0.795282520682978,17
"The Marches","LEP","2017",405100,323200,310600,256900,52400,12500,82000,0.766724265613429,17
"West of England","LEP","2017",726900,593600,570900,491800,77100,22800,133300,0.785390012381345,17
"Worcestershire","LEP","2017",350000,275600,265000,223400,41300,10600,74400,0.757142857142857,17
"York and North Yorkshire","LEP","2017",490100,395900,382000,319100,60100,13900,94200,0.779432768822689,17
"Black Country","LEP","2018",727600,534300,500400,446100,53500,33900,193300,0.687740516767455,18
"Buckinghamshire","LEP","2018",321900,264500,258200,210800,46800,6300,57400,0.802112457284871,18
"Cheshire and Warrington","LEP","2018",559000,441400,426200,370900,54800,15100,117600,0.762432915921288,18
"Coast to Capital","LEP","2018",943000,756700,726800,597100,127500,29900,186300,0.770731707317073,18
"Cornwall and Isles of Scilly","LEP","2018",329400,253300,246200,192400,52700,7100,76100,0.747419550698239,18
"Coventry and Warwickshire","LEP","2018",583200,466700,453400,388100,61600,13300,116500,0.777434842249657,18
"Cumbria","LEP","2018",292100,235700,229700,198800,30400,5900,56500,0.786374529270798,18
"Derby, Derbyshire, Nottingham and Nottinghamshire","LEP","2018",1367000,1055500,1011900,882900,124400,43600,311600,0.740234089246525,18
"Dorset","LEP","2018",446100,357000,344600,289400,54600,12400,89100,0.772472539789285,18
"Enterprise M3","LEP","2018",930600,777900,758500,635600,120500,19400,152700,0.815065549108102,18
"Gloucestershire","LEP","2018",378100,317700,310300,262900,46700,7400,60400,0.820682359164242,18
"Greater Birmingham and Solihull","LEP","2018",1262900,948100,895600,780500,114200,52500,314800,0.709161453796817,18
"Greater Cambridge and Greater Peterborough","LEP","2018",525400,421300,408000,357700,50300,13300,104100,0.77655119908641,18
"Greater Lincolnshire","LEP","2018",663500,524700,497300,431600,63500,27400,138800,0.749510173323286,18
"Greater Manchester","LEP","2018",1780500,1360000,1298600,1122100,171100,61400,420400,0.729345689413086,18
"Heart of the South West","LEP","2018",1008000,818400,793900,661400,129800,24500,189600,0.787599206349206,18
"Hertfordshire","LEP","2018",739700,600200,578000,488200,87800,22200,139600,0.781397863998919,18
"Hull and East Yorkshire","LEP","2018",362500,283200,268700,234700,33600,14500,79300,0.741241379310345,18
"Lancashire","LEP","2018",900400,704100,669600,586100,81500,34500,196300,0.743669480231008,18
"Leeds City Region","LEP","2018",1450200,1096100,1047000,909800,132600,49000,354100,0.721969383533306,18
"Leicester and Leicestershire","LEP","2018",655900,503600,481400,431400,46600,22200,152200,0.73395334654673,18
"Liverpool City Region","LEP","2018",968700,722700,694100,619000,74400,28600,245900,0.716527304635078,18
"London","LEP","2018",6003100,4707200,4465900,3638000,807700,241300,1295900,0.74393230164415,18
"New Anglia","LEP","2018",962200,773200,738500,624000,111500,34700,189000,0.767511951777177,18
"North East","LEP","2018",1231400,927800,881100,775900,102000,46700,303700,0.715527042390775,18
"Oxfordshire","LEP","2018",423400,353000,345300,301000,43500,7700,70400,0.815540859707133,18
"Sheffield City Region","LEP","2018",879200,675700,635900,566100,67300,39800,203500,0.723271155595996,18
"Solent","LEP","2018",767600,610200,584600,510300,73100,25600,157400,0.761594580510683,18
"South East","LEP","2018",2537000,2027900,1944800,1626900,309000,83200,509100,0.766574694521088,18
"South East Midlands","LEP","2018",1045600,847900,812100,705500,104000,35900,197700,0.77668324407039,18
