"area","minEmp","maxEmp"
"Black Country",471400,534300
"Brighton and Hove, East Sussex, West Sussex",780000,806300
"Buckinghamshire",253500,272500
"Cambridgeshire and Peterborough",407400,430500
"Cheshire and Warrington",426200,452400
"Coast to Capital",726800,758800
"Cornwall and Isles of Scilly",242900,253800
"Cornwall and the Isles of Scilly",242900,253800
"Coventry and Warwickshire",445600,483000
"Cumbria",211000,244500
"Derby, Derbyshire, Nottingham and Nottinghamshire",1011900,1033600
"Derbyshire and Nottinghamshire",1011900,1033600
"Dorset",309800,717000
"England",26137300,26510800
"Enterprise M3",742300,768100
"Enterprise M3 LEP (including all of Surrey)",566100,592500
"Essex, Southend-on-Sea and Thurrock",856000,877700
"Gloucestershire",294000,320000
"Greater Birmingham and Solihull",895600,971300
"Greater Cambridge and Greater Peterborough",407400,430500
"Greater Lincolnshire",466500,497300
"Greater London",4465900,4660900
"Greater Manchester",1236000,1298600
"Heart of the South-West",770900,803000
"Heart of the South West",770900,803000
"Hertfordshire",578000,598400
"Hull and East Yorkshire",254700,276200
"Kent and Medway",843100,872800
"Lancashire",652700,674200
"Leeds City Region",1047000,1086900
"Leicester and Leicestershire",481400,511500
"Liverpool City Region",694100,709000
"London",4465900,4660900
"New Anglia",738500,774900
"Norfolk and Suffolk",738500,774900
"North East",499400,884700
"North of Tyne",355400,369700
"Oxfordshire",325500,351900
"Sheffield City Region",618900,645400
"Solent",573100,587300
"South East",1944800,1982900
"South East Midlands",809400,843500
"South Yorkshire",618900,645400
"Stoke-on-Trent and Staffordshire",521500,553300
"Swindon and Wiltshire",339000,354000
"Tees Valley",276800,285600
"Thames Valley Berkshire",427500,458200
"The Marches",281000,320600
"West Midlands",1245800,1289800
"West Midlands and Warwickshire",1525200,1565300
"West of England",475300,591300
"West of England and North Somerset",574400,591300
"West Yorkshire",1047000,1086900
"Worcestershire",271900,282300
"York and North Yorkshire",374700,398100
