"geographic_level","area","time_period","vacancies","jobpc","Year"
"LEP","Black Country","Oct 18",17500,0.0133770060731608,18
"LEP","Black Country","Oct 19",11910,0.0108340193666056,19
"LEP","Black Country","Oct 20",12765,0.0118348406955345,20
"LEP","Black Country","Oct 21",28280,0.0123709536307962,21
"LEP","Black Country","Oct 22",18140,0.0123917684228503,22
"LEP","Buckinghamshire","Oct 18",11055,0.00845044583650241,18
"LEP","Buckinghamshire","Oct 19",8595,0.00781850516003147,19
"LEP","Buckinghamshire","Oct 20",8360,0.00775082398861482,20
"LEP","Buckinghamshire","Oct 21",19145,0.00837489063867017,21
"LEP","Buckinghamshire","Oct 22",12675,0.00865852617197507,22
"LEP","Cheshire and Warrington","Oct 18",23040,0.0176117839957499,18
"LEP","Cheshire and Warrington","Oct 19",18905,0.017197072722559,19
"LEP","Cheshire and Warrington","Oct 20",18445,0.0171009507739235,20
"LEP","Cheshire and Warrington","Oct 21",40685,0.0177974628171479,21
"LEP","Cheshire and Warrington","Oct 22",25555,0.0174570916232602,22
"LEP","Coast to Capital","Oct 18",35125,0.0268495621897012,18
"LEP","Coast to Capital","Oct 19",28850,0.0262436153422813,19
"LEP","Coast to Capital","Oct 20",29150,0.0270258994339859,20
"LEP","Coast to Capital","Oct 21",60155,0.0263145231846019,21
"LEP","Coast to Capital","Oct 22",41690,0.0284792075826146,22
"LEP","Cornwall and Isles of Scilly","Oct 18",5435,0.00415451588615021,18
"LEP","Cornwall and Isles of Scilly","Oct 19",4930,0.00448461087131532,19
"LEP","Cornwall and Isles of Scilly","Oct 20",7015,0.00650383137322164,20
"LEP","Cornwall and Isles of Scilly","Oct 21",14545,0.00636264216972878,21
"LEP","Cornwall and Isles of Scilly","Oct 22",8880,0.00606609170864999,22
"LEP","Coventry and Warwickshire","Oct 18",22930,0.0175276999575758,18
"LEP","Coventry and Warwickshire","Oct 19",17480,0.0159008109595521,19
"LEP","Coventry and Warwickshire","Oct 20",15765,0.0146162368636977,20
"LEP","Coventry and Warwickshire","Oct 21",35360,0.0154680664916885,21
"LEP","Coventry and Warwickshire","Oct 22",24750,0.0169071812825549,22
"LEP","Cumbria","Oct 18",5085,0.003886975764687,18
"LEP","Cumbria","Oct 19",4430,0.00402978218254095,19
"LEP","Cumbria","Oct 20",6790,0.0062952266606094,20
"LEP","Cumbria","Oct 21",14170,0.00619860017497813,21
"LEP","Cumbria","Oct 22",8195,0.00559815558022372,22
"LEP","Derby, Derbyshire, Nottingham and Nottinghamshire","Oct 18",37165,0.0284089388976583,18
"LEP","Derby, Derbyshire, Nottingham and Nottinghamshire","Oct 19",31950,0.0290635532126824,19
"LEP","Derby, Derbyshire, Nottingham and Nottinghamshire","Oct 20",34345,0.0318423504651885,20
"LEP","Derby, Derbyshire, Nottingham and Nottinghamshire","Oct 21",72650,0.0317804024496938,21
"LEP","Derby, Derbyshire, Nottingham and Nottinghamshire","Oct 22",47535,0.0324720348390402,22
"LEP","Dorset","Oct 18",13630,0.0104187767301246,18
"LEP","Dorset","Oct 19",10955,0.00996529657104652,19
"LEP","Dorset","Oct 20",10920,0.0101242820521141,20
"LEP","Dorset","Oct 21",24600,0.010761154855643,21
"LEP","Dorset","Oct 22",16080,0.0109845444453932,22
"LEP","Enterprise M3","Oct 18",38590,0.0294982093921871,18
"LEP","Enterprise M3","Oct 19",33270,0.0302643009510468,19
"LEP","Enterprise M3","Oct 20",33690,0.0312350789684729,20
"LEP","Enterprise M3","Oct 21",69915,0.0305839895013123,21
"LEP","Enterprise M3","Oct 22",46750,0.0319357868670481,22
"LEP","Gloucestershire","Oct 18",14315,0.0109423909678455,18
"LEP","Gloucestershire","Oct 19",12500,0.0113707172193593,19
"LEP","Gloucestershire","Oct 20",12535,0.011621600322642,20
"LEP","Gloucestershire","Oct 21",31355,0.0137160979877515,21
"LEP","Gloucestershire","Oct 22",20095,0.0137272649645632,22
"LEP","Greater Birmingham and Solihull","Oct 18",50820,0.0388468256364588,18
"LEP","Greater Birmingham and Solihull","Oct 19",43965,0.0399930866039306,19
"LEP","Greater Birmingham and Solihull","Oct 20",37515,0.034781359082881,20
"LEP","Greater Birmingham and Solihull","Oct 21",87500,0.0382764654418198,21
"LEP","Greater Birmingham and Solihull","Oct 22",63080,0.043091110921356,22
"LEP","Greater Cambridge and Greater Peterborough","Oct 18",25460,0.0194616328355813,18
"LEP","Greater Cambridge and Greater Peterborough","Oct 19",24340,0.0221410605695365,19
"LEP","Greater Cambridge and Greater Peterborough","Oct 20",23575,0.0218571382214826,20
"LEP","Greater Cambridge and Greater Peterborough","Oct 21",47850,0.0209317585301837,21
"LEP","Greater Cambridge and Greater Peterborough","Oct 22",32690,0.0223311416616856,22
"LEP","Greater Lincolnshire","Oct 18",16910,0.0129260098684085,18
"LEP","Greater Lincolnshire","Oct 19",14430,0.0131263559580284,19
"LEP","Greater Lincolnshire","Oct 20",15990,0.0148248415763099,20
"LEP","Greater Lincolnshire","Oct 21",31080,0.0135958005249344,21
"LEP","Greater Lincolnshire","Oct 22",18235,0.0124566646742379,22
"LEP","Greater Manchester","Oct 18",65105,0.0497662845938932,18
"LEP","Greater Manchester","Oct 19",55680,0.0506497227819142,19
"LEP","Greater Manchester","Oct 20",54315,0.050357177624595,20
"LEP","Greater Manchester","Oct 21",119010,0.0520603674540682,21
"LEP","Greater Manchester","Oct 22",76485,0.052248313551362,22
"LEP","Heart of the South West","Oct 18",25115,0.0191979147158533,18
"LEP","Heart of the South West","Oct 19",23420,0.0213041757821916,19
"LEP","Heart of the South West","Oct 20",25600,0.0237345806349927,20
"LEP","Heart of the South West","Oct 21",56315,0.0246347331583552,21
"LEP","Heart of the South West","Oct 22",36355,0.024834770728375,22
"LEP","Hertfordshire","Oct 18",28175,0.0215369797777888,18
"LEP","Hertfordshire","Oct 19",23370,0.0212586929133142,19
"LEP","Hertfordshire","Oct 20",23770,0.0220379289724132,20
"LEP","Hertfordshire","Oct 21",53680,0.0234820647419073,21
"LEP","Hertfordshire","Oct 22",31975,0.0218427119801896,22
"LEP","Hull and East Yorkshire","Oct 18",6490,0.00496095825227505,18
"LEP","Hull and East Yorkshire","Oct 19",5735,0.00521688506024206,19
"LEP","Hull and East Yorkshire","Oct 20",6965,0.00645747477041892,20
"LEP","Hull and East Yorkshire","Oct 21",14100,0.00616797900262467,21
"LEP","Hull and East Yorkshire","Oct 22",8730,0.00596362394330117,22
"LEP","Lancashire","Oct 18",19260,0.0147223506839472,18
"LEP","Lancashire","Oct 19",16815,0.0152958888034822,19
"LEP","Lancashire","Oct 20",20980,0.0194512305360214,20
"LEP","Lancashire","Oct 21",43710,0.0191207349081365,21
"LEP","Lancashire","Oct 22",26495,0.0180992229527794,22
"LEP","Leeds City Region","Oct 18",43555,0.0332934571152295,18
"LEP","Leeds City Region","Oct 19",36705,0.0333889740429267,19
"LEP","Leeds City Region","Oct 20",36005,0.0333813896782388,20
"LEP","Leeds City Region","Oct 21",76410,0.0334251968503937,21
"LEP","Leeds City Region","Oct 22",50305,0.034364272905815,22
"LEP","Leicester and Leicestershire","Oct 18",17795,0.0136025041755369,18
"LEP","Leicester and Leicestershire","Oct 19",14765,0.0134310911795072,19
"LEP","Leicester and Leicestershire","Oct 20",16710,0.0154923766566691,20
"LEP","Leicester and Leicestershire","Oct 21",35440,0.0155030621172353,21
"LEP","Leicester and Leicestershire","Oct 22",23490,0.0160464520536248,22
"LEP","Liverpool City Region","Oct 18",19030,0.0145465386041285,18
"LEP","Liverpool City Region","Oct 19",17085,0.0155414962954203,19
"LEP","Liverpool City Region","Oct 20",20030,0.0185704550827697,20
"LEP","Liverpool City Region","Oct 21",39540,0.0172965879265092,21
"LEP","Liverpool City Region","Oct 22",27580,0.0188404064554692,22
"LEP","London","Oct 18",351620,0.268778450025416,18
"LEP","London","Oct 19",291915,0.265542633367142,19
"LEP","London","Oct 20",260225,0.241262939286757,20
"LEP","London","Oct 21",540080,0.236255468066492,21
"LEP","London","Oct 22",342205,0.233766544274614,22
"LEP","New Anglia","Oct 18",22530,0.0172219398187607,18
"LEP","New Anglia","Oct 19",19800,0.0180112160754652,19
"LEP","New Anglia","Oct 20",23265,0.0215697272841057,20
"LEP","New Anglia","Oct 21",45765,0.0200196850393701,21
"LEP","New Anglia","Oct 22",29720,0.020302279907779,22
"LEP","North East","Oct 18",24395,0.0186475464659861,18
"LEP","North East","Oct 19",19475,0.0177155774277618,19
"LEP","North East","Oct 20",23650,0.0219266731256867,20
"LEP","North East","Oct 21",55655,0.024346019247594,21
"LEP","North East","Oct 22",33005,0.0225463239689181,22
"LEP","Oxfordshire","Oct 18",21605,0.0165148694977508,18
"LEP","Oxfordshire","Oct 19",18110,0.0164738951074078,19
"LEP","Oxfordshire","Oct 20",18625,0.0172678345440133,20
"LEP","Oxfordshire","Oct 21",41065,0.0179636920384952,21
"LEP","Oxfordshire","Oct 22",27335,0.0186730424387328,22
"LEP","Sheffield City Region","Oct 18",19865,0.0151848128939051,18
"LEP","Sheffield City Region","Oct 19",16445,0.0149593155737891,19
"LEP","Sheffield City Region","Oct 20",17755,0.0164612296552459,20
"LEP","Sheffield City Region","Oct 21",50400,0.0220472440944882,21
"LEP","Sheffield City Region","Oct 22",22295,0.0152301255230126,22
"LEP","Solent","Oct 18",23990,0.0183379643254358,18
"LEP","Solent","Oct 19",20185,0.0183614341658214,19
"LEP","Solent","Oct 20",18595,0.0172400205823316,20
"LEP","Solent","Oct 21",42285,0.018497375328084,21
"LEP","Solent","Oct 22",27425,0.0187345230979421,22
"LEP","South East","Oct 18",64210,0.0490821462832944,18
"LEP","South East","Oct 19",51545,0.0468882895257501,19
"LEP","South East","Oct 20",63510,0.0588821568800152,20
"LEP","South East","Oct 21",135635,0.059332895888014,21
"LEP","South East","Oct 22",83080,0.0567534796345316,22
"LEP","South East Midlands","Oct 18",23420,0.0179022561276243,18
"LEP","South East Midlands","Oct 19",19135,0.0174062939193953,19
"LEP","South East Midlands","Oct 20",18490,0.0171426717164459,20
"LEP","South East Midlands","Oct 21",42160,0.0184426946631671,21
"LEP","South East Midlands","Oct 22",26100,0.0178293911706942,22
"LEP","Stoke-on-Trent and Staffordshire","Oct 18",17230,0.0131706179794606,18
"LEP","Stoke-on-Trent and Staffordshire","Oct 19",13765,0.0125214338019585,19
"LEP","Stoke-on-Trent and Staffordshire","Oct 20",14365,0.0133182519852215,20
"LEP","Stoke-on-Trent and Staffordshire","Oct 21",31470,0.0137664041994751,21
"LEP","Stoke-on-Trent and Staffordshire","Oct 22",21505,0.0146904619588421,22
"LEP","Swindon and Wiltshire","Oct 18",16325,0.0124788356653914,18
"LEP","Swindon and Wiltshire","Oct 19",14400,0.0130990662367019,19
"LEP","Swindon and Wiltshire","Oct 20",12995,0.012048081068427,20
"LEP","Swindon and Wiltshire","Oct 21",26910,0.0117716535433071,21
"LEP","Swindon and Wiltshire","Oct 22",17715,0.0121014430876953,22
"LEP","Tees Valley","Oct 18",6170,0.00471635014122296,18
"LEP","Tees Valley","Oct 19",5130,0.00466654234682507,19
"LEP","Tees Valley","Oct 20",7355,0.00681905627228014,20
"LEP","Tees Valley","Oct 21",15220,0.00665791776027997,21
"LEP","Tees Valley","Oct 22",9590,0.00655110579796772,22
"LEP","Thames Valley Berkshire","Oct 18",25990,0.0198667650195113,18
"LEP","Thames Valley Berkshire","Oct 19",23510,0.021386044946171,19
"LEP","Thames Valley Berkshire","Oct 20",22700,0.021045897672435,20
"LEP","Thames Valley Berkshire","Oct 21",51585,0.0225656167979003,21
"LEP","Thames Valley Berkshire","Oct 22",32480,0.0221876867901972,22
"LEP","The Marches","Oct 18",11405,0.00871798595796562,18
"LEP","The Marches","Oct 19",9440,0.00858716564406017,19
"LEP","The Marches","Oct 20",9845,0.00912761509185561,20
"LEP","The Marches","Oct 21",20990,0.00918197725284339,21
"LEP","The Marches","Oct 22",12925,0.00882930578088976,22
"LEP","Unknown","Oct 18",359810,0.275038888867656,18
"LEP","Unknown","Oct 19",310050,0.282039269908989,19
"LEP","Unknown","Oct 20",341265,0.316397721109406,20
"LEP","Unknown","Oct 21",727990,0.318455818022747,21
"LEP","Unknown","Oct 22",343785,0.234845871402954,22
"LEP","West of England","Oct 18",40425,0.0309008840290013,18
"LEP","West of England","Oct 19",36935,0.0335981952397629,19
"LEP","West of England","Oct 20",32150,0.0298072956021491,20
"LEP","West of England","Oct 21",65440,0.0286264216972878,21
"LEP","West of England","Oct 22",49350,0.0337118947997609,22
"LEP","Worcestershire","Oct 18",9110,0.00696368716151397,18
"LEP","Worcestershire","Oct 19",8215,0.00747283535656295,19
"LEP","Worcestershire","Oct 20",8330,0.00772301002693319,20
"LEP","Worcestershire","Oct 21",18740,0.00819772528433946,21
"LEP","Worcestershire","Oct 22",11280,0.00770557595423106,22
"LEP","York and North Yorkshire","Oct 18",18865,0.0144204125468673,18
"LEP","York and North Yorkshire","Oct 19",14535,0.013221869982671,19
"LEP","York and North Yorkshire","Oct 20",13660,0.0126646238857032,20
"LEP","York and North Yorkshire","Oct 21",29395,0.0128587051618548,21
"LEP","York and North Yorkshire","Oct 22",18615,0.0127162496797882,22
"LSIP","Brighton and Hove, East Sussex, West Sussex","Oct 18",30535,0.0233409645967979,18
"LSIP","Brighton and Hove, East Sussex, West Sussex","Oct 19",25340,0.0230507179470852,19
"LSIP","Brighton and Hove, East Sussex, West Sussex","Oct 20",29700,0.0275358220648158,20
"LSIP","Brighton and Hove, East Sussex, West Sussex","Oct 21",60900,0.0266404199475066,21
"LSIP","Brighton and Hove, East Sussex, West Sussex","Oct 22",39390,0.0269080351805994,22
"LSIP","Buckinghamshire","Oct 18",11055,0.00845044583650241,18
"LSIP","Buckinghamshire","Oct 19",8595,0.00781850516003147,19
"LSIP","Buckinghamshire","Oct 20",8360,0.00775082398861482,20
"LSIP","Buckinghamshire","Oct 21",19145,0.00837489063867017,21
"LSIP","Buckinghamshire","Oct 22",12675,0.00865852617197507,22
"LSIP","Cambridgeshire and Peterborough","Oct 18",25460,0.0194616328355813,18
"LSIP","Cambridgeshire and Peterborough","Oct 19",24340,0.0221410605695365,19
"LSIP","Cambridgeshire and Peterborough","Oct 20",23575,0.0218571382214826,20
"LSIP","Cambridgeshire and Peterborough","Oct 21",47850,0.0209317585301837,21
"LSIP","Cambridgeshire and Peterborough","Oct 22",32690,0.0223311416616856,22
"LSIP","Cheshire and Warrington","Oct 18",23040,0.0176117839957499,18
"LSIP","Cheshire and Warrington","Oct 19",18905,0.017197072722559,19
"LSIP","Cheshire and Warrington","Oct 20",18445,0.0171009507739235,20
"LSIP","Cheshire and Warrington","Oct 21",40685,0.0177974628171479,21
"LSIP","Cheshire and Warrington","Oct 22",25555,0.0174570916232602,22
"LSIP","Cornwall and the Isles of Scilly","Oct 18",5435,0.00415451588615021,18
"LSIP","Cornwall and the Isles of Scilly","Oct 19",4930,0.00448461087131532,19
"LSIP","Cornwall and the Isles of Scilly","Oct 20",7015,0.00650383137322164,20
"LSIP","Cornwall and the Isles of Scilly","Oct 21",14545,0.00636264216972878,21
"LSIP","Cornwall and the Isles of Scilly","Oct 22",8880,0.00606609170864999,22
"LSIP","Cumbria","Oct 18",5085,0.003886975764687,18
"LSIP","Cumbria","Oct 19",4430,0.00402978218254095,19
"LSIP","Cumbria","Oct 20",6790,0.0062952266606094,20
