"area","geographic_level","year","Year","jobpc","jobcnt"
"Black Country","LEP",2017,17,0.0148325358851675,83.7
"Black Country","LEP",2018,18,0.0129025246095084,83.1
"Black Country","LEP",2019,19,0.0111951377124194,64.1
"Black Country","LEP",2020,20,0.0108277386605535,52.9
"Black Country","LEP",2021,21,0.0123232323232323,48.8
"Black Country","LEP",2022,22,0.0128568701769694,94.3
"Brighton and Hove, East Sussex, West Sussex","LSIP",2017,17,0.0308346624136098,174
"Brighton and Hove, East Sussex, West Sussex","LSIP",2018,18,0.0334130360525417,215.2
"Brighton and Hove, East Sussex, West Sussex","LSIP",2019,19,0.0352096686867981,201.6
"Brighton and Hove, East Sussex, West Sussex","LSIP",2020,20,0.0363721958408384,177.7
"Brighton and Hove, East Sussex, West Sussex","LSIP",2021,21,0.0307070707070707,121.6
"Brighton and Hove, East Sussex, West Sussex","LSIP",2022,22,0.0321626264554304,235.9
"Buckinghamshire","LEP",2017,17,0.0165337586390218,93.3
"Buckinghamshire","LEP",2018,18,0.0170325746048505,109.7
"Buckinghamshire","LEP",2019,19,0.0178493459315018,102.2
"Buckinghamshire","LEP",2020,20,0.0187285082691993,91.5
"Buckinghamshire","LEP",2021,21,0.015530303030303,61.5
"Buckinghamshire","LEP",2022,22,0.0154064297984894,113
"Buckinghamshire ","LSIP",2017,17,0.0165337586390218,93.3
"Buckinghamshire ","LSIP",2018,18,0.0170325746048505,109.7
"Buckinghamshire ","LSIP",2019,19,0.0178493459315018,102.2
"Buckinghamshire ","LSIP",2020,20,0.0187285082691993,91.5
"Buckinghamshire ","LSIP",2021,21,0.015530303030303,61.5
"Buckinghamshire ","LSIP",2022,22,0.0154064297984894,113
"Cambridgeshire and Peterborough","LSIP",2017,17,0.0233032075137338,131.5
"Cambridgeshire and Peterborough","LSIP",2018,18,0.028677452411266,184.7
"Cambridgeshire and Peterborough","LSIP",2019,19,0.0276298094556124,158.2
"Cambridgeshire and Peterborough","LSIP",2020,20,0.0240707384968069,117.6
"Cambridgeshire and Peterborough","LSIP",2021,21,0.0217929292929293,86.3
"Cambridgeshire and Peterborough","LSIP",2022,22,0.0235868350012271,173
"Cheshire and Warrington","LEP",2017,17,0.0181640971114655,102.5
"Cheshire and Warrington","LEP",2018,18,0.0228705400118001,147.3
"Cheshire and Warrington","LEP",2019,19,0.0209057407827864,119.7
"Cheshire and Warrington","LEP",2020,20,0.0200794170623874,98.1
"Cheshire and Warrington","LEP",2021,21,0.0231565656565657,91.7
"Cheshire and Warrington","LEP",2022,22,0.0230005726283642,168.7
"Cheshire and Warrington","LSIP",2017,17,0.0181640971114655,102.5
"Cheshire and Warrington","LSIP",2018,18,0.0228705400118001,147.3
"Cheshire and Warrington","LSIP",2019,19,0.0209057407827864,119.7
"Cheshire and Warrington","LSIP",2020,20,0.0200794170623874,98.1
"Cheshire and Warrington","LSIP",2021,21,0.0231565656565657,91.7
"Cheshire and Warrington","LSIP",2022,22,0.0230005726283642,168.7
"Coast to Capital","LEP",2017,17,0.0341130604288499,192.5
"Coast to Capital","LEP",2018,18,0.0358662236437599,231
"Coast to Capital","LEP",2019,19,0.0391393192098783,224.1
"Coast to Capital","LEP",2020,20,0.0389921401670214,190.5
"Coast to Capital","LEP",2021,21,0.0302020202020202,119.6
"Coast to Capital","LEP",2022,22,0.0315081940392114,231.1
"Cornwall and Isles of Scilly","LEP",2017,17,0.00740740740740741,41.8
"Cornwall and Isles of Scilly","LEP",2018,18,0.00732850976617085,47.2
"Cornwall and Isles of Scilly","LEP",2019,19,0.00639223151754371,36.6
"Cornwall and Isles of Scilly","LEP",2020,20,0.00689782217127886,33.7
"Cornwall and Isles of Scilly","LEP",2021,21,0.0105555555555556,41.8
"Cornwall and Isles of Scilly","LEP",2022,22,0.00809860115071033,59.4
"Cornwall and the Isles of Scilly","LSIP",2017,17,0.00740740740740741,41.8
"Cornwall and the Isles of Scilly","LSIP",2018,18,0.00732850976617085,47.2
"Cornwall and the Isles of Scilly","LSIP",2019,19,0.00639223151754371,36.6
"Cornwall and the Isles of Scilly","LSIP",2020,20,0.00689782217127886,33.7
"Cornwall and the Isles of Scilly","LSIP",2021,21,0.0105555555555556,41.8
"Cornwall and the Isles of Scilly","LSIP",2022,22,0.00809860115071033,59.4
"Coventry and Warwickshire","LEP",2017,17,0.0213361687045898,120.4
"Coventry and Warwickshire","LEP",2018,18,0.0220010558022544,141.7
"Coventry and Warwickshire","LEP",2019,19,0.0189147178510924,108.3
"Coventry and Warwickshire","LEP",2020,20,0.0177869657769772,86.9
"Coventry and Warwickshire","LEP",2021,21,0.0173484848484848,68.7
"Coventry and Warwickshire","LEP",2022,22,0.0173833610558176,127.5
"Cumbria","LEP",2017,17,0.00432394116604643,24.4
"Cumbria","LEP",2018,18,0.00409899698785827,26.4
"Cumbria","LEP",2019,19,0.00422655745149065,24.2
"Cumbria","LEP",2020,20,0.00476911740625512,23.3
"Cumbria","LEP",2021,21,0.00676767676767677,26.8
"Cumbria","LEP",2022,22,0.00568538161590271,41.7
"Cumbria","LSIP",2017,17,0.00432394116604643,24.4
"Cumbria","LSIP",2018,18,0.00409899698785827,26.4
"Cumbria","LSIP",2019,19,0.00422655745149065,24.2
"Cumbria","LSIP",2020,20,0.00476911740625512,23.3
"Cumbria","LSIP",2021,21,0.00676767676767677,26.8
"Cumbria","LSIP",2022,22,0.00568538161590271,41.7
"Derby, Derbyshire, Nottingham and Nottinghamshire","LEP",2017,17,0.0345383661173135,194.9
"Derby, Derbyshire, Nottingham and Nottinghamshire","LEP",2018,18,0.0299816787255846,193.1
"Derby, Derbyshire, Nottingham and Nottinghamshire","LEP",2019,19,0.0295859021604345,169.4
"Derby, Derbyshire, Nottingham and Nottinghamshire","LEP",2020,20,0.0314802685442934,153.8
"Derby, Derbyshire, Nottingham and Nottinghamshire","LEP",2021,21,0.037979797979798,150.4
"Derby, Derbyshire, Nottingham and Nottinghamshire","LEP",2022,22,0.0316854361519374,232.4
"Derbyshire and Nottinghamshire","LSIP",2017,17,0.0345383661173135,194.9
"Derbyshire and Nottinghamshire","LSIP",2018,18,0.0299816787255846,193.1
"Derbyshire and Nottinghamshire","LSIP",2019,19,0.0295859021604345,169.4
"Derbyshire and Nottinghamshire","LSIP",2020,20,0.0314802685442934,153.8
"Derbyshire and Nottinghamshire","LSIP",2021,21,0.037979797979798,150.4
"Derbyshire and Nottinghamshire","LSIP",2022,22,0.0316854361519374,232.4
"Dorset","LEP",2017,17,0.017384370015949,98.1
"Dorset","LEP",2018,18,0.0176381082507841,113.6
"Dorset","LEP",2019,19,0.0170808809403217,97.8
"Dorset","LEP",2020,20,0.0177255608318323,86.6
"Dorset","LEP",2021,21,0.0162626262626263,64.4
"Dorset","LEP",2022,22,0.0146838273389142,107.7
"Dorset","LSIP",2017,17,0.0355130249867092,200.4
"Dorset","LSIP",2018,18,0.035990435673695,231.8
"Dorset","LSIP",2019,19,0.0358034825436191,205
"Dorset","LSIP",2020,20,0.0377845095791714,184.6
"Dorset","LSIP",2021,21,0.0324242424242424,128.4
"Dorset","LSIP",2022,22,0.0305129114062117,223.8
"Enterprise M3","LEP",2017,17,0.0449760765550239,253.8
"Enterprise M3","LEP",2018,18,0.044949228332764,289.5
"Enterprise M3","LEP",2019,19,0.0471558062769618,270
"Enterprise M3","LEP",2020,20,0.0462993286392664,226.2
"Enterprise M3","LEP",2021,21,0.0367929292929293,145.7
"Enterprise M3","LEP",2022,22,0.0366754833256074,269
"Enterprise M3 LEP (including all of Surrey)","LSIP",2017,17,0.0372851320219741,210.4
"Enterprise M3 LEP (including all of Surrey)","LSIP",2018,18,0.0361612272148558,232.9
"Enterprise M3 LEP (including all of Surrey)","LSIP",2019,19,0.0396807377263915,227.2
"Enterprise M3 LEP (including all of Surrey)","LSIP",2020,20,0.0377640412641231,184.5
"Enterprise M3 LEP (including all of Surrey)","LSIP",2021,21,0.0287878787878788,114
"Enterprise M3 LEP (including all of Surrey)","LSIP",2022,22,0.0295176287732119,216.5
"Essex, Southend-on-Sea and Thurrock","LSIP",2017,17,0.0287967393230551,162.5
"Essex, Southend-on-Sea and Thurrock","LSIP",2018,18,0.0273576995932056,176.2
"Essex, Southend-on-Sea and Thurrock","LSIP",2019,19,0.0278219257034074,159.3
"Essex, Southend-on-Sea and Thurrock","LSIP",2020,20,0.0277755035205502,135.7
"Essex, Southend-on-Sea and Thurrock","LSIP",2021,21,0.0253787878787879,100.5
"Essex, Southend-on-Sea and Thurrock","LSIP",2022,22,0.0226597224115835,166.2
"Gloucestershire","LEP",2017,17,0.0208576998050682,117.7
"Gloucestershire","LEP",2018,18,0.0154022917119523,99.2
"Gloucestershire","LEP",2019,19,0.0148977417608327,85.3
"Gloucestershire","LEP",2020,20,0.0203045685279188,99.2
"Gloucestershire","LEP",2021,21,0.0237878787878788,94.2
"Gloucestershire","LEP",2022,22,0.0208463992583099,152.9
"Gloucestershire","LSIP",2017,17,0.0208576998050682,117.7
