"Occupation (SOC2020 Major Group)","Occupation (SOC2020 Sub-Major Group)"
"1 - Managers, directors and senior officials","11 - Corporate managers and directors"
"1 - Managers, directors and senior officials","12 - Other managers and proprietors"
"2 - Professional occupations","21 - Science, research, engineering and technology professionals"
"2 - Professional occupations","22 - Health professionals"
"2 - Professional occupations","23 - Teaching and other educational professionals"
"2 - Professional occupations","24 - Business, media and public service professionals"
"3 - Associate professional occupations","31 - Science, engineering and technology associate professionals"
"3 - Associate professional occupations","32 - Health and social care associate professionals"
"3 - Associate professional occupations","33 - Protective service occupations"
"3 - Associate professional occupations","34 - Culture, media and sports occupations"
"3 - Associate professional occupations","35 - Business and public service associate professionals"
"4 - Administrative and secretarial occupations","41 - Administrative occupations"
"4 - Administrative and secretarial occupations","42 - Secretarial and related occupations"
"5 - Skilled trades occupations","51 - Skilled agricultural and related trades"
"5 - Skilled trades occupations","52 - Skilled metal, electrical and electronic trades"
"5 - Skilled trades occupations","53 - Skilled construction and building trades"
"5 - Skilled trades occupations","54 - Textiles, printing and other skilled trades"
"6 - Caring, leisure and other service occupations","61 - Caring personal service occupations"
"6 - Caring, leisure and other service occupations","62 - Leisure, travel and related personal service occupations"
"6 - Caring, leisure and other service occupations","63 - Community and civil enforcement occupations"
"7 - Sales and customer service occupations","71 - Sales occupations"
"7 - Sales and customer service occupations","72 - Customer service occupations"
"8 - Process, plant and machine operatives","81 - Process, plant and machine operatives"
"8 - Process, plant and machine operatives","82 - Transport and mobile machine drivers and operatives"
"9 - Elementary occupations","91 - Elementary trades and related occupations"
"9 - Elementary occupations","92 - Elementary administration and service occupations"
"NULL","Corporate managers and directors"
"NULL","Other managers and proprietors"
"NULL","Science, research, engineering and technology professionals"
"NULL","Health professionals"
"NULL","Teaching and other educational professionals"
"NULL","Business, media and public service professionals"
"NULL","Science, engineering and technology associate professionals"
"NULL","Health and social care associate professionals"
"NULL","Protective service occupations"
"NULL","Culture, media and sports occupations"
"NULL","Business and public service associate professionals"
"NULL","Administrative occupations"
"NULL","Secretarial and related occupations"
"NULL","Skilled agricultural and related trades"
"NULL","Skilled metal, electrical and electronic trades"
"NULL","Skilled construction and building trades"
"NULL","Textiles, printing and other skilled trades"
"NULL","Caring personal service occupations"
"NULL","Leisure, travel and related personal service occupations"
"NULL","Community and civil enforcement occupations"
"NULL","Sales occupations"
"NULL","Customer service occupations"
"NULL","Process, plant and machine operatives"
"NULL","Transport and mobile machine drivers and operatives"
"NULL","Elementary trades and related occupations"
"NULL","Elementary administration and service occupations"
