"subgroup","STEM","pathway","SubjectHEFE","value","englandPer","ids","label","parents","colors","labelPer","idsPer"
"Artificial Intelligence SOC2010","Not STEM",NA,NA,0.390810606720688,0.719278351581855,"Not STEM","Not STEM","","#000000","Not STEM<br>39%","Not STEM<br>39%"
"Artificial Intelligence SOC2010","STEM",NA,NA,0.609189393279312,0.280721648418145,"STEM","STEM","","#12436D","STEM<br>61%","STEM<br>61%"
"Critical Technologies SOC2010","Not STEM",NA,NA,0.386768491212519,0.719278351581855,"Not STEM","Not STEM","","#000000","Not STEM<br>39%","Not STEM<br>39%"
"Critical Technologies SOC2010","STEM",NA,NA,0.613231508787481,0.280721648418145,"STEM","STEM","","#12436D","STEM<br>61%","STEM<br>61%"
"Design and development engineers","Not STEM",NA,NA,0.19047619047619,0.719278351581855,"Not STEM","Not STEM","","#000000","Not STEM<br>19%","Not STEM<br>19%"
"Design and development engineers","STEM",NA,NA,0.80952380952381,0.280721648418145,"STEM","STEM","","#12436D","STEM<br>81%","STEM<br>81%"
"Digital and Computing SOC2010","Not STEM",NA,NA,0.446951844048997,0.719278351581855,"Not STEM","Not STEM","","#000000","Not STEM<br>45%","Not STEM<br>45%"
"Digital and Computing SOC2010","STEM",NA,NA,0.553048155951003,0.280721648418145,"STEM","STEM","","#12436D","STEM<br>55%","STEM<br>55%"
"Engineering Biology SOC2010","Not STEM",NA,NA,0.290104850690034,0.719278351581855,"Not STEM","Not STEM","","#000000","Not STEM<br>29%","Not STEM<br>29%"
"Engineering Biology SOC2010","STEM",NA,NA,0.709895149309966,0.280721648418145,"STEM","STEM","","#12436D","STEM<br>71%","STEM<br>71%"
"Engineering technicians","Not STEM",NA,NA,0.355555555555556,0.719278351581855,"Not STEM","Not STEM","","#000000","Not STEM<br>36%","Not STEM<br>36%"
"Engineering technicians","STEM",NA,NA,0.644444444444444,0.280721648418145,"STEM","STEM","","#12436D","STEM<br>64%","STEM<br>64%"
