"geogConcat","metric","breakdown","subgroup","chartPeriod","timePeriod","latest","valueText","value"
"Black Country LEP","replacementDemand","Industry","Accommodation and food","2020",2020-01-01,1,"0.0299953423389234",0.0299953423389234
"Black Country LEP","replacementDemand","Industry","Agriculture","2020",2020-01-01,1,"0.0296004150913047",0.0296004150913047
"Black Country LEP","replacementDemand","Industry","Arts and entertainment","2020",2020-01-01,1,"0.0260745583801352",0.0260745583801352
"Black Country LEP","replacementDemand","Industry","Construction","2020",2020-01-01,1,"0.0234813292681064",0.0234813292681064
"Black Country LEP","replacementDemand","Industry","Education","2020",2020-01-01,1,"0.0297918295483872",0.0297918295483872
"Black Country LEP","replacementDemand","Industry","Electricity and gas","2020",2020-01-01,1,"0.0226443699840857",0.0226443699840857
"Black Country LEP","replacementDemand","Industry","Engineering","2020",2020-01-01,1,"0.023887334205092",0.023887334205092
"Black Country LEP","replacementDemand","Industry","Finance and insurance","2020",2020-01-01,1,"0.0262952591338304",0.0262952591338304
"Black Country LEP","replacementDemand","Industry","Food drink and tobacco","2020",2020-01-01,1,"0.0246137621291995",0.0246137621291995
"Black Country LEP","replacementDemand","Industry","Health and social work","2020",2020-01-01,1,"0.0315023141454276",0.0315023141454276
"Black Country LEP","replacementDemand","Industry","Information technology","2020",2020-01-01,1,"0.0249706606173683",0.0249706606173683
"Black Country LEP","replacementDemand","Industry","Media","2020",2020-01-01,1,"0.0253570516203006",0.0253570516203006
"Black Country LEP","replacementDemand","Industry","Mining and quarrying","2020",2020-01-01,1,"0.0161190805229765",0.0161190805229765
"Black Country LEP","replacementDemand","Industry","Other services","2020",2020-01-01,1,"0.027011716779052",0.027011716779052
"Black Country LEP","replacementDemand","Industry","Professional services","2020",2020-01-01,1,"0.0268980880801608",0.0268980880801608
"Black Country LEP","replacementDemand","Industry","Public admin","2020",2020-01-01,1,"0.0277232240241225",0.0277232240241225
"Black Country LEP","replacementDemand","Industry","Real estate","2020",2020-01-01,1,"0.0274083133733072",0.0274083133733072
"Black Country LEP","replacementDemand","Industry","Rest of manufacturing","2020",2020-01-01,1,"0.0223533051244285",0.0223533051244285
"Black Country LEP","replacementDemand","Industry","Support services","2020",2020-01-01,1,"0.0272555943135491",0.0272555943135491
"Black Country LEP","replacementDemand","Industry","Transport and storage","2020",2020-01-01,1,"0.0284615303450397",0.0284615303450397
"Black Country LEP","replacementDemand","Industry","Water and sewerage","2020",2020-01-01,1,"0.0254380211925918",0.0254380211925918
"Black Country LEP","replacementDemand","Industry","Wholesale and retail trade","2020",2020-01-01,1,"0.0260934135674085",0.0260934135674085
"Buckinghamshire LEP","replacementDemand","Industry","Accommodation and food","2020",2020-01-01,1,"0.0286662506218236",0.0286662506218236
"Buckinghamshire LEP","replacementDemand","Industry","Agriculture","2020",2020-01-01,1,"0.0287216728010922",0.0287216728010922
"Buckinghamshire LEP","replacementDemand","Industry","Arts and entertainment","2020",2020-01-01,1,"0.0286835841892215",0.0286835841892215
"Buckinghamshire LEP","replacementDemand","Industry","Construction","2020",2020-01-01,1,"0.0251351553079402",0.0251351553079402
"Buckinghamshire LEP","replacementDemand","Industry","Education","2020",2020-01-01,1,"0.0286619464831095",0.0286619464831095
"Buckinghamshire LEP","replacementDemand","Industry","Electricity and gas","2020",2020-01-01,1,"0.0237715997907768",0.0237715997907768
"Buckinghamshire LEP","replacementDemand","Industry","Engineering","2020",2020-01-01,1,"0.0209623238052792",0.0209623238052792
"Buckinghamshire LEP","replacementDemand","Industry","Finance and insurance","2020",2020-01-01,1,"0.0250622160586147",0.0250622160586147
"Buckinghamshire LEP","replacementDemand","Industry","Food drink and tobacco","2020",2020-01-01,1,"0.0281373461550785",0.0281373461550785
"Buckinghamshire LEP","replacementDemand","Industry","Health and social work","2020",2020-01-01,1,"0.0302649515710385",0.0302649515710385
"Buckinghamshire LEP","replacementDemand","Industry","Information technology","2020",2020-01-01,1,"0.025449073160448",0.025449073160448
"Buckinghamshire LEP","replacementDemand","Industry","Media","2020",2020-01-01,1,"0.0255649288815845",0.0255649288815845
"Buckinghamshire LEP","replacementDemand","Industry","Mining and quarrying","2020",2020-01-01,1,"0.0206938773318361",0.0206938773318361
"Buckinghamshire LEP","replacementDemand","Industry","Other services","2020",2020-01-01,1,"0.0270549205061537",0.0270549205061537
