"Sector","SOC","SectorSocYear","SOCcode","occYear"
"STEM","SOC2010","STEM SOC2010",1121,"Production managers and directors in manufacturing SOC2010"
"STEM","SOC2010","STEM SOC2010",1122,"Production managers and directors in construction SOC2010"
"STEM","SOC2010","STEM SOC2010",1123,"Production managers and directors in mining and energy SOC2010"
"STEM","SOC2010","STEM SOC2010",1136,"Information technology and telecommunications directors SOC2010"
"STEM","SOC2010","STEM SOC2010",1171,"Officers in armed forces SOC2010"
"STEM","SOC2010","STEM SOC2010",1211,"Managers and proprietors in agriculture and horticulture SOC2010"
"STEM","SOC2010","STEM SOC2010",1255,"Waste disposal and environmental services managers SOC2010"
"STEM","SOC2010","STEM SOC2010",2111,"Chemical scientists SOC2010"
"Engineering Biology","SOC2010","Engineering Biology SOC2010",2111,"Chemical scientists SOC2010"
"Critical Technologies","SOC2010","Critical Technologies SOC2010",2111,"Chemical scientists SOC2010"
"STEM","SOC2010","STEM SOC2010",2112,"Biological scientists and biochemists SOC2010"
"Engineering Biology","SOC2010","Engineering Biology SOC2010",2112,"Biological scientists and biochemists SOC2010"
"Critical Technologies","SOC2010","Critical Technologies SOC2010",2112,"Biological scientists and biochemists SOC2010"
"STEM","SOC2010","STEM SOC2010",2113,"Physical scientists SOC2010"
"Quantum","SOC2010","Quantum SOC2010",2113,"Physical scientists SOC2010"
"Critical Technologies","SOC2010","Critical Technologies SOC2010",2113,"Physical scientists SOC2010"
"STEM","SOC2010","STEM SOC2010",2114,"Social and humanities scientists SOC2010"
"STEM","SOC2010","STEM SOC2010",2119,"Natural and social science professionals n.e.c. SOC2010"
"STEM","SOC2010","STEM SOC2010",2121,"Civil engineers SOC2010"
"STEM","SOC2010","STEM SOC2010",2122,"Mechanical engineers SOC2010"
"STEM","SOC2010","STEM SOC2010",2123,"Electrical engineers SOC2010"
"Quantum","SOC2010","Quantum SOC2010",2123,"Electrical engineers SOC2010"
"Future Telecommunications","SOC2010","Future Telecommunications SOC2010",2123,"Electrical engineers SOC2010"
"Critical Technologies","SOC2010","Critical Technologies SOC2010",2123,"Electrical engineers SOC2010"
"STEM","SOC2010","STEM SOC2010",2124,"Electronics engineers SOC2010"
"Semiconductors","SOC2010","Semiconductors SOC2010",2124,"Electronics engineers SOC2010"
"Quantum","SOC2010","Quantum SOC2010",2124,"Electronics engineers SOC2010"
"Future Telecommunications","SOC2010","Future Telecommunications SOC2010",2124,"Electronics engineers SOC2010"
"Critical Technologies","SOC2010","Critical Technologies SOC2010",2124,"Electronics engineers SOC2010"
"STEM","SOC2010","STEM SOC2010",2126,"Design and development engineers SOC2010"
"Artificial Intelligence","SOC2010","Artificial Intelligence SOC2010",2126,"Design and development engineers SOC2010"
"Engineering Biology","SOC2010","Engineering Biology SOC2010",2126,"Design and development engineers SOC2010"
"Semiconductors","SOC2010","Semiconductors SOC2010",2126,"Design and development engineers SOC2010"
"Quantum","SOC2010","Quantum SOC2010",2126,"Design and development engineers SOC2010"
"Future Telecommunications","SOC2010","Future Telecommunications SOC2010",2126,"Design and development engineers SOC2010"
"Critical Technologies","SOC2010","Critical Technologies SOC2010",2126,"Design and development engineers SOC2010"
"STEM","SOC2010","STEM SOC2010",2127,"Production and process engineers SOC2010"
"Engineering Biology","SOC2010","Engineering Biology SOC2010",2127,"Production and process engineers SOC2010"
"Semiconductors","SOC2010","Semiconductors SOC2010",2127,"Production and process engineers SOC2010"
"Quantum","SOC2010","Quantum SOC2010",2127,"Production and process engineers SOC2010"
"Critical Technologies","SOC2010","Critical Technologies SOC2010",2127,"Production and process engineers SOC2010"
"STEM","SOC2010","STEM SOC2010",2129,"Engineering professionals n.e.c. SOC2010"
"Artificial Intelligence","SOC2010","Artificial Intelligence SOC2010",2129,"Engineering professionals n.e.c. SOC2010"
"Engineering Biology","SOC2010","Engineering Biology SOC2010",2129,"Engineering professionals n.e.c. SOC2010"
"Semiconductors","SOC2010","Semiconductors SOC2010",2129,"Engineering professionals n.e.c. SOC2010"
"Quantum","SOC2010","Quantum SOC2010",2129,"Engineering professionals n.e.c. SOC2010"
"Critical Technologies","SOC2010","Critical Technologies SOC2010",2129,"Engineering professionals n.e.c. SOC2010"
"STEM","SOC2010","STEM SOC2010",2133,"IT specialist managers SOC2010"
"Artificial Intelligence","SOC2010","Artificial Intelligence SOC2010",2133,"IT specialist managers SOC2010"
"Critical Technologies","SOC2010","Critical Technologies SOC2010",2133,"IT specialist managers SOC2010"
"Digital and Computing","SOC2010","Digital and Computing SOC2010",2133,"IT specialist managers SOC2010"
"STEM","SOC2010","STEM SOC2010",2134,"IT project and programme managers SOC2010"
"Artificial Intelligence","SOC2010","Artificial Intelligence SOC2010",2134,"IT project and programme managers SOC2010"
"Critical Technologies","SOC2010","Critical Technologies SOC2010",2134,"IT project and programme managers SOC2010"
"Digital and Computing","SOC2010","Digital and Computing SOC2010",2134,"IT project and programme managers SOC2010"
"STEM","SOC2010","STEM SOC2010",2135,"IT business analysts, architects and systems designers SOC2010"
"Artificial Intelligence","SOC2010","Artificial Intelligence SOC2010",2135,"IT business analysts, architects and systems designers SOC2010"
"Quantum","SOC2010","Quantum SOC2010",2135,"IT business analysts, architects and systems designers SOC2010"
"Future Telecommunications","SOC2010","Future Telecommunications SOC2010",2135,"IT business analysts, architects and systems designers SOC2010"
"Critical Technologies","SOC2010","Critical Technologies SOC2010",2135,"IT business analysts, architects and systems designers SOC2010"
"Digital and Computing","SOC2010","Digital and Computing SOC2010",2135,"IT business analysts, architects and systems designers SOC2010"
"STEM","SOC2010","STEM SOC2010",2136,"Programmers and software development professionals SOC2010"
"Artificial Intelligence","SOC2010","Artificial Intelligence SOC2010",2136,"Programmers and software development professionals SOC2010"
"Engineering Biology","SOC2010","Engineering Biology SOC2010",2136,"Programmers and software development professionals SOC2010"
