"metric","breakdown","geogConcat","subgroup","Occupation (SOC2020 Major Group)"
"L3PlusRate","Age","Buckinghamshire LSIP","20-24","All"
"L3PlusRate","Age","Buckinghamshire LSIP","25-29","All"
"L3PlusRate","Age","Buckinghamshire LSIP","30-39","All"
"L3PlusRate","Age","Buckinghamshire LSIP","40-49","All"
"L3PlusRate","Age","Buckinghamshire LSIP","50-64","All"
"L3PlusRate","Age","Buckinghamshire LSIP","16-19","All"
"L3PlusRate","Age","Cambridgeshire and Peterborough CA","30-39","All"
"L3PlusRate","Age","Cambridgeshire and Peterborough CA","25-29","All"
"L3PlusRate","Age","Cambridgeshire and Peterborough CA","20-24","All"
"L3PlusRate","Age","Cambridgeshire and Peterborough CA","40-49","All"
"L3PlusRate","Age","Cambridgeshire and Peterborough CA","50-64","All"
"L3PlusRate","Age","Cambridgeshire and Peterborough CA","16-19","All"
"L3PlusRate","Age","Cambridgeshire and Peterborough LSIP","30-39","All"
"L3PlusRate","Age","Cambridgeshire and Peterborough LSIP","25-29","All"
"L3PlusRate","Age","Cambridgeshire and Peterborough LSIP","20-24","All"
"L3PlusRate","Age","Cambridgeshire and Peterborough LSIP","40-49","All"
"L3PlusRate","Age","Cambridgeshire and Peterborough LSIP","50-64","All"
"L3PlusRate","Age","Cambridgeshire and Peterborough LSIP","16-19","All"
"L3PlusRate","Age","Central London Forward LSIP","25-29","All"
"L3PlusRate","Age","Central London Forward LSIP","30-39","All"
"L3PlusRate","Age","Central London Forward LSIP","20-24","All"
"L3PlusRate","Age","Central London Forward LSIP","40-49","All"
"L3PlusRate","Age","Central London Forward LSIP","50-64","All"
"L3PlusRate","Age","Central London Forward LSIP","16-19","All"
"L3PlusRate","Age","Cheshire and Warrington LSIP","20-24","All"
"L3PlusRate","Age","Cheshire and Warrington LSIP","40-49","All"
"L3PlusRate","Age","Cheshire and Warrington LSIP","25-29","All"
"L3PlusRate","Age","Cheshire and Warrington LSIP","30-39","All"
"L3PlusRate","Age","Cheshire and Warrington LSIP","50-64","All"
"L3PlusRate","Age","Cheshire and Warrington LSIP","16-19","All"
"L3PlusRate","Age","Cornwall and the Isles of Scilly LSIP","25-29","All"
"L3PlusRate","Age","Cornwall and the Isles of Scilly LSIP","30-39","All"
"L3PlusRate","Age","Cornwall and the Isles of Scilly LSIP","40-49","All"
"L3PlusRate","Age","Cornwall and the Isles of Scilly LSIP","20-24","All"
"L3PlusRate","Age","Cornwall and the Isles of Scilly LSIP","50-64","All"
"L3PlusRate","Age","Cornwall and the Isles of Scilly LSIP","16-19","All"
"L3PlusRate","Age","Cumbria LSIP","30-39","All"
"L3PlusRate","Age","Cumbria LSIP","20-24","All"
"L3PlusRate","Age","Cumbria LSIP","40-49","All"
"L3PlusRate","Age","Cumbria LSIP","25-29","All"
"L3PlusRate","Age","Cumbria LSIP","50-64","All"
"L3PlusRate","Age","Cumbria LSIP","16-19","All"
"L3PlusRate","Age","Devon and Torbay CA","40-49","All"
"L3PlusRate","Age","Devon and Torbay CA","20-24","All"
"L3PlusRate","Age","Devon and Torbay CA","30-39","All"
"L3PlusRate","Age","Devon and Torbay CA","50-64","All"
"L3PlusRate","Age","Devon and Torbay CA","25-29","All"
"L3PlusRate","Age","Devon and Torbay CA","16-19","All"
"L3PlusRate","Age","Dorset LSIP","40-49","All"
"L3PlusRate","Age","Dorset LSIP","30-39","All"
"L3PlusRate","Age","Dorset LSIP","25-29","All"
"L3PlusRate","Age","Dorset LSIP","20-24","All"
"L3PlusRate","Age","Dorset LSIP","50-64","All"
"L3PlusRate","Age","Dorset LSIP","16-19","All"
"L3PlusRate","Age","East Midlands CA","25-29","All"
