"time_period","area","geographic_level","Total Completed Key Stage 4","Unknown","Not Recorded as a Sustained Destination","Sustained Apprenticeships","Sustained Education","Sustained Employment"
201516,"Black Country","LEP","12688","98","747","565","10926","352"
201617,"Black Country","LEP","12586","98","725","640","10770","353"
201718,"Black Country","LEP","12443","156","679","513","10738","357"
201819,"Black Country","LEP","12519","131","679","518","10870","321"
201920,"Black Country","LEP","12776","126","707","456","11134","353"
201516,"Buckinghamshire","LEP","5605","30","152","189","5115","119"
201617,"Buckinghamshire","LEP","5496","35","126","204","5021","110"
201718,"Buckinghamshire","LEP","5468","35","135","182","5008","108"
201819,"Buckinghamshire","LEP","5552","48","155","148","5071","130"
201920,"Buckinghamshire","LEP","5673","63","162","122","5223","103"
201516,"Cheshire and Warrington","LEP","9778","64","427","543","8449","295"
201617,"Cheshire and Warrington","LEP","9392","59","445","507","8066","315"
201718,"Cheshire and Warrington","LEP","9046","82","372","444","7813","335"
201819,"Cheshire and Warrington","LEP","9030","65","394","343","7909","319"
201920,"Cheshire and Warrington","LEP","9310","85","415","335","8125","350"
201516,"Coast to Capital","LEP","13944","105","575","474","12434","356"
201617,"Coast to Capital","LEP","13687","106","546","467","12188","380"
201718,"Coast to Capital","LEP","13212","127","501","477","11727","380"
201819,"Coast to Capital","LEP","12982","108","497","306","11668","403"
201920,"Coast to Capital","LEP","13582","134","561","360","12110","417"
201516,"Cornwall and Isles of Scilly","LEP","5534","39","312","296","4743","144"
201617,"Cornwall and Isles of Scilly","LEP","5406","33","291","260","4691","131"
201718,"Cornwall and Isles of Scilly","LEP","5107","31","297","241","4384","154"
201819,"Cornwall and Isles of Scilly","LEP","5095","30","287","274","4346","158"
201920,"Cornwall and Isles of Scilly","LEP","5067","26","280","234","4373","154"
201516,"Coventry and Warwickshire","LEP","8992","54","430","476","7778","254"
201617,"Coventry and Warwickshire","LEP","8839","76","410","504","7583","266"
201718,"Coventry and Warwickshire","LEP","8661","63","396","378","7530","294"
201819,"Coventry and Warwickshire","LEP","8655","100","441","404","7435","275"
201920,"Coventry and Warwickshire","LEP","8931","111","437","358","7728","297"
201516,"Cumbria","LEP","5275","27","237","543","4278","190"
201617,"Cumbria","LEP","5100","26","211","584","4066","213"
201718,"Cumbria","LEP","4863","20","191","526","3921","205"
201819,"Cumbria","LEP","4661","26","175","493","3759","208"
201920,"Cumbria","LEP","4893","30","222","455","3962","224"
201516,"Derby, Derbyshire, Nottingham and Nottinghamshire","LEP","21490","151","1249","1417","17922","751"
201617,"Derby, Derbyshire, Nottingham and Nottinghamshire","LEP","20535","170","1267","1439","16892","767"
201718,"Derby, Derbyshire, Nottingham and Nottinghamshire","LEP","19713","143","1177","1231","16356","806"
201819,"Derby, Derbyshire, Nottingham and Nottinghamshire","LEP","19573","163","1113","1227","16242","828"
201920,"Derby, Derbyshire, Nottingham and Nottinghamshire","LEP","20264","177","1146","1090","17078","773"
201516,"Dorset","LEP","7236","39","313","416","6254","214"
201617,"Dorset","LEP","7066","40","296","412","6072","246"
201718,"Dorset","LEP","6796","39","251","329","5925","252"
201819,"Dorset","LEP","6678","38","248","358","5764","270"
201920,"Dorset","LEP","6930","52","307","313","5989","269"
201516,"Enterprise M3","LEP","13993","91","571","556","12272","503"
201617,"Enterprise M3","LEP","13409","80","488","514","11854","473"
201718,"Enterprise M3","LEP","13032","87","474","474","11508","489"
201819,"Enterprise M3","LEP","12811","89","513","421","11358","430"
201920,"Enterprise M3","LEP","13273","80","501","368","11871","453"
201516,"Gloucestershire","LEP","6486","46","337","360","5514","229"
201617,"Gloucestershire","LEP","6282","50","274","330","5409","219"
201718,"Gloucestershire","LEP","6064","30","294","352","5140","248"
201819,"Gloucestershire","LEP","5914","31","255","310","5034","284"
201920,"Gloucestershire","LEP","6299","49","292","323","5355","280"
201516,"Greater Birmingham and Solihull","LEP","21971","200","1093","895","19244","539"
201617,"Greater Birmingham and Solihull","LEP","21592","240","1030","968","18810","544"
201718,"Greater Birmingham and Solihull","LEP","21372","240","1121","815","18660","536"
201819,"Greater Birmingham and Solihull","LEP","21247","257","1040","774","18639","537"
201920,"Greater Birmingham and Solihull","LEP","22243","288","1136","646","19620","553"
201516,"Greater Cambridge and Greater Peterborough","LEP","7883","55","370","318","6883","257"
