"area","geographic_level","time_period","all_unknown","all_notsust","cohort","appren","education","all_work"
"Black Country","LEP",201516,"98","747","12688","565","10926","352"
"Black Country","LEP",201617,"98","725","12586","640","10770","353"
"Black Country","LEP",201718,"156","679","12443","513","10738","357"
"Black Country","LEP",201819,"131","679","12519","518","10870","321"
"Black Country","LEP",201920,"126","707","12776","456","11134","353"
"Buckinghamshire","LEP",201516,"30","152","5605","189","5115","119"
"Buckinghamshire","LEP",201617,"35","126","5496","204","5021","110"
"Buckinghamshire","LEP",201718,"35","135","5468","182","5008","108"
"Buckinghamshire","LEP",201819,"48","155","5552","148","5071","130"
"Buckinghamshire","LEP",201920,"63","162","5673","122","5223","103"
"Cheshire and Warrington","LEP",201516,"64","427","9778","543","8449","295"
"Cheshire and Warrington","LEP",201617,"59","445","9392","507","8066","315"
"Cheshire and Warrington","LEP",201718,"82","372","9046","444","7813","335"
"Cheshire and Warrington","LEP",201819,"65","394","9030","343","7909","319"
"Cheshire and Warrington","LEP",201920,"85","415","9310","335","8125","350"
"Coast to Capital","LEP",201516,"105","575","13944","474","12434","356"
"Coast to Capital","LEP",201617,"106","546","13687","467","12188","380"
"Coast to Capital","LEP",201718,"127","501","13212","477","11727","380"
"Coast to Capital","LEP",201819,"108","497","12982","306","11668","403"
"Coast to Capital","LEP",201920,"134","561","13582","360","12110","417"
"Cornwall and Isles of Scilly","LEP",201516,"39","312","5534","296","4743","144"
"Cornwall and Isles of Scilly","LEP",201617,"33","291","5406","260","4691","131"
"Cornwall and Isles of Scilly","LEP",201718,"31","297","5107","241","4384","154"
"Cornwall and Isles of Scilly","LEP",201819,"30","287","5095","274","4346","158"
"Cornwall and Isles of Scilly","LEP",201920,"26","280","5067","234","4373","154"
"Coventry and Warwickshire","LEP",201516,"54","430","8992","476","7778","254"
"Coventry and Warwickshire","LEP",201617,"76","410","8839","504","7583","266"
"Coventry and Warwickshire","LEP",201718,"63","396","8661","378","7530","294"
"Coventry and Warwickshire","LEP",201819,"100","441","8655","404","7435","275"
"Coventry and Warwickshire","LEP",201920,"111","437","8931","358","7728","297"
"Cumbria","LEP",201516,"27","237","5275","543","4278","190"
"Cumbria","LEP",201617,"26","211","5100","584","4066","213"
"Cumbria","LEP",201718,"20","191","4863","526","3921","205"
"Cumbria","LEP",201819,"26","175","4661","493","3759","208"
"Cumbria","LEP",201920,"30","222","4893","455","3962","224"
"Derby, Derbyshire, Nottingham and Nottinghamshire","LEP",201516,"151","1249","21490","1417","17922","751"
"Derby, Derbyshire, Nottingham and Nottinghamshire","LEP",201617,"170","1267","20535","1439","16892","767"
"Derby, Derbyshire, Nottingham and Nottinghamshire","LEP",201718,"143","1177","19713","1231","16356","806"
"Derby, Derbyshire, Nottingham and Nottinghamshire","LEP",201819,"163","1113","19573","1227","16242","828"
"Derby, Derbyshire, Nottingham and Nottinghamshire","LEP",201920,"177","1146","20264","1090","17078","773"
"Dorset","LEP",201516,"39","313","7236","416","6254","214"
"Dorset","LEP",201617,"40","296","7066","412","6072","246"
