"area","geographic_level","time_period","Total Completed Key Stage 4","Cohort Group","Unknown","Not Recorded as a Sustained Destination","Sustained Apprenticeships","Sustained Education","Sustained Employment"
"Black Country","LEP",201718,"2090","All other qualifications","296","605","345","419","425"
"Black Country","LEP",201718,"2079","Level 2","151","418","373","563","574"
"Black Country","LEP",201718,"8549","Level 3","380","787","674","5206","1502"
"Black Country","LEP",201718,"12718","Total","827","1810","1392","6188","2501"
"Black Country","LEP",201819,"2038","All other qualifications","300","654","280","418","386"
"Black Country","LEP",201819,"3047","Level 2","200","628","406","992","821"
"Black Country","LEP",201819,"8202","Level 3","302","756","717","5124","1303"
"Black Country","LEP",201819,"13287","Total","802","2038","1403","6534","2510"
"Black Country","LEP",201920,"2299","All other qualifications","351","717","246","538","447"
"Black Country","LEP",201920,"2352","Level 2","123","537","350","815","527"
"Black Country","LEP",201920,"9022","Level 3","330","939","596","5643","1514"
"Black Country","LEP",201920,"13673","Total","804","2193","1192","6996","2488"
"Cheshire and Warrington","LEP",201718,"1127","All other qualifications","107","312","214","173","321"
"Cheshire and Warrington","LEP",201718,"1262","Level 2","96","198","223","285","460"
"Cheshire and Warrington","LEP",201718,"7475","Level 3","243","536","621","4126","1949"
"Cheshire and Warrington","LEP",201718,"9864","Total","446","1046","1058","4584","2730"
"Cheshire and Warrington","LEP",201819,"1003","All other qualifications","95","276","201","136","295"
"Cheshire and Warrington","LEP",201819,"1803","Level 2","110","309","284","431","669"
"Cheshire and Warrington","LEP",201819,"6884","Level 3","192","507","624","3860","1701"
"Cheshire and Warrington","LEP",201819,"9690","Total","397","1092","1109","4427","2665"
"Cheshire and Warrington","LEP",201920,"1082","All other qualifications","104","322","217","152","287"
"Cheshire and Warrington","LEP",201920,"1201","Level 2","69","243","196","238","455"
"Cheshire and Warrington","LEP",201920,"7005","Level 3","237","521","550","3884","1813"
"Cheshire and Warrington","LEP",201920,"9288","Total","410","1086","963","4274","2555"
"Coast to Capital","LEP",201718,"341","All other qualifications","53","104","37","67","80"
"Coast to Capital","LEP",201718,"436","Level 2","52","83","63","115","123"
"Coast to Capital","LEP",201718,"2461","Level 3","153","279","79","1229","721"
"Coast to Capital","LEP",201718,"3238","Total","258","466","179","1411","924"
