"time_period","area","geographic_level","Total Completed Key Stage 4","Cohort Group","Unknown","Not Recorded as a Sustained Destination","Sustained Apprenticeships","Sustained Education","Sustained Employment"
201718,"County Durham","LADU","4513","Total","296","757","684","1845","931"
201718,"County Durham","LADU","814","All other qualifications","108","298","134","123","151"
201718,"County Durham","LADU","817","Level 2","45","186","184","183","219"
201718,"County Durham","LADU","2882","Level 3","143","273","366","1539","561"
201819,"County Durham","LADU","4324","Total","217","792","615","1831","869"
201819,"County Durham","LADU","787","All other qualifications","90","310","124","117","146"
201819,"County Durham","LADU","1084","Level 2","55","274","168","320","267"
201819,"County Durham","LADU","2453","Level 3","72","208","323","1394","456"
201920,"County Durham","LADU","4237","Total","211","828","610","1755","833"
201920,"County Durham","LADU","912","All other qualifications","111","313","159","175","154"
201920,"County Durham","LADU","779","Level 2","22","240","131","193","193"
201920,"County Durham","LADU","2546","Level 3","78","275","320","1387","486"
201718,"Darlington","LADU","1966","Total","90","207","283","944","442"
201718,"Darlington","LADU","219","All other qualifications","27","64","63","21","44"
201718,"Darlington","LADU","335","Level 2","21","62","60","100","92"
201718,"Darlington","LADU","1412","Level 3","42","81","160","823","306"
201819,"Darlington","LADU","1836","Total","63","220","229","913","411"
201819,"Darlington","LADU","211","All other qualifications","15","52","53","35","56"
201819,"Darlington","LADU","362","Level 2","16","63","67","113","103"
201819,"Darlington","LADU","1263","Level 3","32","105","109","765","252"
201920,"Darlington","LADU","1871","Total","66","224","271","895","415"
201920,"Darlington","LADU","345","All other qualifications","19","56","127","61","82"
201920,"Darlington","LADU","243","Level 2","11","74","39","59","60"
201920,"Darlington","LADU","1283","Level 3","36","94","105","775","273"
201718,"Gateshead","LADU","2030","Total","180","260","300","899","391"
201718,"Gateshead","LADU","360","All other qualifications","89","83","62","37","89"
201718,"Gateshead","LADU","293","Level 2","32","49","85","56","71"
201718,"Gateshead","LADU","1377","Level 3","59","128","153","806","231"
201819,"Gateshead","LADU","2181","Total","192","340","255","937","457"
201819,"Gateshead","LADU","497","All other qualifications","113","151","54","60","119"
201819,"Gateshead","LADU","400","Level 2","29","82","87","103","99"
201819,"Gateshead","LADU","1284","Level 3","50","107","114","774","239"
201920,"Gateshead","LADU","2180","Total","155","396","260","913","456"
201920,"Gateshead","LADU","478","All other qualifications","73","168","64","50","123"
201920,"Gateshead","LADU","330","Level 2","34","75","67","76","78"
201920,"Gateshead","LADU","1372","Level 3","48","153","129","787","255"
201718,"Hartlepool","LADU","1195","Total","75","179","201","560","180"
201718,"Hartlepool","LADU","124","All other qualifications","23","38","20","24","19"
201718,"Hartlepool","LADU","216","Level 2","15","49","47","67","38"
201718,"Hartlepool","LADU","855","Level 3","37","92","134","469","123"
201819,"Hartlepool","LADU","794","Total","45","170","161","309","109"
201819,"Hartlepool","LADU","134","All other qualifications","19","62","26","11","16"
201819,"Hartlepool","LADU","341","Level 2","15","69","88","116","53"
201819,"Hartlepool","LADU","319","Level 3","11","39","47","182","40"
201920,"Hartlepool","LADU","754","Total","28","138","156","297","135"
201920,"Hartlepool","LADU","144","All other qualifications","12","51","21","19","41"
201920,"Hartlepool","LADU","189","Level 2","5","45","56","53","30"
201920,"Hartlepool","LADU","421","Level 3","11","42","79","225","64"
201718,"Middlesbrough","LADU","2231","Total","110","372","259","1027","463"
201718,"Middlesbrough","LADU","347","All other qualifications","40","120","76","41","70"
201718,"Middlesbrough","LADU","411","Level 2","33","100","63","97","118"
201718,"Middlesbrough","LADU","1473","Level 3","37","152","120","889","275"
201819,"Middlesbrough","LADU","2590","Total","112","483","303","1155","537"
201819,"Middlesbrough","LADU","382","All other qualifications","50","139","71","50","72"
201819,"Middlesbrough","LADU","836","Level 2","26","197","97","309","207"
201819,"Middlesbrough","LADU","1372","Level 3","36","147","135","796","258"
201920,"Middlesbrough","LADU","2502","Total","71","475","281","1240","435"
201920,"Middlesbrough","LADU","455","All other qualifications","33","176","77","88","81"
201920,"Middlesbrough","LADU","560","Level 2","13","140","88","203","116"
201920,"Middlesbrough","LADU","1487","Level 3","25","159","116","949","238"
201718,"Newcastle upon Tyne","LADU","5196","Total","391","995","539","2126","1145"
201718,"Newcastle upon Tyne","LADU","1311","All other qualifications","210","517","184","139","261"
201718,"Newcastle upon Tyne","LADU","687","Level 2","65","177","87","136","222"
201718,"Newcastle upon Tyne","LADU","3198","Level 3","116","301","268","1851","662"
201819,"Newcastle upon Tyne","LADU","5796","Total","388","1121","560","2418","1309"
201819,"Newcastle upon Tyne","LADU","1426","All other qualifications","195","494","164","269","304"
201819,"Newcastle upon Tyne","LADU","1318","Level 2","77","333","149","359","400"
201819,"Newcastle upon Tyne","LADU","3052","Level 3","116","294","247","1790","605"
201920,"Newcastle upon Tyne","LADU","6408","Total","379","1160","577","2894","1398"
201920,"Newcastle upon Tyne","LADU","1398","All other qualifications","173","454","155","297","319"
201920,"Newcastle upon Tyne","LADU","1446","Level 2","75","340","184","486","361"
201920,"Newcastle upon Tyne","LADU","3564","Level 3","131","366","238","2111","718"
201718,"North Tyneside","LADU","1639","Total","60","191","274","832","282"
