"area","geographic_level","time_period","cohort_level_group","all_unknown","all_notsust","cohort","appren","education","all_work"
"Black Country","LEP",201718,"All other qualifications","296","605","2090","345","419","425"
"Black Country","LEP",201718,"Level 2","151","418","2079","373","563","574"
"Black Country","LEP",201718,"Level 3","380","787","8549","674","5206","1502"
"Black Country","LEP",201718,"Total","827","1810","12718","1392","6188","2501"
"Black Country","LEP",201819,"All other qualifications","300","654","2038","280","418","386"
"Black Country","LEP",201819,"Level 2","200","628","3047","406","992","821"
"Black Country","LEP",201819,"Level 3","302","756","8202","717","5124","1303"
"Black Country","LEP",201819,"Total","802","2038","13287","1403","6534","2510"
"Black Country","LEP",201920,"All other qualifications","351","717","2299","246","538","447"
"Black Country","LEP",201920,"Level 2","123","537","2352","350","815","527"
"Black Country","LEP",201920,"Level 3","330","939","9022","596","5643","1514"
"Black Country","LEP",201920,"Total","804","2193","13673","1192","6996","2488"
"Cheshire and Warrington","LEP",201718,"All other qualifications","107","312","1127","214","173","321"
"Cheshire and Warrington","LEP",201718,"Level 2","96","198","1262","223","285","460"
"Cheshire and Warrington","LEP",201718,"Level 3","243","536","7475","621","4126","1949"
"Cheshire and Warrington","LEP",201718,"Total","446","1046","9864","1058","4584","2730"
"Cheshire and Warrington","LEP",201819,"All other qualifications","95","276","1003","201","136","295"
"Cheshire and Warrington","LEP",201819,"Level 2","110","309","1803","284","431","669"
"Cheshire and Warrington","LEP",201819,"Level 3","192","507","6884","624","3860","1701"
"Cheshire and Warrington","LEP",201819,"Total","397","1092","9690","1109","4427","2665"
"Cheshire and Warrington","LEP",201920,"All other qualifications","104","322","1082","217","152","287"
"Cheshire and Warrington","LEP",201920,"Level 2","69","243","1201","196","238","455"
"Cheshire and Warrington","LEP",201920,"Level 3","237","521","7005","550","3884","1813"
"Cheshire and Warrington","LEP",201920,"Total","410","1086","9288","963","4274","2555"
"Coast to Capital","LEP",201718,"All other qualifications","53","104","341","37","67","80"
"Coast to Capital","LEP",201718,"Level 2","52","83","436","63","115","123"
"Coast to Capital","LEP",201718,"Level 3","153","279","2461","79","1229","721"
"Coast to Capital","LEP",201718,"Total","258","466","3238","179","1411","924"
"Coast to Capital","LEP",201819,"All other qualifications","43","69","221","28","26","55"
"Coast to Capital","LEP",201819,"Level 2","26","46","270","33","82","83"
"Coast to Capital","LEP",201819,"Level 3","135","220","2264","69","1126","714"
"Coast to Capital","LEP",201819,"Total","204","335","2755","130","1234","852"
"Coast to Capital","LEP",201920,"All other qualifications","29","64","217","27","43","54"
"Coast to Capital","LEP",201920,"Level 2","21","56","214","24","60","53"
"Coast to Capital","LEP",201920,"Level 3","149","252","2362","42","1146","773"
"Coast to Capital","LEP",201920,"Total","199","372","2793","93","1249","880"
"Cornwall and Isles of Scilly","LEP",201718,"All other qualifications","77","259","864","109","174","245"
"Cornwall and Isles of Scilly","LEP",201718,"Level 2","84","209","1214","197","320","404"
"Cornwall and Isles of Scilly","LEP",201718,"Level 3","141","441","3721","209","1820","1110"
"Cornwall and Isles of Scilly","LEP",201718,"Total","302","909","5799","515","2314","1759"
"Cornwall and Isles of Scilly","LEP",201819,"All other qualifications","79","258","769","87","156","189"
"Cornwall and Isles of Scilly","LEP",201819,"Level 2","70","245","1289","231","294","449"
"Cornwall and Isles of Scilly","LEP",201819,"Level 3","122","375","3353","188","1680","988"
"Cornwall and Isles of Scilly","LEP",201819,"Total","271","878","5411","506","2130","1626"
"Cornwall and Isles of Scilly","LEP",201920,"All other qualifications","90","255","781","98","109","229"
"Cornwall and Isles of Scilly","LEP",201920,"Level 2","53","226","965","171","154","361"
"Cornwall and Isles of Scilly","LEP",201920,"Level 3","152","453","3666","213","1693","1155"
"Cornwall and Isles of Scilly","LEP",201920,"Total","295","934","5412","482","1956","1745"
"Coventry and Warwickshire","LEP",201718,"All other qualifications","95","171","615","82","114","153"
"Coventry and Warwickshire","LEP",201718,"Level 2","36","79","482","82","161","124"
"Coventry and Warwickshire","LEP",201718,"Level 3","62","171","2078","179","1280","386"
"Coventry and Warwickshire","LEP",201718,"Total","193","421","3175","343","1555","663"
"Coventry and Warwickshire","LEP",201819,"All other qualifications","78","180","633","81","146","148"
"Coventry and Warwickshire","LEP",201819,"Level 2","40","98","581","77","194","172"
"Coventry and Warwickshire","LEP",201819,"Level 3","54","165","1979","173","1190","397"
"Coventry and Warwickshire","LEP",201819,"Total","172","443","3193","331","1530","717"
"Coventry and Warwickshire","LEP",201920,"All other qualifications","78","173","632","57","159","165"
"Coventry and Warwickshire","LEP",201920,"Level 2","31","86","432","51","143","121"
"Coventry and Warwickshire","LEP",201920,"Level 3","50","135","1940","144","1259","352"
"Coventry and Warwickshire","LEP",201920,"Total","159","394","3004","252","1561","638"
