"geographic_level","area","Summary Profession Category","Detailed Profession Category","time_period","vacancies"
"LEP","Black Country","Administration and Customer Service","Administration and Customer Service (other)","Oct 22","20"
"LEP","Black Country","Administration and Customer Service","Administrative Personnel","Oct 22","210"
"LEP","Black Country","Administration and Customer Service","Customer Service Personnel","Oct 22","255"
"LEP","Black Country","Administration and Customer Service","Financial-administrative Personnel","Oct 22","190"
"LEP","Black Country","Administration and Customer Service","Heads of Administration and Customer Services","Oct 22","200"
"LEP","Black Country","Administration and Customer Service","Personnel and Salaries Administrators","Oct 22","55"
"LEP","Black Country","Administration and Customer Service","Planners","Oct 22","130"
"LEP","Black Country","Administration and Customer Service","Receptionists","Oct 22","95"
"LEP","Black Country","Administration and Customer Service","Schedulers and Coordinators","Oct 22","5"
"LEP","Black Country","Administration and Customer Service","Secretaries","Oct 22","75"
"LEP","Black Country","Administration and Customer Service","Telephonists and Announcers","Oct 22","10"
"LEP","Black Country","Administration and Customer Service","Typists","Oct 22","10"
"LEP","Black Country","Agriculture, Livestock and Fishing","Agricultural and Livestock Specialists","Oct 22","[x]"
"LEP","Black Country","Agriculture, Livestock and Fishing","Agricultural Employees","Oct 22","5"
"LEP","Black Country","Agriculture, Livestock and Fishing","Agriculture and Fisheries Supervisors","Oct 22","5"
"LEP","Black Country","Agriculture, Livestock and Fishing","Agriculture, Livestock and Fishing (other)","Oct 22","[x]"
"LEP","Black Country","Agriculture, Livestock and Fishing","Cultivators","Oct 22","[x]"
"LEP","Black Country","Agriculture, Livestock and Fishing","Farmers and Animal Breeders","Oct 22","[x]"
"LEP","Black Country","Agriculture, Livestock and Fishing","Fishermen and Fish Farmers","Oct 22","[x]"
"LEP","Black Country","Agriculture, Livestock and Fishing","Forest Workers and Managers","Oct 22","5"
"LEP","Black Country","Agriculture, Livestock and Fishing","Gardeners","Oct 22","20"
"LEP","Black Country","Agriculture, Livestock and Fishing","Inspectors and Regulators","Oct 22","5"
"LEP","Black Country","Agriculture, Livestock and Fishing","Veterinarians","Oct 22","85"
"LEP","Black Country","Arts, Culture and Media","Actors","Oct 22","[x]"
"LEP","Black Country","Arts, Culture and Media","Art, Culture, and Media Managers","Oct 22","20"
"LEP","Black Country","Arts, Culture and Media","Arts, Culture and Media (other)","Oct 22","5"
"LEP","Black Country","Arts, Culture and Media","Audio/visual Editors","Oct 22","[x]"
"LEP","Black Country","Arts, Culture and Media","Conductors, Composers, and Choreographers","Oct 22","[x]"
"LEP","Black Country","Arts, Culture and Media","Directors and Producers","Oct 22","5"
"LEP","Black Country","Arts, Culture and Media","Film, Theatre, Television, and Studio Technicians","Oct 22","5"
"LEP","Black Country","Arts, Culture and Media","Illustrators and Designers (2D)","Oct 22","30"
"LEP","Black Country","Arts, Culture and Media","Illustrators and Designers (3D)","Oct 22","35"
"LEP","Black Country","Arts, Culture and Media","Journalists and Editors","Oct 22","15"
"LEP","Black Country","Arts, Culture and Media","Librarians and Documentalists","Oct 22","20"
"LEP","Black Country","Arts, Culture and Media","Museum Personnel","Oct 22","[x]"
"LEP","Black Country","Arts, Culture and Media","Musicians, Singers and Dancers","Oct 22","[x]"
"LEP","Black Country","Arts, Culture and Media","Photographers and Cameramen","Oct 22","5"
"LEP","Black Country","Arts, Culture and Media","Presenters","Oct 22","[x]"
"LEP","Black Country","Arts, Culture and Media","Restorers","Oct 22","[x]"
"LEP","Black Country","Arts, Culture and Media","Translators and Interpreters","Oct 22","30"
"LEP","Black Country","Arts, Culture and Media","Writers and Poets","Oct 22","[x]"
"LEP","Black Country","Cleaning and Maintenance","Buildings and Premises Cleaners","Oct 22","30"
"LEP","Black Country","Cleaning and Maintenance","Caretakers and Administrators","Oct 22","130"
"LEP","Black Country","Cleaning and Maintenance","Cleaning and Maintenance (other)","Oct 22","[x]"
"LEP","Black Country","Cleaning and Maintenance","Cleaning and Maintenance Managers","Oct 22","45"
"LEP","Black Country","Cleaning and Maintenance","Interior Cleaners","Oct 22","185"
"LEP","Black Country","Cleaning and Maintenance","Municipal Cleaning Staff","Oct 22","15"
"LEP","Black Country","Cleaning and Maintenance","Vehicle and Equipment Cleaners","Oct 22","15"
"LEP","Black Country","Communication, Marketing and Public Relations","Business Managers and Agents","Oct 22","[x]"
"LEP","Black Country","Communication, Marketing and Public Relations","Communication, Marketing and Public Relations (other)","Oct 22","[x]"
"LEP","Black Country","Communication, Marketing and Public Relations","Communication, Marketing and Public Relations Managers","Oct 22","155"
"LEP","Black Country","Communication, Marketing and Public Relations","Fundraisers","Oct 22","30"
"LEP","Black Country","Communication, Marketing and Public Relations","Information and Public Relations Personnel","Oct 22","15"
"LEP","Black Country","Communication, Marketing and Public Relations","Marketing and Advertising Personnel","Oct 22","125"
"LEP","Black Country","Communication, Marketing and Public Relations","Publishers","Oct 22","[x]"
"LEP","Black Country","Communication, Marketing and Public Relations","Sales Promotion Personnel","Oct 22","[x]"
"LEP","Black Country","Construction and Mining","Borers and Drilling Supervisors","Oct 22","5"
"LEP","Black Country","Construction and Mining","Bricklayers and Stonemasons","Oct 22","10"
"LEP","Black Country","Construction and Mining","Civil Engineering Contractors and Project Leaders","Oct 22","5"
"LEP","Black Country","Construction and Mining","Concrete Construction Workers and Roofers","Oct 22","10"
"LEP","Black Country","Construction and Mining","Construction and Civil Engineering Machinists","Oct 22","35"
"LEP","Black Country","Construction and Mining","Construction and Mining (other)","Oct 22","5"
"LEP","Black Country","Construction and Mining","Construction and Mining Managers","Oct 22","5"
"LEP","Black Country","Construction and Mining","Construction Contractors","Oct 22","70"
"LEP","Black Country","Construction and Mining","Construction Finishers","Oct 22","190"
"LEP","Black Country","Construction and Mining","Construction Plumbers and Fitters","Oct 22","180"
"LEP","Black Country","Construction and Mining","Construction Project Leaders","Oct 22","75"
"LEP","Black Country","Construction and Mining","Ground and Road Workers","Oct 22","25"
"LEP","Black Country","Defence","Army Soldiers, Corporals and Petty Officers","Oct 22","5"
"LEP","Black Country","Defence","Defence (other)","Oct 22","10"
"LEP","Black Country","Education and Training","Art and Media Higher Education Teachers","Oct 22","25"
"LEP","Black Country","Education and Training","Chemical and Technical Higher Education Teachers","Oct 22","5"
"LEP","Black Country","Education and Training","Computing and Science Lecturers","Oct 22","15"
"LEP","Black Country","Education and Training","Course Leaders and Instructors","Oct 22","35"
"LEP","Black Country","Education and Training","Deans and Coordinators","Oct 22","25"
"LEP","Black Country","Education and Training","Education and Training (other)","Oct 22","130"
"LEP","Black Country","Education and Training","Educational Directors, Deputy Heads, and Headmasters","Oct 22","40"
"LEP","Black Country","Education and Training","Educational Support Staff","Oct 22","410"
"LEP","Black Country","Education and Training","Exact Sciences Higher Education Teachers","Oct 22","[x]"
"LEP","Black Country","Education and Training","Humanities Lecturers","Oct 22","5"
"LEP","Black Country","Education and Training","Language and Cultural Higher Education Teacher","Oct 22","[x]"
"LEP","Black Country","Education and Training","Law, Economics and Social Sciences Lecturers","Oct 22","15"
"LEP","Black Country","Education and Training","Medical Sciences Lecturers","Oct 22","10"
"LEP","Black Country","Education and Training","Primary School Teachers","Oct 22","310"
"LEP","Black Country","Education and Training","Scientists","Oct 22","15"
"LEP","Black Country","Education and Training","Secondary School Teachers","Oct 22","250"
"LEP","Black Country","Education and Training","Social and Health Higher Education Teachers","Oct 22","20"
"LEP","Black Country","Education and Training","Teacher Training Educators","Oct 22","[x]"
"LEP","Black Country","Education and Training","Technical and Vocational Secondary Education Teachers","Oct 22","45"
"LEP","Black Country","Education and Training","Technical Sciences Lecturers","Oct 22","5"
"LEP","Black Country","Education and Training","University Lecturers (other)","Oct 22","10"
"LEP","Black Country","Education and Training","Vocational Higher Education Teachers","Oct 22","15"
"LEP","Black Country","Education and Training","Vocational Secondary School Teachers","Oct 22","15"
"LEP","Black Country","Engineering","Business Administration and Engineering Experts","Oct 22","130"
"LEP","Black Country","Engineering","Chemical Engineers, Designers, and Technicians","Oct 22","40"
"LEP","Black Country","Engineering","Civil Engineering Draughtsmen and Designers","Oct 22","[x]"
"LEP","Black Country","Engineering","Civil Engineering Engineers, Designers, and Technicians","Oct 22","50"
"LEP","Black Country","Engineering","Construction Draughtsman and Designers","Oct 22","20"
"LEP","Black Country","Engineering","Construction Engineers, Designers, and Technicians","Oct 22","55"
"LEP","Black Country","Engineering","Electrical Draughtsmen and Engineers","Oct 22","5"
"LEP","Black Country","Engineering","Electrical Engineers, Designers, and Technicians","Oct 22","360"
"LEP","Black Country","Engineering","Engineering (other)","Oct 22","75"
"LEP","Black Country","Engineering","Engineering Calculators and Planners","Oct 22","80"
"LEP","Black Country","Engineering","Engineering Managers","Oct 22","95"
"LEP","Black Country","Engineering","Material and Process Technologists","Oct 22","15"
"LEP","Black Country","Engineering","Mechanical Engineering Draughtsmen and Designers","Oct 22","20"
"LEP","Black Country","Engineering","Mechanical Engineering Engineers, Designers, and Technicians","Oct 22","155"
"LEP","Black Country","Engineering","Surveyors and Cartographers","Oct 22","25"
"LEP","Black Country","Healthcare","Alternative Healers","Oct 22","[x]"
"LEP","Black Country","Healthcare","Care and Welfare Directors","Oct 22","105"
"LEP","Black Country","Healthcare","Care Assistants","Oct 22","675"
"LEP","Black Country","Healthcare","Care Managers","Oct 22","165"
"LEP","Black Country","Healthcare","Carers","Oct 22","125"
"LEP","Black Country","Healthcare","Childcare Employees","Oct 22","135"
"LEP","Black Country","Healthcare","Dentists and Dental Specialists","Oct 22","45"
"LEP","Black Country","Healthcare","Head Nurses and Coordinators","Oct 22","145"
"LEP","Black Country","Healthcare","Healthcare (other)","Oct 22","15"
"LEP","Black Country","Healthcare","Laboratory Technicians","Oct 22","20"
"LEP","Black Country","Healthcare","Medical Assistants","Oct 22","80"
"LEP","Black Country","Healthcare","Nursing","Oct 22","595"
"LEP","Black Country","Healthcare","Nutritionists and Therapists","Oct 22","155"
"LEP","Black Country","Healthcare","Pharmacists and Pharmacologists","Oct 22","40"
"LEP","Black Country","Healthcare","Physicians","Oct 22","120"
"LEP","Black Country","Healthcare","Psychologists and Educational Consultants","Oct 22","60"
"LEP","Black Country","Healthcare","Researchers and Analysts","Oct 22","60"
"LEP","Black Country","Healthcare","Specialised Nurses","Oct 22","280"
"LEP","Black Country","Healthcare","Specialists and Surgeons","Oct 22","95"
"LEP","Black Country","Healthcare","Technicians and Medical Device Makers","Oct 22","55"
"LEP","Black Country","Hospitality","Chefs and Other Food Preparers","Oct 22","180"
"LEP","Black Country","Hospitality","Hospitality (other)","Oct 22","5"
"LEP","Black Country","Hospitality","Hospitality and Catering Managers","Oct 22","95"
"LEP","Black Country","Hospitality","Hospitality and Catering Senior Personnel","Oct 22","15"
"LEP","Black Country","Hospitality","Hospitality and Service Personnel","Oct 22","185"
