"year","area","geographic_level","Agriculture and Fishing","Energy and Water","Manufacturing","Construction","Distribution, Hotel and Restaurants","Transport and Communication","Banking, Finance and Insurance","Public Administration, Education and Health","Other Services"
2017,"Black Country","LEP","1400","8300","66700","42300","95200","44700","71600","142400","27600"
2017,"Cheshire and Warrington","LEP","3200","8900","57700","27300","79500","36700","82300","117800","25900"
2017,"Cornwall and Isles of Scilly","LEP","11300","4300","21100","23400","62900","12400","39600","66700","19400"
2017,"Coventry and Warwickshire","LEP","6300","8600","61200","26400","79400","50200","74500","130200","25200"
2017,"Cumbria","LEP","8000","9100","29000","17300","52600","11200","31900","66400","9600"
2017,"Dorset","LEP","6500","4500","32300","25300","73600","25500","64200","108900","20800"
2017,"Gloucestershire","LEP","3100","8600","38700","22200","65300","28200","61600","78000","18800"
2017,"Greater Birmingham and Solihull","LEP","4800","10700","103600","58600","189500","83300","148300","274700","44800"
2017,"Greater Manchester","LEP","2500","16600","111000","98300","254900","135400","226900","400700","74200"
2017,"Heart of the South West","LEP","26200","13000","83500","61200","197400","43400","106400","264000","49600"
2017,"Lancashire","LEP","3800","11000","86200","43800","140500","54600","90700","228500","37400"
2017,"Leicester and Leicestershire","LEP","4500","12600","64200","35600","100300","41400","60400","143200","25500"
2017,"Liverpool City Region","LEP","700","9700","62600","54300","136300","57700","109000","236100","41700"
2017,"North East","LEP","7700","18900","101900","64800","160100","61000","130500","303900","50600"
2017,"Stoke-on-Trent and Staffordshire","LEP","5800","7900","70400","40100","120600","47500","75000","157800","26300"
2017,"Swindon and Wiltshire","LEP","5500","3600","46000","27300","62700","30300","59900","108200","19100"
2017,"Tees Valley","LEP","1800","7800","26600","21100","62000","19600","35100","96100","15500"
2017,"Thames Valley Berkshire","LEP","2600","9500","40100","26300","82400","78000","91400","113400","28400"
2017,"The Marches","LEP","16600","4400","41700","27300","62300","18200","41700","102500","17900"
2017,"West of England","LEP","3700","11000","39300","37300","94700","54900","118000","205200","32100"
2017,"Worcestershire","LEP","2800","3600","38200","21300","57000","19700","48500","77100","17600"
2017,"Buckinghamshire","LEP","1000","3300","29800","20000","43500","32500","55800","75200","13600"
2017,"Coast to Capital","LEP","3400","12500","43900","55000","126500","77500","149400","231000","58800"
2017,"Derby, Derbyshire, Nottingham and Nottinghamshire","LEP","6900","18500","141700","81600","199800","97000","134900","308500","59700"
2017,"Enterprise M3","LEP","3900","9000","70600","55600","115600","96700","166800","221300","52100"
2017,"Hertfordshire","LEP","3200","2700","47400","55800","110300","68200","113200","159500","43700"
2017,"London","LEP","2900","38800","150400","307200","751200","557800","1212900","1205200","325900"
2017,"New Anglia","LEP","16400","17200","78900","63000","156500","63000","114900","224100","40800"
2017,"Oxfordshire","LEP","2600","3600","38500","16900","54700","27600","72000","123000","22200"
2017,"Sheffield City Region","LEP","2200","8200","70200","49500","125200","56500","92900","208200","32000"
2017,"Solent","LEP","2500","9400","61700","52600","120300","52900","86100","190400","30200"
2017,"South East","LEP","19300","34300","146200","186300","354100","178600","384000","598500","127300"
2017,"South East Midlands","LEP","4800","10800","85300","67500","171100","98400","136400","217800","46100"
2017,"York and North Yorkshire","LEP","11200","4700","34300","24900","95000","29600","59100","115700","23600"
