"year","area","geographic_level","16-64 None","16-64 NVQ1","16-64 NVQ2","16-64 trade apprenticeships","16-64 NVQ3","16-64 NVQ4","16-64 Other Qualifications","16-19 None","16-19 NVQ1","16-19 NVQ2","16-19 trade apprenticeships","16-19 NVQ3","16-19 NVQ4","16-19 Other Qualifications","20-24 None","20-24 NVQ1","20-24 NVQ2","20-24 trade apprenticeships","20-24 NVQ3","20-24 NVQ4","20-24 Other Qualifications","25-29 None","25-29 NVQ1","25-29 NVQ2","25-29 trade apprenticeships","25-29 NVQ3","25-29 NVQ4","25-29 Other Qualifications","30-39 None","30-39 NVQ1","30-39 NVQ2","30-39 trade apprenticeships","30-39 NVQ3","30-39 NVQ4","30-39 Other Qualifications","40-49 None","40-49 NVQ1","40-49 NVQ2","40-49 trade apprenticeships","40-49 NVQ3","40-49 NVQ4","40-49 Other Qualifications","50-64 None","50-64 NVQ1","50-64 NVQ2","50-64 trade apprenticeships","50-64 NVQ3","50-64 NVQ4","50-64 Other Qualifications"
2017,"Black Country","LEP","112200","91300","133900","13500","112100","176600","82000","11700","9700","22700","c","8400","800","4200","5900","8700","17200","1300","18600","16800","6400","8200","8100","16400","1200","16500","26800","10600","19100","18700","21100","2600","18800","48100","19000","23800","20400","25100","2100","21900","38600","15000","43500","25700","31300","6300","27800","45500","26900"
2017,"Cheshire and Warrington","LEP","32700","53000","100300","22300","80000","245900","24300","4900","4200","18800","1200","9000","c","c","2700","3100","6600","2600","12100","17500","3000","1900","3900","6900","2300","11600","23800","800","8900","7800","17600","3300","12500","51600","3800","2800","9400","17100","3900","14600","70100","6900","11600","24500","33400","9000","20200","82100","9700"
2017,"Cornwall and Isles of Scilly","LEP","16800","38400","63800","13500","71100","111000","12300","2100","4000","11600","c","8100","c","c","c","c","6300","1800","9000","8600","c","1400","4100","7900","c","5600","8100","2500","1400","4800","10400","c","13600","24800","c","1400","7800","9200","1900","17800","32700","1800","10100","16600","18400","7400","17000","36800","6400"
2017,"Coventry and Warwickshire","LEP","48600","58700","93200","15300","95800","220800","48000","8300","5900","13300","c","10700","c","1000","2500","4500","11200","3500","16000","20500","5300","4800","2600","7900","c","16200","23500","3000","6200","8000","15200","2000","14700","58700","10000","8200","17900","17300","2300","15400","51900","13500","18600","19800","28300","6600","22800","65800","15300"
2017,"Cumbria","LEP","22600","35700","50400","12800","64900","92400","15200","4200","3100","8600","c","3500","c","c","1700","1800","6300","c","8600","5300","c","1400","2400","3800","1100","7600","8300","1500","2700","4500","7600","1400","15300","18200","1500","4100","7500","7300","2800","9900","27200","4000","8500","16400","16700","7400","20100","33200","7400"
2017,"Dorset","LEP","27600","55100","74500","16100","91000","155300","26000","4800","5400","10500","c","8700","c","1100","2100","2800","7000","1300","17700","9700","1500","2700","3700","4600","1000","9200","16200","2700","3500","10300","12400","1200","16900","35900","4100","4100","11700","16900","2900","15500","37600","5300","10400","21100","23200","9400","23000","55300","11300"
2017,"Gloucestershire","LEP","19100","40500","65900","9500","73500","145700","23600","2800","4300","11800","c","5900","c","1400","c","2800","7200","2000","12400","6200","c","c","4000","4400","c","6600","15000","3600","3800","5600","11800","1500","12300","32500","5000","3700","9200","10000","c","14100","40300","4700","7200","14600","20700","4800","22100","51400","7700"
2017,"Greater Birmingham and Solihull","LEP","130300","140900","205100","27300","243600","400900","113800","9700","16800","37100","c","25300","1500","4700","6000","13400","18900","2800","57700","42800","15100","13400","15100","18300","3100","31500","56800","16200","20700","26400","40000","3500","45400","109400","24100","30200","28900","39200","4700","37800","87300","22300","50200","40300","51600","12400","45800","103200","31300"
2017,"Greater Manchester","LEP","170800","201100","283900","62900","323200","620600","111400","16200","21900","57400","2700","26900","c","4000","7600","17000","25700","6900","73600","59200","3800","13000","19800","26500","6100","45200","93000","11600","26600","32700","49100","9500","62800","178100","29700","33100","38300","53800","11100","50300","144200","26700","74300","71400","71300","26600","64400","145700","35600"
2017,"Heart of the South West","LEP","49200","119100","184500","40900","209000","367100","43300","8100","12600","33800","1400","21500","1200","c","3800","8200","18000","3800","43200","25900","2800","2500","8700","14500","3100","23400","38400","4600","5100","20300","24100","5200","37500","86300","9100","5600","25200","31100","7200","32300","83500","8800","24200","44200","63000","20300","51000","131800","17400"
2017,"Lancashire","LEP","68100","107300","170800","45700","167400","287500","56500","13300","11800","28400","low","12600","low","1000","700","4600","22000","5700","37500","18200","3600","2100","12000","15300","6000","23000","29800","4300","9900","12400","30100","6600","31200","70000","11500","12500","25400","30900","9100","24300","77400","9200","29700","41100","44100","17900","38800","91800","26900"
2017,"Leicester and Leicestershire","LEP","53600","85300","101800","16800","128700","217300","51100","6800","9200","19500","c","12800","1300","1200","3300","7600","11100","2000","27400","15800","2600","3300","6700","10700","2000","16600","29200","4200","9600","15800","18100","3300","25600","53100","13100","9800","19000","18100","3100","20200","52200","10700","20900","27000","24500","6100","26200","65600","19300"
2017,"Liverpool City Region","LEP","109500","110100","197500","28900","167400","302800","53100","10900","10800","31500","low","13500","1600","1900","5800","9300","19200","4400","34800","29400","3400","8200","11500","20000","1500","22200","40300","7100","15900","16700","36700","3700","28000","78000","11700","20600","20800","36200","5300","28100","68300","9000","48000","40900","53900","13600","40900","85000","19900"
