"area","geographic_level","year","Total aged 16-64 None","Total aged 16-64 NVQ1","Total aged 16-64 NVQ2","Total aged 16-64 trade apprenticeships","Total aged 16-64 NVQ3","Total aged 16-64 NVQ4","Total aged 16-64 Other Qualifications","Total aged 16-19 None","Total aged 16-19 NVQ1","Total aged 16-19 NVQ2","Total aged 16-19 trade apprenticeships","Total aged 16-19 NVQ3","Total aged 16-19 NVQ4","Total aged 16-19 Other Qualifications","Total aged 20-24 None","Total aged 20-24 NVQ1","Total aged 20-24 NVQ2","Total aged 20-24 trade apprenticeships","Total aged 20-24 NVQ3","Total aged 20-24 NVQ4","Total aged 20-24 Other Qualifications","Total aged 25-29 None","Total aged 25-29 NVQ1","Total aged 25-29 NVQ2","Total aged 25-29 trade apprenticeships","Total aged 25-29 NVQ3","Total aged 25-29 NVQ4","Total aged 25-29 Other Qualifications","Total aged 30-39 None","Total aged 30-39 NVQ1","Total aged 30-39 NVQ2","Total aged 30-39 trade apprenticeships","Total aged 30-39 NVQ3","Total aged 30-39 NVQ4","Total aged 30-39 Other Qualifications","Total aged 40-49 None","Total aged 40-49 NVQ1","Total aged 40-49 NVQ2","Total aged 40-49 trade apprenticeships","Total aged 40-49 NVQ3","Total aged 40-49 NVQ4","Total aged 40-49 Other Qualifications","Total aged 50-64 None","Total aged 50-64 NVQ1","Total aged 50-64 NVQ2","Total aged 50-64 trade apprenticeships","Total aged 50-64 NVQ3","Total aged 50-64 NVQ4","Total aged 50-64 Other Qualifications"
"Black Country","LEP",2021,"72500","81000","129700","25300","122400","227800","76800","7000","7000","22900","c","8500","c","2700","2900","3800","13300","2900","17000","14400","5200","7400","5300","11300","3300","6300","33000","5500","14000","10200","23000","3800","24700","64300","19400","9500","16400","22500","2700","22700","49500","17300","31700","38200","36800","12100","43200","66700","26700"
"Cheshire and Warrington","LEP",2021,"28200","47600","98000","22400","90800","243300","23600","5500","2800","16600","c","8600","c","c","c","c","4000","1600","17100","16600","c","2600","c","7600","4400","11900","22800","c","3300","7200","14300","3000","16500","59700","5000","4000","12300","19700","4100","15300","53900","7200","10500","21700","35800","8700","21400","89700","8500"
"Cornwall and Isles of Scilly","LEP",2021,"18100","40100","58000","17700","59500","118400","13900","4600","4300","10800","c","3700","c","c","c","2700","4000","c","12700","13300","c","c","3200","4900","3300","5100","10900","c","c","4600","10100","1400","10100","21900","3500","c","6200","9000","3000","13500","21900","2400","11000","19100","19300","9400","14400","49100","6500"
"Coventry and Warwickshire","LEP",2021,"37000","50700","98300","13700","98500","254800","36700","4000","3000","24900","c","9200","c","1200","c","5100","11700","c","18400","20700","c","c","2600","8700","2100","11700","35600","2800","7600","10400","15400","2300","21300","61400","12000","8300","7300","11800","1900","14700","64700","9300","16000","22200","25700","6300","23200","72100","11400"
"Cumbria","LEP",2021,"18400","37200","51800","16300","53400","95300","12000","c","4100","7500","1100","4200","c","c","c","5500","5300","c","4500","4100","c","c","1800","3300","c","9900","8000","1300","2800","3300","10300","2300","10900","21000","c","3600","5800","8600","2500","9900","21800","2700","10800","16700","16800","8500","14100","40300","5000"
"Dorset","LEP",2021,"22300","48500","65300","19400","87100","178200","23400","5700","4000","9100","c","8200","c","1800","2000","4700","5400","c","14200","9200","3400","1500","2800","5300","c","11700","14000","2400","2100","6500","7600","3700","14100","47600","2900","1600","7400","11500","4400","12900","45700","6000","9300","23200","26500","8800","25900","61200","6800"
"Gloucestershire","LEP",2021,"16200","37700","59500","11500","77200","164000","12500","3000","1800","9400","c","10900","c","c","c","3400","3400","c","14400","8400","c","c","2200","6100","2000","4600","17000","2000","c","6500","9300","1300","12100","40700","3200","1400","7000","11700","900","14600","39000","3000","9500","16700","19500","6400","20800","58300","4300"
"Greater Birmingham and Solihull","LEP",2021,"112000","122600","201400","31300","212500","503700","84500","17700","12700","47700","c","18000","2100","3900","3900","12200","22700","4600","61900","57300","1500","3400","13700","18300","6700","24600","86100","10200","21600","21900","28700","5500","36700","131400","27600","24500","23100","31400","3200","33200","110500","14500","40900","39000","52600","9700","38100","116300","26900"
"Greater Manchester","LEP",2021,"149000","171000","303400","49000","310900","698400","102500","20200","18000","59800","1200","19700","3100","4200","7900","14100","33900","7500","62500","50300","6000","8100","10100","27200","3900","39500","105800","11100","24800","30100","45100","7100","66400","208700","24200","32700","31700","48600","8400","48000","155800","20500","55300","67000","88700","21000","74700","174800","36600"
"Heart of the South West","LEP",2021,"57700","114300","169000","45900","196300","384600","42800","8900","13300","26800","c","15000","c","1900","3600","10100","17300","7900","32700","23200","c","2400","6800","14500","3300","29900","43900","4100","5400","14600","34200","5800","36800","87500","10000","8300","17400","21800","7000","33500","94400","7700","29100","52100","54500","20300","48300","134200","18700"
"Lancashire","LEP",2021,"65400","109300","154900","27200","175800","311200","45200","8100","12500","30200","c","11900","1400","2000","3500","9900","11000","3400","34500","23300","c","3400","9000","10700","3700","15200","40600","4300","8400","16500","28300","5000","32300","75900","9300","10600","18900","29000","4500","35600","59200","14000","31400","42500","45800","10500","46300","110900","14600"
"Leicester and Leicestershire","LEP",2021,"53000","55300","108300","18800","127700","253700","37300","7800","4500","19800","c","8000","2100","1500","2400","4100","9400","1700","34100","18100","3800","c","5300","8500","1600","8700","38300","2200","11200","11400","21000","4300","26000","60500","8100","11500","7500","18700","3600","21200","67600","10000","19300","22600","30900","7600","29700","67200","11700"
"Liverpool City Region","LEP",2021,"75900","82800","169400","33300","169600","378000","51100","11100","6300","28800","c","17600","2100","c","4000","2900","19500","2800","37600","28200","5300","3900","4500","14700","4300","19100","53900","4000","10700","8700","28700","5000","29900","107600","11900","11700","18200","25000","4500","27700","78200","9000","34500","42200","52900","16400","37600","108000","19800"
"North East","LEP",2021,"105400","115700","225800","46800","211700","423800","85700","11700","9900","40300","c","13100","3300","5600","9300","10600","17500","6200","47100","34200","4100","8200","5800","19700","5900","26000","52700","9600","10900","17300","37800","7700","41700","109600","18100","18400","17100","36700","3600","33200","99700","16400","47000","55000","73700","22900","50600","124300","32000"
"Stoke-on-Trent and Staffordshire","LEP",2021,"45000","64400","118800","25800","115500","263200","44800","5400","6600","20300","c","11500","c","c","c","4600","8200","5100","22000","18300","2000","4500","8500","6600","2300","10300","32700","2900","4500","8600","19100","3800","23000","64700","13600","9200","8300","23300","4000","18000","61900","7600","20400","28000","41300","10000","30600","85300","17900"
"Swindon and Wiltshire","LEP",2021,"18800","44000","78300","12500","77600","179900","19800","2900","1100","19500","c","4800","c","c","1200","3900","4100","c","9600","10700","c","1000","3500","4800","c","8700","17500","2400","1400","6000","15300","1400","15300","46100","2700","3300","6500","9400","3400","17100","43700","7500","9000","23000","25400","6000","22000","61500","7000"
"Tees Valley","LEP",2021,"26800","45100","74000","16600","81200","135400","25900","3900","4300","13200","600","5400","c","1400","1300","4700","8600","1500","12700","8300","2500","900","2800","4900","2000","8800","20500","2700","4200","7000","11800","3800","18600","32700","5300","4200","6600","10700","1900","15100","32000","4100","12300","19800","24800","6800","20500","41600","9900"
"Thames Valley Berkshire","LEP",2021,"24300","47000","84400","10000","87600","287000","31500","7000","4100","18800","c","7900","c","1300","c","5300","6100","900","16400","14400","1400","1200","3300","8100","1800","11000","27300","1600","3400","7300","12300","900","16400","76500","9800","4900","7200","13200","2700","14800","81000","8700","7100","19800","25800","3400","21000","87600","8600"
"The Marches","LEP",2021,"21900","43500","62900","10300","70300","157400","34400","4300","4300","11200","c","5400","c","c","1400","1800","5700","1000","9700","9000","2200","3200","4400","4400","1100","7600","12000","1800","2400","8000","8000","1800","11300","33800","9200","3500","5900","11600","2300","13100","37400","4400","7000","19200","22100","4000","23200","64800","16200"
"West of England","LEP",2021,"33300","65600","97600","9400","134100","374200","27100","6200","6900","24800","c","11000","c","2000","4600","6700","11100","c","31700","30500","1500","1200","2600","6700","1400","13000","53100","1400","4300","10100","12200","1900","25100","106600","4500","4700","9200","16300","1000","22000","85400","9200","12300","30300","26500","4700","31300","98300","8400"
"Worcestershire","LEP",2021,"17100","32200","63200","9600","59300","149700","15200","1500","3900","14200","c","1300","c","c","c","c","7100","c","9600","9600","c","c","2900","3800","1700","8000","17000","c","c","6100","7800","c","12400","40100","1900","6900","3900","8200","c","11000","36400","3700","7900","14400","22000","5400","17000","46300","7300"
"Buckinghamshire","LEP",2021,"15700","23800","44100","11700","59900","156200","15000","3700","1200","10100","c","7100","c","c","c","c","3300","1800","9900","9600","c","c","c","1500","1600","10300","13900","c","2000","1700","5700","3300","7900","38500","2300","1400","6200","6000","1200","10800","46400","3900","7400","13200","17500","3800","14000","47300","6500"
"Coast to Capital","LEP",2021,"41000","95900","134900","16300","146600","459600","56000","9600","8600","34300","c","10100","c","c","c","7600","9200","c","24600","26900","c","4700","8900","8000","c","19600","37500","4000","4200","16100","13000","2900","26500","112400","18500","6000","18900","18900","2300","24200","130300","11600","14700","35800","51400","9100","41600","151500","19100"
"Derby, Derbyshire, Nottingham and Nottinghamshire","LEP",2021,"106500","167300","215200","52300","238900","506100","78200","17400","15400","39700","4300","13000","3200","3700","5200","18100","30400","4500","43700","36200","4100","4700","13800","17000","6200","30900","62400","6900","16000","25200","29200","8200","45600","126000","24400","15600","27600","28900","10700","43900","122300","13300","47500","67200","70100","18300","61800","155900","25900"
"Enterprise M3","LEP",2021,"34300","93200","128100","24100","146900","459400","42200","8100","6300","30800","c","17700","c","c","c","13400","13700","c","28100","29500","c","2400","4700","5900","2800","13100","61500","3100","3600","8400","19300","4100","22700","105400","11400","2600","22100","17800","4700","24500","121200","10600","16300","38200","40700","12400","40900","141300","15900"
"Hertfordshire","LEP",2021,"32600","68600","117900","19600","100900","365700","40800","6300","3100","22600","c","12700","c","c","4000","2700","10100","1700","10600","26700","c","2400","3400","11000","2500","9700","36900","6100","3300","9400","19800","2500","19600","104200","8200","3000","11400","15200","2600","24100","103000","9900","13600","38600","39200","9300","24300","93400","15100"
"London","LEP",2021,"334200","347200","587500","51800","732700","3603800","451500","59100","38300","182400","c","81900","6300","4100","8500","36100","44400","5700","167200","261200","12700","21500","24000","43600","6100","76300","557700","34400","42800","55000","74000","9000","123500","1218400","115800","73400","68900","80600","4900","121100","806100","144000","128900","125000","162500","24800","162700","754100","140500"
"New Anglia","LEP",2021,"65600","128500","166100","36800","183300","331700","46400","12500","11600","23700","c","12600","c","3500","1700","6700","15900","4600","32300","19300","c","2900","8000","10100","3100","28600","37100","c","10300","20900","29000","6900","33500","79800","10800","10300","18600","32800","4500","30900","79200","11100","27800","62800","54500","17300","45300","116000","18300"
"Oxfordshire","LEP",2021,"14400","24500","51900","9500","66000","233200","17400","2900","2300","12900","c","10400","c","1800","c","c","7900","c","15200","13000","c","c","c","1100","1900","3700","36800","c","2900","5900","4500","c","10100","57900","5600","4900","4500","6600","1400","9500","55400","2800","2600","10700","19000","3100","17100","70100","6900"
"Sheffield City Region","LEP",2021,"61200","89500","160600","26500","165800","321100","55200","10200","12300","30000","c","8800","c","1100","5500","6600","15000","2100","38000","30000","2800","3600","3200","13500","2100","22600","50200","3800","8800","14300","23000","5200","36000","76700","20200","9400","15700","27700","3800","19200","73400","12800","23700","37400","51300","12900","41200","89600","14600"
"Solent","LEP",2021,"44100","92400","125700","28400","144700","304700","23400","8900","12200","22100","c","10000","c","c","1900","8000","13500","3300","32400","24400","c","1200","4900","8300","2100","10900","42400","2000","8500","9700","20400","3300","30900","79000","5500","4100","15000","19900","6100","27900","72100","4000","19500","42500","41500","13300","32500","86900","10900"
"South East","LEP",2021,"154300","302700","490000","75300","469300","933400","137900","19100","23100","86100","1800","41500","c","3900","11100","25000","43800","9900","67800","63100","6800","15700","18500","37000","6300","55200","102700","10700","27600","38500","67600","14100","99100","245000","30600","18800","61900","96400","10700","83300","222300","32000","61900","135600","159200","32300","122300","299500","53900"
