"subgroup","metric","breakdown","geogConcat","chartPeriod","value","timePeriod","latest","valueText"
"Elementary occupations","wfReplacement","Occupation (SOC2020 major)","Black Country LEP",2035,-0.308881130753015,2035-01-01,1,"-0.30888113075301504"
"Process, plant and machine operatives","wfReplacement","Occupation (SOC2020 major)","Black Country LEP",2035,-0.158636573388662,2035-01-01,1,"-0.15863657338866233"
"Sales and customer service occupations","wfReplacement","Occupation (SOC2020 major)","Black Country LEP",2035,-0.258703136743549,2035-01-01,1,"-0.25870313674354861"
"Caring, leisure and other service occupations","wfReplacement","Occupation (SOC2020 major)","Black Country LEP",2035,4.58173490461274,2035-01-01,1,"4.5817349046127376"
"Skilled trades occupations","wfReplacement","Occupation (SOC2020 major)","Black Country LEP",2035,-5.46992337129942,2035-01-01,1,"-5.4699233712994157"
"Administrative and secretarial occupations","wfReplacement","Occupation (SOC2020 major)","Black Country LEP",2035,-2.95112938719734,2035-01-01,1,"-2.9511293871973407"
"Associate professional occupations","wfReplacement","Occupation (SOC2020 major)","Black Country LEP",2035,10.6943426417485,2035-01-01,1,"10.694342641748491"
"Professional occupations","wfReplacement","Occupation (SOC2020 major)","Black Country LEP",2035,18.1953842588622,2035-01-01,1,"18.195384258862177"
"Managers, directors and senior officials","wfReplacement","Occupation (SOC2020 major)","Black Country LEP",2035,1.42581179415842,2035-01-01,1,"1.4258117941584203"
"Corporate managers and directors","wfReplacement","Occupation (SOC2020 submajor)","Black Country LEP",2035,-0.63237684257853,2035-01-01,1,"-0.63237684257853033"
"Other managers and proprietors","wfReplacement","Occupation (SOC2020 submajor)","Black Country LEP",2035,2.05818863673695,2035-01-01,1,"2.0581886367369489"
"Science, research, engineering and technology professionals","wfReplacement","Occupation (SOC2020 submajor)","Black Country LEP",2035,9.78599564851531,2035-01-01,1,"9.785995648515307"
"Health professionals","wfReplacement","Occupation (SOC2020 submajor)","Black Country LEP",2035,1.694319267799,2035-01-01,1,"1.6943192677989956"
"Teaching and other educational professionals","wfReplacement","Occupation (SOC2020 submajor)","Black Country LEP",2035,2.1387384451723,2035-01-01,1,"2.1387384451723044"
"Business, media and public service professionals","wfReplacement","Occupation (SOC2020 submajor)","Black Country LEP",2035,4.57633089737557,2035-01-01,1,"4.5763308973755699"
"Science, engineering and technology associate professionals","wfReplacement","Occupation (SOC2020 submajor)","Black Country LEP",2035,-0.283584692017548,2035-01-01,1,"-0.28358469201754843"
"Health and social care associate professionals","wfReplacement","Occupation (SOC2020 submajor)","Black Country LEP",2035,10.0539378675404,2035-01-01,1,"10.053937867540389"
"Protective service occupations","wfReplacement","Occupation (SOC2020 submajor)","Black Country LEP",2035,-0.23539630392559,2035-01-01,1,"-0.23539630392559019"
"Culture, media and sports occupations","wfReplacement","Occupation (SOC2020 submajor)","Black Country LEP",2035,-0.453756750750101,2035-01-01,1,"-0.45375675075010058"
"Business and public service associate professionals","wfReplacement","Occupation (SOC2020 submajor)","Black Country LEP",2035,1.61314252090135,2035-01-01,1,"1.613142520901345"
"Administrative occupations","wfReplacement","Occupation (SOC2020 submajor)","Black Country LEP",2035,0.921739631481131,2035-01-01,1,"0.92173963148113103"
"Secretarial and related occupations","wfReplacement","Occupation (SOC2020 submajor)","Black Country LEP",2035,-3.87286901867847,2035-01-01,1,"-3.8728690186784727"
"Skilled agricultural and related trades","wfReplacement","Occupation (SOC2020 submajor)","Black Country LEP",2035,0.341872065401086,2035-01-01,1,"0.34187206540108628"
"Skilled metal, electrical and electronic trades","wfReplacement","Occupation (SOC2020 submajor)","Black Country LEP",2035,-2.39569194002029,2035-01-01,1,"-2.3956919400202921"
"Skilled construction and building trades","wfReplacement","Occupation (SOC2020 submajor)","Black Country LEP",2035,-3.07189217506929,2035-01-01,1,"-3.0718921750692889"
"Textiles, printing and other skilled trades","wfReplacement","Occupation (SOC2020 submajor)","Black Country LEP",2035,-0.34421132161092,2035-01-01,1,"-0.34421132161091972"
"Caring personal service occupations","wfReplacement","Occupation (SOC2020 submajor)","Black Country LEP",2035,5.4224209045558,2035-01-01,1,"5.4224209045557998"
"Leisure, travel and related personal service occupations","wfReplacement","Occupation (SOC2020 submajor)","Black Country LEP",2035,-0.768797201438241,2035-01-01,1,"-0.76879720143824137"
"Community and civil enforcement occupations","wfReplacement","Occupation (SOC2020 submajor)","Black Country LEP",2035,-0.0718887985048186,2035-01-01,1,"-7.1888798504818552E-2"
