"Data​","Source​","Latest period (release date)​","Next period (release date)​"
"Employment volumes","<a href='https://www.nomisweb.co.uk/datasets/apsnew'>Annual Population Survey</a>","Jul 2023 - Jun 2024 (15/10/24)","Oct 2023 - Sep 2024 (14/01/25)"
"Employment by occupation","<a href='https://www.nomisweb.co.uk/datasets/apsnew'>Annual Population Survey</a>","Jul 2023 - Jun 2024 (15/10/24)","Oct 2023 - Sep 2024 (14/01/25)"
"Employment by industry","<a href='https://www.nomisweb.co.uk/datasets/apsnew'>Annual Population Survey</a>","Jul 2023 - Jun 2024 (15/10/24)","Oct 2023 - Sep 2024 (14/01/25)"
"Further education and skills achievements and participation by provision, level and age group","<a href='https://explore-education-statistics.service.gov.uk/data-catalogue/further-education-and-skills/2022-23'>Individualised Learner Record</a>","Aug 2022 – Jul 2023 (30/11/23)","Aug 2023 – Jul 2024 (Nov 24)"
"Further education and skills achievements by sector subject area","<a href='https://explore-education-statistics.service.gov.uk/data-tables/permalink/93f9aa79-9a67-48d5-e9e2-08dc0dc60f26'>Individualised Learner Record</a>","Aug 2022 – Jul 2023 (30/11/23)","Aug 2023 – Jul 2024 (Nov 24)"
"Highest qualification level by age and gender","<a href='https://www.nomisweb.co.uk/datasets/apsnew'>Annual Population Survey</a>","Jan 2023 - Dec 2023 (16/04/24)","Jan 2024 - Dec 2024 (TBC)"
"Enterprises by employment size band","<a href='https://www.nomisweb.co.uk/datasets/idbrent'>ONS UK Business Counts</a>","Mar 2023 (27/09/23)","Mar 2024 (Sep 24)"
"Enterprises by employment industry","<a href='https://www.nomisweb.co.uk/datasets/idbrent'>ONS UK Business Counts</a>","Mar 2023 (27/09/23)","Mar 2024 (Sep 24)"
"Business demography","<a href=' https://www.ons.gov.uk/businessindustryandtrade/business/activitysizeandlocation/datasets/businessdemographyreferencetable'>ONS Business Demography</a>","Dec 2021 - Dec 2022 (22/11/23)","Dec 2022 - Dec 2023 (Nov 24)"
"Key Stage 4 (KS4) destinations","<a href = 'https://explore-education-statistics.service.gov.uk/data-tables/permalink/f5995891-4e9a-439d-0d58-08dbd1400c33'>National Pupil Database</a>","Aug 2021 -  Jul 2022 (20/21 learners) (19/10/23)","Aug 2022 -  Jul 2023 (21/22 learners) (Oct 24)"
"Key Stage 5 (KS5) destinations","<a href = 'https://explore-education-statistics.service.gov.uk/data-tables/permalink/b0424f32-b140-44a8-a039-08dbd1466a44'>National Pupil Database</a>","Aug 2021 -  Jul 2022 (20/21 learners) (19/10/23)","Aug 2022 -  Jul 2023 (21/22 learners) (Oct 24)"
"Job adverts by occupation","<a href='https://www.ons.gov.uk/employmentandlabourmarket/peopleinwork/employmentandemployeetypes/datasets/labourdemandvolumesbystandardoccupationclassificationsoc2020uk'>ONS Textkernel</a>","Dec 2023 (24/06/24)","To be announced"
"Skills Imperative 2035 employment projections by industry, sector, and qualification","<a href='https://www.gov.uk/government/publications/labour-market-and-skills-projections-2020-to-2035'>Skills Imperative 2035</a>","2035 (05/08/24)","To be announced"
