"Data​","Detail","Source​"
"Job quality indicator tables","Covering UK by country, region and local authority","<a href='https://www.beta.ons.gov.uk/employmentandlabourmarket/peopleinwork/employmentandemployeetypes/datasets/qualityworkcomponentandcompositetablesuk2018'>Job quality indicator tables, UK - Office for National Statistics (ons.gov.uk)</a>"
"Higher Education destination","The data shows what people did after finishing their degree, by ethnicity. It includes people who graduated 1, 3, 5, and 10 years ago (up to March 2020) and the median earnings of graduates in employment. ","<a href='https://www.ethnicity-facts-figures.service.gov.uk/education-skills-and-training/after-education/destinations-and-earnings-of-graduates-after-higher-education/latest'>Destinations and earnings of graduates after higher education - GOV.UK Ethnicity facts and figures (ethnicity-facts-figures.service.gov.uk)</a>"
"Region of residence after HE",NA,"<a href='https://www.hesa.ac.uk/news/16-06-2022/sb263-higher-education-graduate-outcomes-statistics/salary'>Graduate Outcomes 2019/20: Summary Statistics - Graduate salaries and work locations | HESA</a>"
"Further Education destination","The data shows what people did after finishing their further education qualification by local enterprise partnership, provision, level of learning and sector subject area","<a href='https://explore-education-statistics.service.gov.uk/data-tables/fast-track/b8aabe3c-5f3c-48b5-929c-8615d57d1d98'>Explore Education Statistics</a>"
"Apprenticeship destination","The data shows what people did after finishing their apprenticeship","<a href='https://explore-education-statistics.service.gov.uk/data-tables/further-education-outcome-based-success-measures'>Explore Education Statistics</a>"
"Gross value added (GVA) per hour worked ",NA,"<a href='https://www.ons.gov.uk/employmentandlabourmarket/peopleinwork/labourproductivity/datasets/subregionalproductivitylabourproductivitygvaperhourworkedandgvaperfilledjobindicesbylocalenterprisepartnership'>Subregional productivity: labour productivity indices by economic enterprise region - Office for National Statistics (ons.gov.uk)</a>"
"Median wage",NA,"<a href='https://www.nomisweb.co.uk/datasets/ashe'>ASHE Nomis</a>"
"Population by age",NA,"<a href='https://www.nomisweb.co.uk/datasets/apsnew'>APS Nomis</a>"
"Young people not in education, employment or training (NEET)","Data showing the proportions of 16- and 17-year-olds in education and training and an estimate of those not in education, employment or training (NEET).","<a href='https://www.gov.uk/government/publications/neet-and-participation-local-authority-figures'>NEET and participation: local authority figures - GOV.UK (www.gov.uk)</a>"
"Employer Skills Survey (ESS) 2022 ","Including hard-to-fill and skill-shortage vacancies, employer skills needed in next 12 months, and percent of employers providing training","<a href='https://explore-education-statistics.service.gov.uk/find-statistics/employer-skills-survey/2022'>Department for Education (gov.uk)</a>"
"Association of Colleges (AoC)","Lists useful data sources related to colleges","<a href='https://www.aoc.co.uk/research-unit/data-sources'>Association of Colleges (AoC)</a>"
"Census","Contains a range of topics including labour market and education by local authority. ","<a href='https://census.gov.uk/local-authorities'>ONS</a>"
"NOMIS","Query labour market data at national, regional and local levels","<a href='https://www.nomisweb.co.uk/'>Nomis</a>"
"Explore Education Statistics","A range of educational data published by the Department of Education ","<a href='https://explore-education-statistics.service.gov.uk/'>Explore Education Statistics</a>"
