"x"
"In Oct 2018-Sep 2019 the inemploymentRate in Cumbria LEP was 0.793650793650794."
"In Oct 2019-Sep 2020 the inemploymentRate in Cumbria LEP was 0.789784572619875."
"In Oct 2020-Sep 2021 the inemploymentRate in Cumbria LEP was 0.739313244569026."
"In Oct 2021-Sep 2022 the inemploymentRate in Cumbria LEP was 0.782837127845884."
"In Oct 2022-Sep 2023 the inemploymentRate in Cumbria LEP was 0.801465457083043."
"In Oct 2018-Sep 2019 the inemployment in Cumbria LEP was 230000."
"In Oct 2019-Sep 2020 the inemployment in Cumbria LEP was 227300."
"In Oct 2020-Sep 2021 the inemployment in Cumbria LEP was 211000."
"In Oct 2021-Sep 2022 the inemployment in Cumbria LEP was 223500."
"In Oct 2022-Sep 2023 the inemployment in Cumbria LEP was 229700."
"In AY22/23 the achievements_rate_per_100000_population in Cumbria LEP was 3382."
"In AY21/22 the achievements_rate_per_100000_population in Cumbria LEP was 2911."
"In AY20/21 the achievements_rate_per_100000_population in Cumbria LEP was 2856."
"In AY19/20 the achievements_rate_per_100000_population in Cumbria LEP was 3361."
"In AY18/19 the achievements_rate_per_100000_population in Cumbria LEP was 4531."
"In AY17/18 the achievements_rate_per_100000_population in Cumbria LEP was 4800."
"In 2023 the employmentProjection in Cumbria LEP was 0.00477642839978601."
"In 2024 the employmentProjection in Cumbria LEP was 0.00649405600709422."
"In 2025 the employmentProjection in Cumbria LEP was 0.00482175235421419."
"In 2026 the employmentProjection in Cumbria LEP was 0.00406008636778622."
"In 2027 the employmentProjection in Cumbria LEP was 0.00361248899404809."
"In 2028 the employmentProjection in Cumbria LEP was 0.00356338272246772."
"In 2029 the employmentProjection in Cumbria LEP was 0.00351835263390722."
"In 2030 the employmentProjection in Cumbria LEP was 0.00387526035225035."
"In 2031 the employmentProjection in Cumbria LEP was 0.00377102453308533."
"In 2032 the employmentProjection in Cumbria LEP was 0.00378176074226394."
"In 2033 the employmentProjection in Cumbria LEP was 0.00384194166911933."
"In 2034 the employmentProjection in Cumbria LEP was 0.00383429896939893."
"In 2035 the employmentProjection in Cumbria LEP was 0.00390406550388885."
"In AY17/18 the sustainedPositiveDestinationKS5Rate in Cumbria LEP was 0.844754934575294."
"In AY18/19 the sustainedPositiveDestinationKS5Rate in Cumbria LEP was 0.842753077116302."
"In AY19/20 the sustainedPositiveDestinationKS5Rate in Cumbria LEP was 0.833290188972301."
"In AY20/21 the sustainedPositiveDestinationKS5Rate in Cumbria LEP was 0.828808864265928."
"In AY21/22 the sustainedPositiveDestinationKS5Rate in Cumbria LEP was 0.875350140056022."
"In Apr 17 the vacancies in Cumbria LEP was 5470."
"In Apr 18 the vacancies in Cumbria LEP was 4870."
"In Apr 19 the vacancies in Cumbria LEP was 4915."
"In Apr 20 the vacancies in Cumbria LEP was 2955."
"In Apr 21 the vacancies in Cumbria LEP was 8550."
"In Apr 22 the vacancies in Cumbria LEP was 11065."
"In Aug 17 the vacancies in Cumbria LEP was 6455."
"In Aug 18 the vacancies in Cumbria LEP was 4740."
"In Aug 19 the vacancies in Cumbria LEP was 4635."
"In Aug 20 the vacancies in Cumbria LEP was 5080."
"In Aug 21 the vacancies in Cumbria LEP was 12365."
"In Aug 22 the vacancies in Cumbria LEP was 9080."
"In Dec 17 the vacancies in Cumbria LEP was 4185."
"In Dec 18 the vacancies in Cumbria LEP was 4465."
"In Dec 19 the vacancies in Cumbria LEP was 3940."
"In Dec 20 the vacancies in Cumbria LEP was 6425."
"In Dec 21 the vacancies in Cumbria LEP was 16645."
"In Dec 22 the vacancies in Cumbria LEP was 6715."
"In Feb 17 the vacancies in Cumbria LEP was 6100."
"In Feb 18 the vacancies in Cumbria LEP was 4445."
"In Feb 19 the vacancies in Cumbria LEP was 4665."
"In Feb 20 the vacancies in Cumbria LEP was 4315."
"In Feb 21 the vacancies in Cumbria LEP was 6525."
"In Feb 22 the vacancies in Cumbria LEP was 13955."
"In Jan 17 the vacancies in Cumbria LEP was 5985."
"In Jan 18 the vacancies in Cumbria LEP was 4440."
"In Jan 19 the vacancies in Cumbria LEP was 4500."
"In Jan 20 the vacancies in Cumbria LEP was 3825."
"In Jan 21 the vacancies in Cumbria LEP was 6155."
"In Jan 22 the vacancies in Cumbria LEP was 15075."
"In Jul 17 the vacancies in Cumbria LEP was 6360."
"In Jul 18 the vacancies in Cumbria LEP was 4840."
"In Jul 19 the vacancies in Cumbria LEP was 4660."
"In Jul 20 the vacancies in Cumbria LEP was 4385."
"In Jul 21 the vacancies in Cumbria LEP was 11545."
"In Jul 22 the vacancies in Cumbria LEP was 9170."
"In Jun 17 the vacancies in Cumbria LEP was 6025."
"In Jun 18 the vacancies in Cumbria LEP was 4690."
"In Jun 19 the vacancies in Cumbria LEP was 4770."
"In Jun 20 the vacancies in Cumbria LEP was 3990."
"In Jun 21 the vacancies in Cumbria LEP was 10825."
"In Jun 22 the vacancies in Cumbria LEP was 10125."
"In Mar 17 the vacancies in Cumbria LEP was 5850."
"In Mar 18 the vacancies in Cumbria LEP was 4465."
"In Mar 19 the vacancies in Cumbria LEP was 4995."
"In Mar 20 the vacancies in Cumbria LEP was 3625."
"In Mar 21 the vacancies in Cumbria LEP was 7780."
"In Mar 22 the vacancies in Cumbria LEP was 11420."
"In May 17 the vacancies in Cumbria LEP was 5055."
"In May 18 the vacancies in Cumbria LEP was 4865."
"In May 19 the vacancies in Cumbria LEP was 4925."
"In May 20 the vacancies in Cumbria LEP was 3540."
"In May 21 the vacancies in Cumbria LEP was 9595."
"In May 22 the vacancies in Cumbria LEP was 11650."
"In Nov 17 the vacancies in Cumbria LEP was 4645."
"In Nov 18 the vacancies in Cumbria LEP was 4970."
"In Nov 19 the vacancies in Cumbria LEP was 4370."
"In Nov 20 the vacancies in Cumbria LEP was 6545."
"In Nov 21 the vacancies in Cumbria LEP was 15375."
"In Nov 22 the vacancies in Cumbria LEP was 7695."
"In Oct 17 the vacancies in Cumbria LEP was 5015."
"In Oct 18 the vacancies in Cumbria LEP was 5005."
"In Oct 19 the vacancies in Cumbria LEP was 4310."
"In Oct 20 the vacancies in Cumbria LEP was 6455."
"In Oct 21 the vacancies in Cumbria LEP was 13590."
"In Oct 22 the vacancies in Cumbria LEP was 8560."
"In Sep 17 the vacancies in Cumbria LEP was 5990."
"In Sep 18 the vacancies in Cumbria LEP was 4960."
"In Sep 19 the vacancies in Cumbria LEP was 4305."
"In Sep 20 the vacancies in Cumbria LEP was 5720."
"In Sep 21 the vacancies in Cumbria LEP was 12660."
"In Sep 22 the vacancies in Cumbria LEP was 8785."
"In Mar 2019 the enterprisePctMicro in Cumbria LEP was 0.894592310942121."
"In Mar 2020 the enterprisePctMicro in Cumbria LEP was 0.895877603059923."
"In Mar 2021 the enterprisePctMicro in Cumbria LEP was 0.897370109044259."
"In Mar 2022 the enterprisePctMicro in Cumbria LEP was 0.892880328933131."
"In Mar 2023 the enterprisePctMicro in Cumbria LEP was 0.890772957498348."
