"area","metric","timePeriod","value"
"Buckinghamshire LEP","inemploymentRate","2018-10-01",0.8
"England","inemploymentRate","2018-10-01",0.76
"Buckinghamshire LEP","inemploymentRate","2019-10-01",0.79
"England","inemploymentRate","2019-10-01",0.76
"Buckinghamshire LEP","inemploymentRate","2020-10-01",0.77
"England","inemploymentRate","2020-10-01",0.75
"Buckinghamshire LEP","inemploymentRate","2021-10-01",0.82
"England","inemploymentRate","2021-10-01",0.76
"Buckinghamshire LEP","inemploymentRate","2022-10-01",0.8
"England","inemploymentRate","2022-10-01",0.76
