"Occupation","England","Black Country","Cheshire and Warrington","Cornwall and Isles of Scilly","Coventry and Warwickshire","Cumbria","Dorset","Gloucestershire","Greater Birmingham and Solihull","Greater Manchester","Heart of the South West","Lancashire","Leicester and Leicestershire","Liverpool City Region","North East","Stoke-on-Trent and Staffordshire","Swindon and Wiltshire","Tees Valley","Thames Valley Berkshire","The Marches","West of England","Worcestershire","Buckinghamshire","Coast to Capital","Derby, Derbyshire, Nottingham and Nottinghamshire","Enterprise M3","Hertfordshire","London","New Anglia","Oxfordshire","Sheffield City Region","Solent","South East","South East Midlands","York and North Yorkshire","Greater Cambridge and Greater Peterborough","Greater Lincolnshire","Hull and East Yorkshire","Leeds City Region"
"  Corporate managers and directors  ",0.0788,0.0598,0.0937,0.0672,0.0626,0.0617,0.0874,0.0856,0.073,0.0607,0.0664,0.0669,0.0808,0.0567,0.0579,0.0792,0.0821,0.0498,0.0994,0.0824,0.0675,0.0872,0.1268,0.0994,0.0746,0.1212,0.089,0.0972,0.0663,NA,0.0512,0.0625,0.0789,0.08,0.0767,0.0707,0.0728,0.0737,0.07
"  Other managers and proprietors  ",0.0293,0.0288,0.0368,0.0297,0.0162,0.041,0.0303,0.0284,0.0302,0.0301,0.0387,0.0241,0.0289,0.0314,0.0268,0.0339,0.0287,0.0211,0.0286,0.0312,0.0338,0.0236,0.0363,0.0253,0.0259,0.0325,0.0324,0.0297,0.0402,NA,0.0266,0.0402,0.027,0.0221,0.0403,0.0232,0.0335,0.0271,0.0238
"  Science research engineering and technology professionals  ",0.0773,0.0416,0.0925,0.0569,0.0936,0.041,0.0709,0.0958,0.0686,0.0777,0.0582,0.0505,0.0724,0.0644,0.055,0.0659,0.0732,0.037,0.131,0.0843,0.0952,0.0639,0.089,0.0786,0.0729,0.1113,0.082,0.1001,0.0594,NA,0.0571,0.0692,0.0597,0.0828,0.0839,0.1137,0.0417,0.0564,0.0692
"  Health professionals  ",0.0429,0.0478,0.0486,0.0324,0.0404,0.0445,0.0493,0.0319,0.0504,0.0463,0.05,0.0448,0.0321,0.0492,0.0433,0.0451,0.0367,0.048,0.028,0.0441,0.0483,0.0507,0.0385,0.0402,0.0502,0.0306,0.0508,0.0447,0.0346,NA,0.0507,0.0418,0.0338,0.0323,0.064,0.0475,0.0327,0.0307,0.0476
"  Teaching and educational professionals  ",0.0523,0.0538,0.0569,0.0447,0.0641,0.0493,0.051,0.0396,0.06,0.0525,0.0459,0.0481,0.0525,0.0608,0.0544,0.0551,0.0443,0.0532,0.0531,0.057,0.0558,0.0514,0.0456,0.0597,0.049,0.0472,0.0424,0.0526,0.0347,NA,0.0525,0.0559,0.0567,0.0444,0.0638,0.0559,0.0486,0.0401,0.0509
"  Business media and public service professionals  ",0.0671,0.0401,0.0761,0.0391,0.071,0.0379,0.0574,0.0524,0.0543,0.0576,0.0473,0.0519,0.0469,0.051,0.0404,0.0608,0.0677,0.0411,0.0662,0.0412,0.0911,0.0521,0.0582,0.0716,0.0536,0.0779,0.0922,0.1106,0.0515,NA,0.0527,0.0608,0.0584,0.0486,0.0496,0.0489,0.0375,0.0484,0.07
"  Science engineering and technology associate professionals  ",0.0183,0.0181,0.0229,0.0095,0.0308,0.0229,0.0165,0.0147,0.0202,0.0218,0.0141,0.0202,0.0267,0.0182,0.0205,0.0166,0.0206,0.0318,0.0262,0.0186,0.0158,0.0174,0.0252,0.0167,0.0181,0.0197,0.0171,0.0132,0.0155,NA,0.017,0.0237,0.014,0.0272,0.0262,0.0229,0.0167,0.0188,0.0192
"  Health and social care associate professionals  ",0.017,0.0202,0.0132,0.0186,0.0124,0.015,0.0182,0.0102,0.0129,0.0222,0.0133,0.0216,0.0181,0.0219,0.0216,0.0155,0.0145,0.0221,0.0125,0.0098,0.0207,0.0142,0.0156,0.0208,0.0149,0.0128,0.0137,0.0161,0.0154,NA,0.0176,0.0146,0.0176,0.0187,0.0194,0.0178,0.0089,0.0271,0.0223
"  Protective service occupations  ",0.0105,0.0084,0.0109,0.015,0.0141,0.0172,0.009,0.0105,0.007,0.0089,0.0123,0.0096,0.0076,0.0156,0.0089,0.0116,0.0203,0.0121,0.0086,0.0076,0.0061,0.0087,0.0196,0.0154,0.0076,0.0129,0.0032,0.0056,0.015,NA,0.0087,0.0114,0.0175,0.0174,0.0134,0.0098,0.0121,0.0155,0.0075
"  Culture media and sports occupations  ",0.0246,0.0188,0.0176,0.0178,0.0248,0.0233,0.0235,0.0355,0.0165,0.0223,0.0213,0.0181,0.0207,0.0196,0.0182,0.0192,0.0223,0.0121,0.0211,0.0198,0.0281,0.0163,0.0271,0.0277,0.017,0.0189,0.0265,0.0445,0.0155,NA,0.0126,0.0251,0.0235,0.0133,0.0164,0.0246,0.0171,0.0134,0.0156
