"year","area","geographic_level","22  all ","25  economically active ","Employment","31  employees ","34  self employed ","37  unemployed ","40  inactive ","empRate","Year"
"2017","England","COUNTRY",34639800,27229200,26008700,22137400,3769800,1220400,7410700,0.750832857002639,17
"2017","Black Country","LEP",724300,531400,494900,438600,54500,36600,192900,0.68328040867044,17
"2017","Cheshire and Warrington","LEP",560300,437900,422700,362400,59800,15300,122400,0.75441727645904,17
"2017","Cornwall and Isles of Scilly","LEP",327000,257800,250200,191200,57600,7500,69200,0.765137614678899,17
"2017","Coventry and Warwickshire","LEP",581200,456700,440200,375700,60900,16500,124500,0.757398485891259,17
"2017","Cumbria","LEP",294000,237300,229300,198600,29700,8000,56700,0.779931972789116,17
"2017","Dorset","LEP",446500,357900,347300,295300,49900,10500,88700,0.777827547592385,17
"2017","Gloucestershire","LEP",378400,313200,304200,260800,42600,9000,65200,0.803911205073996,17
"2017","Greater Birmingham and Solihull","LEP",1266300,948200,889800,770200,117000,58400,318100,0.702677090736792,17
"2017","Greater Manchester","LEP",1778000,1347900,1280200,1112800,161100,67800,430100,0.720022497187851,17
"2017","Heart of the South West","LEP",1014100,817000,790700,653000,132300,26400,197100,0.779706143378365,17
"2017","Lancashire","LEP",904900,708900,679900,597500,80100,29000,195900,0.751353740744834,17
"2017","Leicester and Leicestershire","LEP",658300,508000,483700,427700,53200,24300,150300,0.734771380829409,17
"2017","Liverpool City Region","LEP",970100,713800,678100,594300,82100,35800,256300,0.699000103082156,17
"2017","North East","LEP",1233500,936800,879200,777500,100100,57600,296700,0.712768544791244,17
"2017","Stoke-on-Trent and Staffordshire","LEP",688700,557100,532100,468400,63000,24900,131600,0.772615071874546,17
"2017","Swindon and Wiltshire","LEP",430700,365200,350200,302000,48100,15000,65400,0.813094961690272,17
"2017","Tees Valley","LEP",412400,303800,283000,253800,27800,20900,108600,0.686226964112512,17
"2017","Thames Valley Berkshire","LEP",568500,466900,453400,387900,64100,13500,101700,0.797537379067722,17
