27-September-2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Employer Skills Survey (ESS) 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Back to contents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 85/ 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F4/F4A. Whether establishment has funded or arranged training for staff over past 12 months,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Base: All establishments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,LEP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,Enterprise M3,Black Country,Buckinghamshire Thames Valley,Cheshire and Warrington,Coast to Capital,Cornwall and Isles of Scilly,Coventry and Warwickshire,Cumbria,Derby Derbyshire Nottingham and Nottinghamshire,Dorset,Leeds City Region,Gloucestershire,Greater Birmingham and Solihull,Greater Cambridge Greater Peterborough,Greater Lincolnshire,Greater Manchester,Heart of the South West,Hertfordshire,Humber,Lancashire,South East,Leicester and Leicestershire,Liverpool City Region,London,New Anglia,North Eastern,Northamptonshire,Oxfordshire,Sheffield City Region,Solent,South East Midlands,Stoke-on-Trent and Staffordshire,Swindon and Wiltshire,Tees Valley,Thames Valley Berkshire,The Marches,West of England,Worcestershire,York North Yorkshire and East Riding
Unweighted row,71527,2161,1300,656,1402,2154,995,1127,905,3011,1176,3943,848,2437,2366,1633,2755,2691,1815,1332,1873,4764,1502,1328,10269,2280,3819,0,769,2242,1053,2371,1328,791,1376,952,1259,1491,1082,2315
Total,1602193,62412,25714,18918,29471,54544,19974,25224,19092,57202,24485,78965,21125,52206,49450,30516,69857,57482,37348,25011,40330,117062,28895,32611,289814,49331,46039,0,22576,46312,25216,58670,29702,21287,14650,28337,23858,32893,17879,41551
Off-job and on-job training,564380,21967,8731,7517,11005,19323,6096,9977,6689,21247,8756,28734,8415,17265,18974,11032,26621,19875,14000,9591,13656,41432,10479,12931,109027,17297,16384,**,9346,15773,10496,21478,11356,8883,5257,13631,8182,13715,6078,13440
,35%,35%,34%,40%,37%,35%,31%,40%,35%,37%,36%,36%,40%,33%,38%,36%,38%,35%,37%,38%,34%,35%,36%,40%,38%,35%,36%,**,41%,34%,42%,37%,38%,42%,36%,48%,34%,42%,34%,32%
Off-job training only,201921,8495,3226,1939,3765,6454,2503,3214,2491,6150,3417,10255,2805,7439,5847,4304,7462,8055,4525,3360,5982,13265,4000,4129,32105,6651,5845,**,3583,5902,3743,8007,3792,3170,1825,1958,3599,3946,2974,6754
,13%,14%,13%,10%,13%,12%,13%,13%,13%,11%,14%,13%,13%,14%,12%,14%,11%,14%,12%,13%,15%,11%,14%,13%,11%,13%,13%,**,16%,13%,15%,14%,13%,15%,12%,7%,15%,12%,17%,16%
On-job training only,289632,11097,3917,3921,6507,11444,3790,3082,2417,8191,4331,12682,3506,9373,9038,5316,14943,12050,7724,3819,7981,23969,4698,5601,51371,9573,6986,**,2999,7269,5544,9989,4294,3674,2213,4409,3106,6747,2329,6261
,18%,18%,15%,21%,22%,21%,19%,12%,13%,14%,18%,16%,17%,18%,18%,17%,21%,21%,21%,15%,20%,20%,16%,17%,18%,19%,15%,**,13%,16%,22%,17%,14%,17%,15%,16%,13%,21%,13%,15%
Do not train,546260,20854,9840,5542,8194,17322,7584,8951,7496,21614,7981,27295,6399,18129,15591,9864,20830,17503,11099,8241,12711,38395,9718,9951,97311,15809,16824,**,6649,17369,5433,19196,10259,5560,5355,8339,8970,8485,6499,15096
,34%,33%,38%,29%,28%,32%,38%,35%,39%,38%,33%,35%,30%,35%,32%,32%,30%,30%,30%,33%,32%,33%,34%,31%,34%,32%,37%,**,29%,38%,22%,33%,35%,26%,37%,29%,38%,26%,36%,36%
ANY TRAINING,1055933,41558,15874,13376,21277,37222,12390,16273,11596,35588,16504,51670,14726,34078,33859,20652,49027,39979,26249,16770,27619,78667,19177,22660,192503,33522,29215,**,15927,28944,19783,39475,19443,15727,9295,19998,14888,24408,11380,26455
,66%,67%,62%,71%,72%,68%,62%,65%,61%,62%,67%,65%,70%,65%,68%,68%,70%,70%,70%,67%,68%,67%,66%,69%,66%,68%,63%,**,71%,62%,78%,67%,65%,74%,63%,71%,62%,74%,64%,64%
ANY OFF-THE-JOB,766301,30461,11957,9456,14770,25778,8599,13191,9180,27397,12173,38989,11220,24704,24821,15336,34083,27929,18525,12951,19638,54698,14479,17059,141132,23948,22230,**,12929,21675,14239,29485,15149,12053,7082,15589,11782,17661,9051,20194
,48%,49%,46%,50%,50%,47%,43%,52%,48%,48%,50%,49%,53%,47%,50%,50%,49%,49%,50%,52%,49%,47%,50%,52%,49%,49%,48%,**,57%,47%,56%,50%,51%,57%,48%,55%,49%,54%,51%,49%
ANY ON-THE-JOB,854012,33063,12648,11437,17512,30767,9887,13059,9105,29438,13087,41415,11922,26639,28012,16348,41565,31924,21723,13410,21637,65401,15177,18531,160398,26870,23370,**,12344,23042,16040,31467,15651,12557,7470,18041,11288,20462,8406,19701
,53%,53%,49%,60%,59%,56%,49%,52%,48%,51%,53%,52%,56%,51%,57%,54%,59%,56%,58%,54%,54%,56%,53%,57%,55%,54%,51%,**,55%,50%,64%,54%,53%,59%,51%,64%,47%,62%,47%,47%
Tables produced by IFF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
