,Unweighted row,Total,Off-job and on-job training,,Off-job training only,,On-job training only,,Do not train,,ANY TRAINING,,ANY OFF-THE-JOB,,ANY ON-THE-JOB,
Total,71527.00,1602193.00,564380.00,0.35,201921.00,0.13,289632.00,0.18,546260.00,0.34,1055933.00,0.66,766301.00,0.48,854012.00,0.53
Enterprise M3,2161.00,62412.00,21967.00,0.35,8495.00,0.14,11097.00,0.18,20854.00,0.33,41558.00,0.67,30461.00,0.49,33063.00,0.53
Black Country,1300.00,25714.00,8731.00,0.34,3226.00,0.13,3917.00,0.15,9840.00,0.38,15874.00,0.62,11957.00,0.46,12648.00,0.49
Buckinghamshire Thames Valley,656.00,18918.00,7517.00,0.40,1939.00,0.10,3921.00,0.21,5542.00,0.29,13376.00,0.71,9456.00,0.50,11437.00,0.60
Cheshire and Warrington,1402.00,29471.00,11005.00,0.37,3765.00,0.13,6507.00,0.22,8194.00,0.28,21277.00,0.72,14770.00,0.50,17512.00,0.59
Coast to Capital,2154.00,54544.00,19323.00,0.35,6454.00,0.12,11444.00,0.21,17322.00,0.32,37222.00,0.68,25778.00,0.47,30767.00,0.56
Cornwall and Isles of Scilly,995.00,19974.00,6096.00,0.31,2503.00,0.13,3790.00,0.19,7584.00,0.38,12390.00,0.62,8599.00,0.43,9887.00,0.49
Coventry and Warwickshire,1127.00,25224.00,9977.00,0.40,3214.00,0.13,3082.00,0.12,8951.00,0.35,16273.00,0.65,13191.00,0.52,13059.00,0.52
Cumbria,905.00,19092.00,6689.00,0.35,2491.00,0.13,2417.00,0.13,7496.00,0.39,11596.00,0.61,9180.00,0.48,9105.00,0.48
Derby Derbyshire Nottingham and Nottinghamshire,3011.00,57202.00,21247.00,0.37,6150.00,0.11,8191.00,0.14,21614.00,0.38,35588.00,0.62,27397.00,0.48,29438.00,0.51
Dorset,1176.00,24485.00,8756.00,0.36,3417.00,0.14,4331.00,0.18,7981.00,0.33,16504.00,0.67,12173.00,0.50,13087.00,0.53
Leeds City Region,3943.00,78965.00,28734.00,0.36,10255.00,0.13,12682.00,0.16,27295.00,0.35,51670.00,0.65,38989.00,0.49,41415.00,0.52
Gloucestershire,848.00,21125.00,8415.00,0.40,2805.00,0.13,3506.00,0.17,6399.00,0.30,14726.00,0.70,11220.00,0.53,11922.00,0.56
Greater Birmingham and Solihull,2437.00,52206.00,17265.00,0.33,7439.00,0.14,9373.00,0.18,18129.00,0.35,34078.00,0.65,24704.00,0.47,26639.00,0.51
Greater Cambridge Greater Peterborough,2366.00,49450.00,18974.00,0.38,5847.00,0.12,9038.00,0.18,15591.00,0.32,33859.00,0.68,24821.00,0.50,28012.00,0.57
Greater Lincolnshire,1633.00,30516.00,11032.00,0.36,4304.00,0.14,5316.00,0.17,9864.00,0.32,20652.00,0.68,15336.00,0.50,16348.00,0.54
Greater Manchester,2755.00,69857.00,26621.00,0.38,7462.00,0.11,14943.00,0.21,20830.00,0.30,49027.00,0.70,34083.00,0.49,41565.00,0.59
