27-September-2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Employer Skills Survey (ESS) 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Back to contents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 80/ 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E3 Skills that will need developing among workforce (Module 2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Base: All establishments who anticipate a need for new skills in next 12 months (and could identify an occupation that would be most affected),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,LEP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,Enterprise M3,Black Country,Buckinghamshire Thames Valley,Cheshire and Warrington,Coast to Capital,Cornwall and Isles of Scilly,Coventry and Warwickshire,Cumbria,Derby Derbyshire Nottingham and Nottinghamshire,Dorset,Leeds City Region,Gloucestershire,Greater Birmingham and Solihull,Greater Cambridge Greater Peterborough,Greater Lincolnshire,Greater Manchester,Heart of the South West,Hertfordshire,Humber,Lancashire,South East,Leicester and Leicestershire,Liverpool City Region,London,New Anglia,North Eastern,Northamptonshire,Oxfordshire,Sheffield City Region,Solent,South East Midlands,Stoke-on-Trent and Staffordshire,Swindon and Wiltshire,Tees Valley,Thames Valley Berkshire,The Marches,West of England,Worcestershire,York North Yorkshire and East Riding
Unweighted row,21314,665,393,191,428,654,317,354,285,862,372,1187,285,703,803,465,856,914,572,370,566,1438,450,426,2824,717,1051,0,210,647,312,662,396,234,391,265,364,471,328,705
Total,897254,38192,13942,11499,15490,27956,11575,14092,11153,31916,14147,42267,14464,28758,31878,16235,42259,37783,23318,12539,21146,64946,16920,18564,149194,28755,24419,0,11273,27442,14285,31245,17444,13255,7987,16140,13084,19923,10556,22115
Computer literacy / basic IT skills,275313,12114,4954,2749,5092,6381,3852,4244,4328,9034,3804,13880,3999,9471,9111,4142,13553,11874,7583,4432,7293,21368,4769,6616,41723,8151,7789,**,2723,10165,3425,6832,5514,5620,3074,3684,3452,7033,3232,8755
,31%,32%,36%,24%,33%,23%,33%,30%,39%,28%,27%,33%,28%,33%,29%,26%,32%,31%,33%,35%,34%,33%,28%,36%,28%,28%,32%,**,24%,37%,24%,22%,32%,42%,38%,23%,26%,35%,31%,40%
Advanced or specialist IT skills,272432,10319,4323,3073,5077,8872,3056,3767,3039,6601,4216,14072,4979,8505,11055,4154,13149,11158,5956,3329,6153,18099,4422,6278,49716,8202,7252,**,3304,6933,4753,9488,5632,5364,2291,5416,3147,6015,3352,7320
,30%,27%,31%,27%,33%,32%,26%,27%,27%,21%,30%,33%,34%,30%,35%,26%,31%,30%,26%,27%,29%,28%,26%,34%,33%,29%,30%,**,29%,25%,33%,30%,32%,40%,29%,34%,24%,30%,32%,33%
Solving complex problems requiring a solution specific to the situation,338174,14444,6007,3895,6171,10014,3918,4858,3857,9465,6537,17299,6220,11783,12813,5346,15498,14740,8394,4666,7479,24502,5118,6750,58428,10536,9616,**,3963,9037,5150,10772,6440,5449,3163,5220,4644,8379,3745,10037
,38%,38%,43%,34%,40%,36%,34%,34%,35%,30%,46%,41%,43%,41%,40%,33%,37%,39%,36%,37%,35%,38%,30%,36%,39%,37%,39%,**,35%,33%,36%,34%,37%,41%,40%,32%,35%,42%,35%,45%
