27-September-2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Employer Skills Survey (ESS) 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Back to contents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table 74/ 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proficiency of workforce summary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Base: All employment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,LEP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,Enterprise M3,Black Country,Buckinghamshire Thames Valley,Cheshire and Warrington,Coast to Capital,Cornwall and Isles of Scilly,Coventry and Warwickshire,Cumbria,Derby Derbyshire Nottingham and Nottinghamshire,Dorset,Leeds City Region,Gloucestershire,Greater Birmingham and Solihull,Greater Cambridge Greater Peterborough,Greater Lincolnshire,Greater Manchester,Heart of the South West,Hertfordshire,Humber,Lancashire,South East,Leicester and Leicestershire,Liverpool City Region,London,New Anglia,North Eastern,Northamptonshire,Oxfordshire,Sheffield City Region,Solent,South East Midlands,Stoke-on-Trent and Staffordshire,Swindon and Wiltshire,Tees Valley,Thames Valley Berkshire,The Marches,West of England,Worcestershire,York North Yorkshire and East Riding
Unweighted row,2132255,66393,40976,18086,37298,62264,20247,39734,28231,79650,31775,125265,25761,65370,75710,47721,93516,71418,49058,45422,54846,124656,36396,55709,335562,76146,98182,0,29698,64117,37457,72472,38964,21739,38814,43352,32858,41184,23903,52221
Total,24452030,758976,435971,218866,468876,777179,213472,424168,233585,910984,314572,1326729,274639,856235,769546,419376,1207172,708281,558561,374922,612058,1511789,451364,605295,4772898,667335,769880,0,350571,711794,462256,874004,450585,306561,256529,474529,287635,554861,234803,495861
Total not fully proficient,1060004,33211,12723,7966,26834,26276,9082,16816,15142,36328,17427,53104,14307,34953,47526,15466,57621,38958,30624,12342,29845,65334,14203,24432,150143,35296,31530,**,10745,28324,22416,42224,19969,21565,10607,12456,13056,34399,14478,21278
,4.34%,4.38%,2.92%,3.64%,5.72%,3.38%,4.25%,3.96%,6.48%,3.99%,5.54%,4.00%,5.21%,4.08%,6.18%,3.69%,4.77%,5.50%,5.48%,3.29%,4.88%,4.32%,3.15%,4.04%,3.15%,5.29%,4.10%,**,3.07%,3.98%,4.85%,4.83%,4.43%,7.03%,4.13%,2.62%,4.54%,6.20%,6.17%,4.29%
Total number of staff fully proficient,23392026,725765,423248,210900,442042,750903,204390,407352,218443,874656,297145,1273625,260332,821282,722021,403910,1149551,669323,527937,362580,582213,1446455,437161,580863,4622755,632039,738350,**,339826,683470,439841,831780,430616,284996,245922,462073,274579,520462,220325,474583
,95.66%,95.62%,97.08%,96.36%,94.28%,96.62%,95.75%,96.04%,93.52%,96.01%,94.46%,96.00%,94.79%,95.92%,93.82%,96.31%,95.23%,94.50%,94.52%,96.71%,95.12%,95.68%,96.85%,95.96%,96.85%,94.71%,95.90%,**,96.93%,96.02%,95.15%,95.17%,95.57%,92.97%,95.87%,97.38%,95.46%,93.80%,93.83%,95.71%
Total number of staff under-utilised,2087755,78602,29348,17476,33828,67636,21096,26880,17578,69816,22017,93155,20679,63352,56330,36526,87925,65994,51146,30730,48838,129153,34966,44612,469826,45284,76292,**,29949,63298,34387,59610,32521,21279,23065,29611,23742,49655,17475,46670
,8.54%,10.36%,6.73%,7.98%,7.21%,8.70%,9.88%,6.34%,7.53%,7.66%,7.00%,7.02%,7.53%,7.40%,7.32%,8.71%,7.28%,9.32%,9.16%,8.20%,7.98%,8.54%,7.75%,7.37%,9.84%,6.79%,9.91%,**,8.54%,8.89%,7.44%,6.82%,7.22%,6.94%,8.99%,6.24%,8.25%,8.95%,7.44%,9.41%
Tables produced by IFF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
