"soc_4_digit_code","occupation_label_4_digit","high_semantic_mismatch","high_prop_mismatch","high_lightcast_mismatch","all_issues","any_issues","sum","remove"
1111,"Chief executives and senior officials",0,1,0,FALSE,TRUE,1,0
1112,"Elected officers and representatives",1,0,0,FALSE,TRUE,1,1
1121,"Production managers and directors in manufacturing",0,0,0,FALSE,FALSE,0,0
1122,"Production managers and directors in construction",0,0,0,FALSE,FALSE,0,0
1123,"Production managers and directors in mining and energy",0,0,0,FALSE,FALSE,0,0
1131,"Financial managers and directors",0,0,0,FALSE,FALSE,0,0
1132,"Marketing, sales and advertising directors",0,0,1,FALSE,TRUE,1,0
1133,"Public relations and communications directors",0,0,0,FALSE,FALSE,0,0
1134,"Purchasing managers and directors",0,0,0,FALSE,FALSE,0,0
1135,"Charitable organisation managers and directors",0,1,0,FALSE,TRUE,1,0
1136,"Human resource managers and directors",0,0,0,FALSE,FALSE,0,0
1137,"Information technology directors",0,0,0,FALSE,FALSE,0,0
1139,"Functional managers and directors n.e.c.",0,0,0,FALSE,FALSE,0,0
1140,"Directors in logistics, warehousing and transport",0,0,0,FALSE,FALSE,0,0
1150,"Managers and directors in retail and wholesale",0,0,0,FALSE,FALSE,0,0
1161,"Officers in armed forces",1,0,0,FALSE,TRUE,1,1
1162,"Senior police officers",1,1,0,FALSE,TRUE,2,1
1163,"Senior officers in fire, ambulance, prison and related services",1,0,0,FALSE,TRUE,1,1
1171,"Health services and public health managers and directors",0,0,0,FALSE,FALSE,0,0
1172,"Social services managers and directors",0,0,0,FALSE,FALSE,0,0
1211,"Managers and proprietors in agriculture and horticulture",1,0,0,FALSE,TRUE,1,1
1212,"Managers and proprietors in forestry, fishing and related services",0,0,1,FALSE,TRUE,1,0
1221,"Hotel and accommodation managers and proprietors",0,0,0,FALSE,FALSE,0,0
1222,"Restaurant and catering establishment managers and proprietors",0,0,0,FALSE,FALSE,0,0
1223,"Publicans and managers of licensed premises",0,0,0,FALSE,FALSE,0,0
1224,"Leisure and sports managers and proprietors",0,0,1,FALSE,TRUE,1,0
1225,"Travel agency managers and proprietors",0,0,0,FALSE,FALSE,0,0
1231,"Health care practice managers",0,0,0,FALSE,FALSE,0,0
1232,"Residential, day and domiciliary care managers and proprietors",0,0,0,FALSE,FALSE,0,0
1233,"Early education and childcare services proprietors",0,1,1,FALSE,TRUE,2,1
1241,"Managers in transport and distribution",0,0,0,FALSE,FALSE,0,0
1242,"Managers in storage and warehousing",0,0,0,FALSE,FALSE,0,0
1243,"Managers in logistics",0,0,0,FALSE,FALSE,0,0
1251,"Property, housing and estate managers",0,0,0,FALSE,FALSE,0,0
1252,"Garage managers and proprietors",0,0,0,FALSE,FALSE,0,0
1253,"Hairdressing and beauty salon managers and proprietors",0,0,0,FALSE,FALSE,0,0
1254,"Waste disposal and environmental services managers",0,0,0,FALSE,FALSE,0,0
1255,"Managers and directors in the creative industries",0,0,0,FALSE,FALSE,0,0
1256,"Betting shop and gambling establishment managers",0,1,1,FALSE,TRUE,2,1
1257,"Hire services managers and proprietors",0,0,0,FALSE,FALSE,0,0
1258,"Directors in consultancy services",0,1,1,FALSE,TRUE,2,1
1259,"Managers and proprietors in other services n.e.c.",0,0,1,FALSE,TRUE,1,0
